layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Generate,7: a,8: concise,9: patient,10: summary,11: for,12: depression,13:.,"14:
",15:State,16: demographic,17: details,18: first,19: and,20: then,21: important,22: prior,23: medical,24: conditions,25:.,26: Begin,27: with,28::,"29: """,30:Gender,31::,"32: ""","33:
",34:<,35:|,36:ass,37:istant,38:|>,"39:
",40:Gender,41::
L1,0.053541,1.098612,-0.051293,0.034401,0.019803,0.062975,0.285179,-0.056570,-0.133531,-0.531879,-0.363843,-0.139262,-0.281038,-0.110932,0.048790,0.113329,-0.105361,-0.083382,-0.067209,-0.005013,0.086178,-0.025318,0.024693,-0.030459,0.000000,0.178146,-0.020203,0.148420,-0.046044,0.336472,-0.335473,0.828552,0.152721,0.058269,0.198851,0.019803,0.062975,0.014889,-0.077962,-0.077962,0.004988,0.254642
L2,-0.122168,0.157004,-0.105361,-0.056570,0.117783,0.081580,-0.056570,-0.094311,-0.040822,-0.307885,0.104360,0.178146,0.053541,-0.015114,0.004988,0.157004,-0.099820,-0.025318,-0.067209,-0.088831,0.044017,-0.015114,-0.083382,0.004988,-0.046044,-0.156654,-0.162519,-0.094311,0.000000,-0.010050,-0.150823,-0.122168,0.871293,-0.051293,-0.015114,0.086178,0.076961,-0.040822,0.053541,0.004988,0.024693,-0.235722
L3,-0.056570,0.019803,0.076961,-0.067209,-0.051293,-0.040822,-0.035627,-0.116534,0.019803,-0.281038,0.104360,0.148420,0.161268,-0.040822,-0.056570,0.165514,-0.035627,0.364643,0.014889,-0.088831,-0.046044,-0.061875,0.058269,0.113329,0.169743,-0.046044,0.000000,-0.248461,-0.067209,0.451076,-0.083382,0.161268,0.582216,0.392042,0.207014,-0.046044,0.039221,-0.235722,-0.046044,-0.051293,-0.156654,0.048790
L4,-0.025318,0.053541,-0.099820,-0.010050,-0.040822,0.004988,-0.242072,-0.248461,0.072321,-0.198451,0.940007,-0.162519,-0.186330,-0.110932,-0.072571,0.307485,-0.040822,0.412110,-0.248461,-0.162519,-0.116534,-0.186330,-0.030459,-0.040822,0.412110,-0.180324,-0.088831,-0.139262,0.062975,0.314811,-0.015114,0.405465,0.072321,0.598836,0.548121,0.039221,0.044017,-0.094311,0.081580,-0.235722,0.131028,0.875469
L5,-0.248461,-0.210721,-0.094311,0.000000,-0.035627,-0.077962,-0.040822,0.000000,-0.105361,-0.378336,-0.216913,0.194744,-0.186330,-0.010050,-0.051293,0.194744,-0.067209,0.048790,0.048790,-0.077962,-0.116534,-0.145026,-0.046044,-0.040822,0.009950,-0.122168,-0.077962,-0.061875,0.014889,0.500775,-0.025318,0.385262,0.262364,0.756122,0.152721,-0.040822,-0.025318,0.014889,-0.162519,-0.020203,0.152721,-0.845141
L6,0.034401,0.004988,-0.072571,-0.061875,-0.077962,-0.470004,-0.127833,-0.122168,0.044017,-0.180324,-0.588787,0.270027,0.207014,0.314811,0.004988,0.570980,0.009950,0.329304,0.144100,0.081580,0.048790,-0.040822,-0.242072,-0.020203,0.062975,0.104360,0.161268,0.019803,0.004988,0.198851,-0.371064,0.173953,0.048790,0.494696,0.194744,0.044017,-0.067209,-0.030459,-0.328504,-0.349557,-0.342490,0.770108
L7,0.524729,0.285179,0.044017,-0.040822,0.161268,1.360977,0.104360,0.182322,0.227136,-0.145026,0.553885,0.113329,0.385262,-0.046044,-0.145026,0.126633,0.058269,0.009950,0.029559,0.202941,-0.094311,0.019803,-0.133531,0.024693,0.122218,0.270027,0.019803,0.113329,0.117783,-0.168419,-0.540426,0.104360,-0.349557,0.009950,0.239017,0.173953,-0.030459,-0.139262,-0.116534,-0.025318,-0.077962,0.307485
L8,0.024693,0.024693,-0.005013,-0.127833,0.173953,0.371564,-0.061875,0.029559,-0.105361,0.048790,0.722706,-0.072571,0.314811,0.004988,-0.145026,0.148420,-0.040822,0.165514,0.034401,0.000000,-0.046044,0.000000,-0.133531,-0.056570,0.067659,0.117783,0.048790,0.425268,0.371564,0.169743,0.756122,0.029559,0.506818,0.014889,0.067659,0.108854,0.000000,0.122218,-0.105361,-0.116534,0.246860,0.463734
L9,-0.061875,0.004988,-0.356675,0.004988,0.086178,0.090754,-0.025318,0.108854,0.235072,-0.223144,-0.150823,0.186480,0.122218,-0.393043,-0.020203,0.095310,0.048790,0.300105,0.270027,0.014889,-0.088831,0.048790,-0.040822,-0.105361,0.067659,0.039221,-0.116534,-0.025318,0.223144,0.104360,0.832909,-0.099820,-0.046044,-0.005013,0.202941,-0.072571,0.067659,0.048790,-0.067209,-0.030459,0.343590,-0.342490
L10,-0.025318,-0.094311,-0.040822,-0.056570,0.048790,-0.210721,-0.020203,-0.072571,0.029559,0.099845,0.231112,0.570980,0.126633,0.371564,0.090754,0.004988,0.122218,-0.099820,-0.229413,-0.067209,0.034401,0.086178,0.004988,-0.035627,0.194744,-0.186330,-0.204567,-0.040822,-0.061875,0.117783,0.131028,-0.294371,0.182322,0.090754,0.144100,-0.061875,0.090754,-0.040822,-0.261365,-0.540426,0.024693,-0.094311
L11,-0.015114,0.024693,-0.030459,0.053541,0.024693,-0.030459,-0.061875,-0.145026,0.067659,-0.015114,-0.378336,-0.254892,1.211941,0.500775,-0.025318,0.194744,0.108854,-0.099820,-0.139262,-0.061875,-0.133531,-0.010050,-0.030459,-0.099820,0.009950,-0.056570,-0.077962,0.029559,-0.056570,-0.025318,1.490654,-0.046044,-0.515001,-0.378336,0.067659,-0.067209,-0.010050,-0.229413,-0.210721,0.053541,0.165514,-0.482076
L12,-0.040822,-0.094311,0.076961,-0.110932,0.062975,-0.094311,0.113329,0.076961,0.034401,-0.127833,-0.051293,0.009950,-0.216913,-0.051293,0.126633,-0.067209,0.223144,0.076961,-0.077962,-0.116534,-0.025318,-0.030459,0.117783,-0.145026,0.039221,0.000000,-0.030459,-0.020203,0.004988,-0.139262,0.593327,0.024693,-0.056570,0.173953,-0.025318,0.019803,-0.061875,-0.030459,0.004988,-0.446287,0.165514,-0.378336
L13,-0.122168,-0.025318,-0.122168,0.004988,-0.072571,-0.110932,0.113329,-0.046044,-0.094311,0.104360,-0.116534,0.235072,0.385262,-0.056570,-0.094311,0.053541,0.139762,-0.088831,0.135405,-0.046044,-0.094311,0.019803,-0.030459,0.000000,0.126633,-0.088831,0.019803,-0.198451,0.000000,0.364643,-0.192372,-0.210721,0.053541,0.165514,0.076961,0.044017,-0.040822,-0.020203,0.024693,-0.423120,-0.229413,0.357674
