layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Write,7: a,8: brief,9: chart,10:-,11:ready,12: overview,13: for,14: a,15: patient,16: with,17: depression,18:.,"19:
",20:Include,21: demographic,22: and,23: past,24: medical,25: history,"26:,",27: keeping,28: it,29: succ,30:inct,31:.,32: The,33: response,34: must,35: start,36: with,37::,"38: """,39:Gender,40::,"41: ""","42:
",43:<,44:|,45:ass,46:istant,47:|>,"48:
",49:Gender,50::
L1,0.327347,1.125230,-0.162859,-0.053425,0.061644,-0.023393,0.005764,0.104204,-0.176558,-0.109866,-0.183478,-0.116339,-0.053425,-0.149345,0.154976,-0.023393,-0.103436,0.000000,-0.023393,-0.084387,-0.084387,0.005764,0.154976,0.011494,-0.023393,0.005764,0.189043,-0.053425,-0.129411,0.028492,-0.270490,-0.183478,-0.053425,-0.035298,0.203295,-0.065695,0.323172,-0.097046,0.467109,-0.017493,0.114567,0.129912,0.221987,0.039665,0.028492,0.104204,0.098982,0.000000,-0.136012,-0.190447,0.474330
L2,0.193816,0.226606,-0.149345,0.005764,-0.023393,-0.065695,-0.129411,0.000000,-0.023393,0.129912,-0.005797,-0.439267,-0.404021,-0.211649,-0.116339,0.253880,0.221987,-0.341107,0.061644,0.164828,0.134975,0.098982,-0.116339,0.011494,-0.116339,-0.053425,-0.065695,-0.116339,-0.084387,-0.023393,0.098982,-0.176558,-0.097046,0.098982,0.104204,-0.211649,0.189043,0.226606,0.134975,-0.752689,0.174585,0.509669,-0.129411,0.000000,0.011494,0.098982,0.072455,0.000000,0.164828,0.093732,-0.233311
L3,0.061644,-0.090697,-0.255452,0.093732,-0.029328,0.039665,0.061644,0.039665,-0.047346,-0.226038,-0.035298,-0.301261,0.072455,-0.142656,-0.129411,-0.341107,0.056195,-0.116339,-0.035298,0.005764,0.017192,-0.116339,-0.084387,0.098982,0.000000,0.088455,-0.053425,0.039665,0.129912,-0.084387,0.098982,-0.218818,0.000000,-0.017493,0.164828,-0.116339,0.293446,0.164828,0.179427,0.159914,0.293446,0.159914,0.289126,0.226606,-0.097046,0.039665,0.005764,-0.023393,0.124823,-0.156079,0.244871
L4,-0.116339,-0.035298,-0.278094,-0.023393,-0.053425,-0.149345,-0.090697,-0.149345,-0.149345,-0.270490,-0.129411,-0.369975,0.169718,-0.240637,0.011494,0.698911,0.347967,0.159914,0.198567,-0.023393,0.005764,0.034094,-0.047346,-0.023393,0.028492,0.280430,0.000000,0.124823,-0.059541,-0.090697,-0.017493,0.129912,0.061644,0.407390,0.415053,0.034094,0.169718,0.235780,0.318979,0.530288,0.347967,0.253880,0.072455,0.318979,-0.248017,0.098982,-0.065695,-0.090697,0.098982,0.530288,1.005804
L5,-0.233311,-0.197465,-0.035298,0.005764,-0.023393,0.000000,-0.116339,0.011494,-0.065695,-0.439267,-0.017493,-0.494581,0.293446,-0.084387,0.000000,0.134975,0.109399,-0.109866,0.000000,0.028492,0.017192,-0.156079,-0.053425,-0.190447,-0.023393,0.083150,0.039665,-0.005797,0.067064,-0.035298,0.169718,-0.065695,-0.059541,-0.353377,-0.078118,-0.226038,0.061644,-0.122854,-0.169685,-0.041304,0.134975,0.028492,0.343877,0.339770,0.005764,-0.023393,0.072455,-0.176558,-0.211649,-0.142656,-0.369975
L6,0.039665,0.005764,-0.059541,-0.149345,-0.270490,-0.971241,-0.149345,0.005764,-0.240637,-0.305175,0.067064,-0.176558,-0.149345,-0.333010,0.061644,-0.337050,0.034094,-0.116339,0.318979,-0.090697,-0.116339,0.164828,-0.059541,-0.149345,0.061644,0.129912,0.050715,-0.156079,-0.149345,0.098982,0.005764,0.011494,0.072455,-0.218818,0.134975,-0.023393,0.262809,0.407390,0.169718,0.380098,0.698911,0.872574,-0.071887,0.249386,-0.183478,-0.122854,-0.097046,-0.176558,-0.176558,-0.337050,-0.116339
L7,0.537068,0.258354,0.028492,-0.023393,0.039665,3.642291,-0.084387,0.000000,-0.029328,0.114567,-0.005797,-0.395400,0.399668,-0.017493,0.005764,-0.369975,-0.262942,-0.204532,-0.078118,-0.430338,-0.011628,-0.365800,-0.204532,-0.149345,0.067064,0.104204,0.028492,-0.176558,-0.035298,-0.029328,-0.023393,0.083150,-0.211649,-0.211649,0.134975,-0.270490,-0.029328,-0.109866,-0.369975,-0.956090,0.343877,0.028492,-0.528319,0.280430,-0.023393,-0.090697,-0.035298,-0.399701,-0.421489,-0.103436,0.502700
L8,-0.053425,0.005764,0.061644,-0.156079,-0.047346,0.347967,-0.305175,-0.226038,-0.149345,0.050715,0.050715,0.391886,0.159914,-0.023393,0.034094,0.675654,0.474330,0.208001,0.129912,-0.211649,-0.116339,-0.176558,-0.149345,0.005764,-0.053425,-0.065695,0.000000,-0.116339,-0.211649,-0.149345,0.050715,0.098982,0.039665,-0.149345,0.017192,-0.053425,0.005764,0.289126,0.318979,0.608760,0.050715,0.663820,0.231203,0.005764,-0.059541,0.000000,0.093732,-0.233311,-0.142656,0.203295,-0.156079
L9,-0.035298,-0.065695,-0.374168,-0.065695,-0.084387,0.039665,-0.129411,-0.029328,-0.090697,0.174585,-0.149345,-0.357501,-0.149345,-0.226038,-0.162859,-0.374168,-0.341107,-0.190447,-0.190447,-0.211649,-0.129411,-0.434793,-0.233311,-0.059541,-0.190447,0.028492,-0.035298,-0.149345,-0.053425,-0.065695,0.318979,-0.084387,-0.183478,-0.129411,-0.305175,-0.053425,-0.116339,0.061644,-0.011628,0.179427,-0.176558,0.240336,-0.023393,-0.023393,0.067064,-0.149345,0.039665,-0.047346,-0.035298,0.226606,-0.278094
L10,-0.084387,-0.065695,0.061644,-0.053425,0.034094,0.017192,-0.097046,-0.035298,0.000000,0.072455,-0.084387,0.169718,0.028492,-0.278094,-0.005797,0.221987,0.407390,0.267243,0.072455,-0.041304,0.067064,-0.183478,-0.053425,-0.023393,0.000000,0.124823,0.072455,-0.149345,-0.122854,-0.116339,0.005764,-0.053425,-0.097046,-0.029328,-0.211649,0.067064,0.124823,0.083150,0.231203,-0.594165,-0.533233,0.276054,0.314769,-0.053425,-0.065695,-0.116339,-0.149345,-0.218818,-0.395400,-0.255452,0.189043
