layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Write,7: a,8: hand,9:off,10:-,11:style,12: summary,13: for,14: a,15: patient,16: with,17: depression,18:.,19: Include,20: demographic,21: first,"22:,",23: then,24: key,25: PM,26:H,27:.,28: Begin,29: exactly,30: with,31::,"32: """,33:Gender,34::,"35: ""","36:
",37:<,38:|,39:ass,40:istant,41:|>,"42:
",43:Gender,44::
L1,0.447474,-1.619387,0.252414,0.312133,0.062370,0.252414,0.062370,-0.120882,-0.120882,-0.066521,0.067011,-0.126484,-0.433070,-0.061244,-0.184304,-0.061244,0.129812,0.129812,-0.120882,0.375312,0.062370,-0.126484,0.004938,0.125454,0.000000,0.067011,0.566663,0.062370,-0.120882,-0.126484,0.184794,0.000000,0.760158,-0.184304,-0.558997,0.116682,-0.061244,0.125454,-0.061244,0.067011,0.004938,0.004938,-0.066521,-0.061244,0.746171
L2,-0.009950,0.361613,-0.120882,-0.061244,0.062370,-0.061244,0.071630,-0.245673,0.062370,2.332816,0.062370,-0.245673,-0.381014,-0.126484,0.252414,-0.184304,0.000000,0.009852,-0.120882,0.125454,0.244692,-0.184304,-0.120882,0.252414,0.125454,0.062370,0.441125,0.125454,0.062370,0.062370,-0.440733,0.125454,0.062370,-0.373794,-0.373794,0.125454,0.004938,0.004938,0.129812,0.004938,-0.061244,-0.120882,0.062370,-0.132118,0.375312
L3,0.129812,-0.061244,-0.184304,0.067011,0.184794,-0.061244,0.375312,0.000000,0.057708,1.388766,0.252414,-0.126484,0.688184,0.188900,0.188900,-0.311055,0.319353,0.129812,0.067011,0.188900,-0.120882,-0.245673,0.004938,0.067011,0.000000,0.188900,0.746171,0.125454,-0.061244,-0.184304,-0.311055,0.004938,0.004938,-0.626136,-0.304321,-0.598737,-0.245673,-0.055994,-0.126484,0.188900,-0.190274,0.000000,-0.252022,-0.004963,0.382092
L4,0.000000,0.067011,-0.245673,0.125454,0.000000,0.188900,0.252414,-0.120882,-0.061244,0.388826,0.129812,0.067011,0.502873,0.129812,0.125454,0.192990,0.319353,0.252414,0.000000,0.252414,-0.126484,-0.120882,0.188900,-0.184304,0.000000,0.252414,0.688184,-0.126484,-0.055994,0.004938,-0.126484,0.319353,0.067011,-0.178369,-0.311055,-0.258412,0.062370,0.252414,-0.184304,0.125454,-0.066521,-0.055994,-0.071826,0.192990,0.129812
L5,-0.252022,-0.004963,-0.126484,0.062370,-0.126484,0.188900,0.188900,0.125454,0.062370,1.585388,0.004938,0.188900,0.375312,-0.061244,-0.120882,-0.184304,0.004938,0.057708,-0.120882,-0.061244,-0.373794,0.312133,-0.120882,0.062370,0.067011,-0.061244,0.428304,-0.126484,-0.311055,0.067011,0.004938,-0.311055,-0.433070,-0.440733,-0.433070,-0.825265,-0.388287,0.121078,-0.184304,0.062370,0.129812,0.125454,0.057708,-0.381014,-0.877450
L6,-0.061244,0.062370,0.125454,0.067011,-0.120882,-0.126484,-0.126484,-0.061244,-0.061244,0.071630,0.004938,0.067011,0.067011,0.312133,-0.120882,0.004938,0.129812,0.319353,0.067011,0.125454,0.129812,0.244692,0.004938,0.121078,0.188900,-0.184304,0.067011,0.125454,-0.126484,-0.126484,-0.196280,-0.373794,-0.433070,-0.388287,-0.137784,0.125454,-0.137784,-0.061244,0.000000,-0.061244,-0.120882,-0.245673,-0.066521,-0.311055,-1.357023
L7,0.382092,0.260077,0.004938,0.000000,0.319353,2.417503,0.067011,0.129812,0.312133,-0.607787,0.129812,0.312133,0.688184,-0.120882,-0.061244,-0.373794,-0.311055,0.129812,-0.317835,-0.120882,-0.184304,0.129812,0.129812,0.000000,0.129812,-0.061244,0.252414,0.000000,-0.245673,-0.311055,-0.373794,-0.440733,-0.373794,-0.492026,0.129812,0.116682,-0.743919,0.312133,-0.061244,0.062370,-0.184304,-0.433070,-0.178369,0.434735,0.319353
L8,0.188900,0.067011,-0.061244,0.004938,0.067011,0.252414,-0.120882,0.004938,-0.066521,-0.492026,-0.126484,0.252414,0.312133,0.129812,0.252414,0.375312,0.319353,0.441125,0.441125,-0.120882,0.382092,-0.126484,-0.120882,0.004938,0.067011,0.000000,0.441125,0.129812,-0.184304,-0.190274,-0.252022,-0.061244,0.004938,0.945561,0.188900,0.312133,0.057708,0.004938,-0.061244,0.004938,0.125454,-0.126484,-0.252022,0.192990,0.304860
L9,-0.184304,0.067011,0.297534,0.000000,0.252414,0.129812,0.125454,0.125454,0.121078,0.009852,0.062370,0.252414,0.004938,0.188900,0.125454,0.067011,0.188900,-0.184304,0.000000,0.004938,-0.120882,0.252414,0.067011,0.009852,0.067011,0.000000,0.188900,0.244692,-0.061244,-0.126484,-0.066521,-0.252022,0.129812,0.009852,-0.190274,-0.066521,-0.252022,-0.061244,-0.066521,-0.055994,0.125454,-0.184304,0.000000,0.201121,0.304860
L10,0.004938,0.125454,-0.066521,0.004938,0.192990,0.252414,0.188900,0.067011,0.000000,-0.492026,0.062370,0.125454,0.004938,0.192990,0.062370,0.129812,0.129812,0.319353,-0.120882,0.004938,0.319353,0.184794,0.004938,0.004938,0.125454,0.062370,0.312133,0.441125,0.062370,-0.126484,0.125454,-0.004963,0.252414,-0.496083,-0.132118,-0.190274,0.057708,0.129812,-0.055994,-0.061244,-0.126484,-0.245673,-0.120882,-0.317835,0.009852
