layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Prov,7:ide,8: 4,9: bullet,10: points,11: summar,12:izing,13: demographic,14: and,15: past,16: medical,17: history,18: for,19: depression,20:.,21: Start,22: exactly,23: with,24::,"25: """,26:Gender,27::,"28: ""","29:
",30:<,31:|,32:ass,33:istant,34:|>,"35:
",36:Gender,37::
L1,-0.068043,0.418488,-0.148660,-0.089393,0.019542,-0.156322,0.180102,-0.141057,0.396607,0.063707,-0.207606,-0.068043,0.249087,-0.040268,0.082054,-0.156322,-0.061027,0.259290,0.063707,-0.013243,0.196449,-0.089393,0.201840,-0.183609,-0.278902,-0.904630,0.045017,-1.228041,-0.789600,-0.232193,-0.118587,-0.026664,0.025972,0.069860,-0.054059,0.140886,0.094100,-1.262313
L2,0.057516,0.342053,-0.054059,-0.019931,0.100070,-0.175736,0.063707,-0.318811,0.228363,0.254202,-0.346330,-0.026664,0.327937,0.094100,0.088095,-0.047140,-0.040268,0.025972,-0.215735,-0.244717,0.174593,-0.747053,0.094100,-0.253154,0.075975,-0.047140,-0.096612,-0.379423,-0.211662,-0.195535,-0.118587,0.157882,0.025972,0.100070,-0.006600,0.129393,0.355973,0.038709
L3,0.000000,0.000000,-0.248927,0.075975,0.274402,-0.047140,0.045017,-0.118587,0.228363,0.094100,0.146584,0.088095,-0.026664,0.589183,-0.199543,-0.047140,-0.207606,0.850967,0.163483,-0.111209,0.185581,0.000000,0.075975,-0.240525,0.088095,0.117767,-0.261663,-0.164042,0.559554,-0.223930,-0.026664,0.057516,0.006556,0.146584,0.057516,-0.156322,0.625026,-0.283258
L4,0.063707,0.075975,0.152249,0.063707,0.289289,0.082054,0.157882,0.337370,0.185581,0.294203,0.094100,0.223115,0.264353,0.405417,0.185581,0.117767,-0.082226,0.444128,0.392173,-0.355674,0.032361,0.414150,0.032361,0.473233,0.673142,0.233585,-0.443947,-0.754020,0.833971,-0.647991,-0.068043,0.032361,0.075975,-0.111209,0.207201,0.477323,0.123597,-0.819004
L5,-0.089393,0.025972,0.123597,-0.019931,0.666408,-0.126021,0.094100,0.135156,0.254202,0.274402,0.025972,0.069860,0.223115,0.006556,-0.026664,-0.040268,-0.274564,-0.179665,0.521238,-0.040268,0.489492,0.140886,0.207201,-0.485828,0.045017,-0.485828,-0.592946,0.603675,1.655601,-0.747053,-0.103884,-0.013243,0.106004,0.051286,0.387719,0.337370,-0.673463,1.206499
L6,0.254202,0.152249,0.140886,-0.006600,0.332665,0.639012,0.063707,-0.061027,-0.604919,0.299092,-0.006600,-0.089393,0.666408,0.140886,-0.033443,-0.047140,-0.019931,-0.314297,0.063707,0.332665,0.493516,-0.195535,0.019542,0.294203,0.529020,-0.013243,0.318414,0.374237,0.094100,-0.864798,-0.270245,0.000000,-0.026664,-0.019931,0.191030,0.617960,0.169054,-0.013243
L7,-0.141057,0.013070,-0.061027,0.000000,0.191030,-0.581115,0.006556,0.088095,0.163483,-0.133511,0.135156,-0.047140,0.617960,-0.141057,0.163483,-0.118587,-0.211662,-0.379423,0.140886,0.082054,0.456705,-0.075109,-0.040268,0.013070,0.725438,-0.075109,-0.223930,-0.141057,0.517324,-1.709039,-0.089393,0.106004,0.100070,-0.047140,-0.040268,0.610843,-1.016292,0.351355
L8,0.025972,-0.013243,0.117767,0.038709,0.163483,-0.096612,-0.013243,-0.118587,0.006556,0.063707,-0.464669,-0.019931,0.201840,-0.133511,0.006556,-0.096612,-0.203566,-0.512924,-0.118587,0.106004,0.444128,-0.068043,-0.089393,-0.156322,0.249087,0.201840,0.249087,0.355973,0.313619,-0.733264,-0.006600,0.100070,0.006556,0.106004,0.207201,0.294203,-0.089393,-0.006600
L9,-0.026664,0.075975,0.299092,0.025972,0.100070,-0.061027,-0.026664,-0.019931,0.180102,0.212534,0.006556,0.146584,0.422807,-0.040268,-0.118587,0.129393,0.045017,0.088095,-0.278902,0.174593,-0.305330,0.157882,0.075975,0.180102,0.088095,0.387719,-0.075109,-0.075109,0.233585,-0.287634,0.117767,-0.033443,0.057516,0.032361,-0.103884,-0.089393,-0.454254,0.632043
L10,0.045017,0.000000,0.207201,-0.033443,0.013070,-0.096612,-0.019931,0.082054,0.019542,0.169054,-0.183609,0.045017,0.427108,-0.019931,-0.111209,0.000000,-0.075109,-0.183609,0.169054,-0.223930,-0.223930,0.038709,-0.296443,-0.374628,-0.270245,0.201840,0.045017,-0.075109,0.686474,-0.647991,0.254202,0.129393,0.057516,0.100070,0.299092,0.712618,-0.454254,0.238779
L11,-0.040268,-0.019931,0.019542,0.057516,0.100070,0.063707,0.025972,0.135156,0.051286,0.274402,-0.507446,0.013070,0.228363,0.249087,-0.111209,0.051286,0.019542,-0.111209,0.000000,0.223115,0.013070,0.254202,0.180102,0.117767,0.228363,0.313619,0.100070,-0.569422,0.284351,-0.156322,0.032361,0.051286,0.075975,-0.075109,0.387719,0.396607,0.435654,0.140886
L12,0.032361,0.025972,0.075975,0.063707,0.082054,0.228363,0.082054,0.025972,0.094100,0.094100,0.000000,0.013070,0.069860,-0.175736,-0.118587,0.051286,-0.013243,0.146584,0.032361,0.217838,0.196449,-0.215735,-0.019931,-0.274564,-0.341690,0.057516,0.666408,0.264353,0.233585,-0.341690,-0.075109,0.129393,0.051286,-0.013243,0.196449,0.152249,0.217838,-0.278902
L13,0.019542,0.006556,0.069860,0.032361,0.032361,0.094100,0.032361,-0.006600,0.006556,0.180102,-0.019931,0.135156,0.196449,0.196449,0.129393,0.045017,0.000000,0.196449,0.374237,0.360571,0.303958,0.123597,0.163483,0.032361,0.223115,0.075975,0.489492,0.243946,0.013070,-0.849299,0.032361,0.100070,-0.026664,0.082054,0.223115,0.706146,0.509451,-0.228053
L14,0.051286,-0.061027,0.045017,-0.019931,-0.171823,0.117767,0.006556,0.063707,0.180102,0.057516,-0.040268,0.019542,-0.141057,-0.199543,0.069860,0.057516,-0.013243,0.140886,0.274402,0.006556,0.360571,-0.040268,0.019542,-0.082226,0.369702,0.163483,0.207201,0.106004,0.106004,-1.194905,-0.075109,0.146584,0.025972,0.025972,0.106004,-1.034633,0.501515,0.057516
L15,0.019542,0.019542,0.045017,0.019542,0.106004,0.045017,0.038709,-0.019931,0.094100,0.032361,0.212534,0.063707,0.069860,0.111903,0.075975,-0.033443,0.019542,0.006556,0.019542,0.279389,0.552007,0.201840,0.019542,0.006556,-0.141057,0.025972,0.473233,-0.013243,0.351355,0.884117,-0.040268,0.106004,0.082054,0.075975,-0.082226,0.157882,1.178555,0.378751
L16,-0.047140,-0.096612,-0.013243,-0.040268,0.111903,0.032361,-0.006600,0.045017,0.051286,-0.047140,0.180102,0.013070,0.057516,-0.061027,-0.006600,-0.006600,-0.006600,0.025972,0.051286,0.038709,-0.126021,0.057516,-0.054059,-0.006600,0.243946,-0.148660,0.094100,0.140886,-0.156322,-0.581115,0.057516,0.082054,-0.019931,0.045017,0.019542,0.497524,0.567044,0.409793
