layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Create,7: a,8: standardize,9: patient,10: brief,11: for,12: depression,13: focused,14: on,15: demographic,16: and,17: relevant,18: PM,19:H,20:;,21: avoid,22: extra,23: sections,24:.,25: Begin,26: exactly,27: with,28::,"29: """,30:Gender,31::,"32: ""","33:
",34:<,35:|,36:ass,37:istant,38:|>,"39:
",40:Gender,41::
L1,0.442506,0.725632,0.119877,0.124053,0.313295,0.436427,0.436427,0.313295,-0.058269,2.715569,0.507045,0.495616,0.059514,0.059514,0.132351,0.373513,0.068364,0.249216,0.373513,0.495616,0.373513,0.313295,0.115684,0.436427,0.501347,0.063949,-0.068319,-0.250641,0.188591,1.006442,-0.244598,0.196373,0.184677,0.184677,0.180748,0.124053,0.128211,0.128211,0.128211,-0.053281,0.009390,0.869950
L2,0.172843,0.411735,-0.058269,0.313295,0.119877,0.241836,0.249216,0.000000,0.920057,1.613204,0.204095,0.306374,-0.125478,0.184677,-0.114839,-0.048319,0.063949,0.188591,-0.063281,0.442506,-0.125478,0.128211,0.180748,0.188591,0.184677,0.063949,-0.063281,-0.191800,0.313295,-0.244598,-0.226687,-0.180436,0.417965,0.299405,-0.120144,0.128211,0.188591,0.188591,0.000000,0.306374,0.512710,0.249216
L3,0.313295,0.313295,0.124053,0.256542,0.436427,0.249216,0.306374,0.184677,0.124053,6.854056,2.003517,0.495616,0.556917,0.000000,0.009390,0.004706,0.000000,0.624828,0.313295,0.927548,0.241836,0.000000,0.184677,-0.496774,-0.058269,0.004706,-0.379852,0.263815,0.562307,0.132351,-0.306730,-0.120144,-0.611654,0.507045,0.128211,0.000000,0.249216,0.059514,0.188591,-0.004728,0.386417,0.448549
L4,0.249216,0.306374,0.128211,0.124053,-0.058269,0.249216,0.004706,-0.068319,0.196373,9.337994,0.949689,0.249216,-0.741465,0.059514,0.132351,-0.443931,0.128211,0.366999,0.373513,0.985535,0.379986,-0.063281,0.059514,0.249216,-0.120144,-0.191800,0.128211,0.188591,0.752661,0.567669,0.140582,-0.313161,0.102999,0.306374,0.180748,0.059514,0.188591,-0.004728,0.373513,0.313295,0.833729,0.000000
L5,0.055060,0.000000,-0.058269,0.128211,0.124053,0.424157,0.063949,-0.058269,0.068364,3.103825,0.507045,-0.244598,-0.083587,-0.130840,0.004706,-0.366154,0.373513,0.249216,0.188591,0.787599,0.249216,-0.053281,0.379986,0.176803,0.184677,-0.250641,0.000000,0.313295,0.055060,-0.186102,-0.313161,-0.372979,-0.068319,-0.908069,0.115684,0.000000,0.184677,0.063949,0.249216,0.180748,0.124053,0.333773
L6,0.068364,0.128211,-0.125478,0.063949,0.124053,-0.781875,0.000000,0.436427,0.313295,2.473839,1.873252,-0.014252,0.196373,0.128211,0.813024,0.055060,0.184677,0.068364,0.059514,0.115684,0.124053,0.507045,0.063949,-0.043380,0.063949,0.614675,0.004706,-0.226687,0.059514,-0.564936,0.285321,0.094452,-0.019048,-0.136230,0.184677,0.050585,0.059514,-0.186102,-0.053281,0.184677,0.172843,-0.372979
L7,1.357584,0.748207,0.000000,-0.063281,0.256542,3.375073,0.059514,0.063949,0.188591,0.889520,0.889520,0.629866,-0.063281,0.063949,-0.300340,-0.326148,0.436427,0.128211,0.124053,0.320167,0.004706,0.306374,0.188591,0.059514,0.063949,0.241836,-0.125478,-0.068319,-0.004728,-0.573270,-0.443931,-0.125478,0.172843,-1.025852,0.180748,0.184677,0.063949,-0.004728,-0.180436,-0.489052,0.124053,-0.063281
L8,0.184677,0.059514,0.119877,0.184677,0.256542,0.507045,0.063949,0.059514,0.313295,2.053155,1.147702,-0.256720,1.692668,0.184677,-0.004728,-0.125478,0.507045,0.184677,0.059514,-0.058269,0.306374,0.241836,0.180748,0.063949,-0.191800,0.184677,0.188591,0.241836,0.430311,0.249216,1.053588,0.184677,0.299405,0.188591,-0.130840,0.059514,0.059514,0.059514,-0.180436,-0.186102,0.256542,-0.203295
L9,0.124053,0.128211,0.018692,0.063949,0.188591,0.373513,0.000000,0.249216,0.366999,0.495616,0.501347,-0.063281,0.196373,0.119877,0.063949,-0.169200,-0.004728,0.184677,0.124053,0.313295,0.241836,0.184677,0.249216,0.124053,0.436427,-0.058269,-0.009479,-0.186102,0.119877,0.184677,0.442506,0.249216,0.478224,-0.856776,0.119877,0.055060,0.188591,0.124053,0.004706,0.353841,-0.180436,0.424157
L10,0.124053,0.004706,0.180748,0.188591,0.373513,0.326993,0.180748,0.063949,0.184677,-0.114839,0.320167,0.313295,0.442506,0.188591,0.000000,0.320167,0.373513,0.004706,-0.004728,-0.186102,0.313295,0.249216,0.180748,0.306374,0.313295,0.124053,0.004706,-0.120144,-0.004728,0.188591,-0.422112,-0.250641,-0.203295,0.000000,0.249216,0.124053,0.124053,-0.004728,-0.125478,-0.125478,1.194494,0.132351
