layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:For,7: this,8: depression,9: case,"10:,",11: draft,12: a,13: brief,14: presentatio,15: that,16: includes,17: demographic,18: information,19: and,20: prior,21: medical,22: history,23:.,24: ,"25:
",26:The,27: response,28: must,29: start,30: with,31::,"32: """,33:Gender,34::,"35: ""","36:
",37:<,38:|,39:ass,40:istant,41:|>,"42:
",43:Gender,44::
L1,0.317835,-0.241162,0.000000,0.127561,0.251314,0.065813,0.000000,0.370859,0.000000,0.133531,-0.055959,-0.130620,-0.565586,-0.063179,-0.312942,-0.063179,0.121555,-0.186411,0.121555,0.000000,0.000000,0.000000,-0.308301,-0.055959,-0.158127,0.000000,-0.346041,-0.249858,0.000000,-0.055959,0.006780,0.006780,-0.236842,-0.346041,0.317835,0.384846,-0.063179,0.127561,0.251314,0.251314,0.006780,0.000000,0.065813,0.000000,0.065813
L2,-0.055959,0.040005,0.006780,0.127561,-0.063179,-0.063179,-0.122898,0.059423,-0.370374,-0.308301,0.065813,0.000000,-0.194642,-0.122898,0.375543,-0.130620,-0.186411,-0.063179,0.000000,0.065813,-0.063179,0.065813,-0.055959,0.000000,0.000000,0.000000,-0.158127,-0.370374,0.006780,-0.186411,0.256591,-0.254234,0.072162,-0.375312,-0.370374,0.246009,0.185717,-0.055959,0.065813,0.065813,0.065813,-0.186411,0.256591,-0.182321,0.375543
L3,0.065813,-0.006826,0.127561,0.000000,-0.375312,0.065813,0.191351,-0.122898,-0.178248,-0.249858,0.065813,0.000000,-0.326993,-0.186411,0.065813,-0.249858,-0.375312,0.185717,0.251314,0.059423,-0.063179,0.127561,-0.501796,0.000000,-0.122898,0.059423,-0.122898,-0.431306,0.065813,-0.312942,-0.055959,-0.294508,-0.190518,-0.190518,0.256591,0.000000,-0.122898,0.000000,0.000000,0.256591,-0.186411,-0.063179,-0.070452,0.065813,-0.055959
L4,-0.063179,0.127561,-0.122898,-0.055959,-0.130620,0.065813,0.065813,-0.063179,0.059423,-0.571592,-0.130620,-0.063179,-0.415721,-0.410580,-0.620984,-0.194642,-0.122898,-0.410580,-0.063179,0.000000,-0.122898,-0.063179,-0.063179,-0.055959,-0.122898,0.072162,-0.122898,-0.245500,-0.055959,-0.115235,-0.055959,0.040005,-0.194642,-0.947380,0.317835,-0.285417,0.072162,0.251314,-0.063179,0.191351,0.121555,0.006780,0.180051,-0.308301,0.202524
L5,-0.190518,-0.122898,0.000000,-0.063179,-0.530288,-0.122898,0.127561,0.065813,0.506735,-0.063179,-0.055959,0.065813,-0.034606,-0.308301,-0.122898,-0.122898,-0.190518,-0.122898,0.000000,-0.122898,0.065813,0.185717,0.380205,-0.070452,-0.063179,0.097164,0.180051,0.065813,0.059423,-0.055959,0.127561,-0.100083,0.133531,0.384846,-0.130620,-0.355703,-0.055959,0.127561,0.000000,0.065813,0.191351,-0.194642,-0.447138,0.196953,-1.078409
L6,0.127561,0.127561,0.121555,-0.122898,-0.410580,-0.530288,0.065813,0.256591,-0.385262,-0.228259,0.307885,0.121555,0.366154,0.121555,0.000000,-0.100083,0.127561,-0.130620,-0.034606,0.191351,0.127561,0.256591,0.312872,-0.350861,-0.130620,-0.041673,-0.228259,-0.122898,-0.174191,0.000000,-0.303682,-0.122898,0.127561,0.191351,-0.559615,-0.317604,0.006780,0.246009,0.000000,-0.063179,0.000000,-0.496194,-0.763598,-0.312942,-0.375312
L7,0.317835,0.191351,-0.063179,0.000000,0.375543,5.788919,-0.063179,-0.565586,-1.129702,-0.633723,-0.130620,-0.063179,-0.312942,-0.122898,-0.070452,0.000000,0.065813,0.006780,-0.063179,-0.122898,0.127561,0.006780,0.006780,-0.194642,0.000000,0.180051,-0.223994,0.246009,0.121555,0.065813,0.127561,-0.130620,0.196953,-0.236842,0.256591,0.026847,-0.490623,0.312872,0.191351,-0.122898,-0.122898,-0.245500,-0.565586,0.185717,-0.375312
L8,0.006780,0.000000,0.185717,0.000000,0.191351,0.196953,0.065813,0.000000,0.820708,-0.122898,0.059423,0.000000,0.000000,0.185717,-0.130620,0.065813,-0.249858,-0.122898,-0.055959,-0.063179,0.006780,0.317835,0.317835,0.127561,-0.182321,-0.186411,0.562527,0.256591,0.133531,0.127561,0.127561,0.498505,0.380205,0.196953,0.065813,0.438913,0.072162,0.072162,0.065813,0.065813,0.006780,-0.122898,-0.122898,0.006780,0.758960
L9,0.000000,0.006780,0.820708,0.000000,0.191351,0.191351,0.191351,-0.122898,-1.150979,-0.190518,-0.190518,0.000000,0.065813,0.065813,0.059423,0.307885,-0.063179,0.133531,0.127561,0.065813,0.185717,0.127561,-0.122898,0.322773,0.065813,0.059423,-0.317604,-0.055959,-0.122898,-0.063179,-0.122898,0.375543,0.629968,-0.041673,-0.559615,0.312872,0.570249,0.006780,0.127561,0.000000,0.006780,-0.122898,0.127561,0.261841,-0.565586
L10,0.006780,-0.055959,0.000000,0.000000,0.072162,0.637188,0.121555,-0.055959,-0.530288,-0.245500,-0.249858,-0.063179,0.065813,-0.063179,-0.186411,0.059423,-0.063179,0.121555,-0.182321,0.191351,0.065813,0.127561,0.000000,0.256591,-0.130620,0.251314,-0.122898,-0.063179,-0.063179,-0.122898,0.006780,-0.006826,0.191351,-0.896087,-0.614675,0.380205,0.317835,-0.055959,-0.055959,0.006780,-0.186411,-0.375312,-0.308301,-0.041673,-0.308301
L11,-0.063179,0.127561,0.065813,-0.122898,0.317835,-0.122898,0.065813,-0.122898,2.203253,0.246009,0.127561,0.127561,0.000000,0.127561,0.191351,-0.245500,-0.186411,0.251314,0.059423,-0.122898,0.185717,0.251314,-0.249858,-0.186411,-0.186411,-0.249858,0.752570,0.006780,-0.122898,0.006780,0.065813,0.006780,-0.182321,0.013514,-0.115235,-0.770924,-0.653141,-0.063179,-0.122898,0.000000,-0.122898,-0.679633,0.246009,1.121034,-0.720735
L12,0.065813,-0.055959,0.000000,-0.063179,0.191351,-0.063179,0.317835,0.317835,0.438913,-0.693147,-0.130620,0.065813,0.006780,0.000000,0.127561,0.185717,0.000000,-0.055959,-0.249858,0.000000,0.065813,0.065813,-0.303682,-0.190518,0.065813,0.065813,-0.249858,-0.122898,-0.182321,0.185717,0.251314,0.191351,-0.245500,0.746139,-0.070452,-0.490623,-0.308301,-0.122898,0.065813,0.065813,0.006780,-0.182321,0.072162,0.554745,-0.289952
L13,0.059423,0.127561,-0.186411,0.000000,-0.182321,-0.055959,-0.122898,0.059423,1.075675,0.196953,-0.063179,-0.186411,-0.122898,-0.063179,0.191351,0.059423,0.065813,-0.245500,-0.130620,0.059423,0.065813,0.127561,0.191351,-0.063179,0.000000,0.498505,-0.595983,0.006780,-0.063179,0.000000,-0.182321,0.434517,0.251314,0.127561,-0.312942,-0.496194,-0.115235,-0.122898,0.000000,0.000000,0.065813,0.072162,0.127561,-0.013699,0.121555
L14,0.127561,0.065813,-0.186411,0.000000,0.065813,0.000000,0.065813,0.127561,-0.496194,-0.249858,-0.122898,0.000000,0.065813,0.000000,-0.122898,0.065813,0.000000,0.059423,0.065813,-0.122898,0.000000,0.191351,-0.063179,-0.190518,-0.122898,0.065813,-0.380275,0.127561,-0.063179,-0.063179,0.000000,0.065813,0.506735,-0.474093,-0.041673,0.052993,0.191351,-0.122898,0.000000,0.006780,-0.063179,-0.303682,0.006780,0.026847,-0.496194
L15,-0.063179,0.000000,-0.122898,0.059423,-0.122898,0.059423,0.185717,-0.063179,-0.186411,0.065813,0.059423,-0.186411,0.065813,0.127561,-0.122898,0.006780,-0.122898,0.000000,-0.122898,0.246009,-0.063179,0.121555,-0.063179,-0.312942,-0.122898,0.185717,-0.280902,-0.063179,0.065813,0.006780,0.185717,0.251314,-0.070452,0.502629,0.256591,-0.055959,0.115513,-0.182321,0.133531,-0.055959,-0.063179,-0.308301,0.375543,0.752570,-0.929989
