layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Patient,7: diagnosis,8::,9: depression,10:.,"11:
",12:Write,13: a,14: concise,15: clinical,16: summary,17: covering,18: demographic,19: and,20: relevant,21: past,22: medical,23: history,24:.,25: Begin,26: exactly,27: with,28::,"29: """,30:Gender,31::,"32: ""","33:
",34:<,35:|,36:ass,37:istant,38:|>,"39:
",40:Gender,41::
L1,0.252939,0.750034,-0.124513,0.000000,-0.124513,0.066062,-0.060320,0.252939,0.123727,0.123727,-0.124513,0.311779,-0.124513,-0.124513,-0.187211,-0.124513,-0.312374,0.000000,0.128028,0.123727,0.061485,-0.124513,0.066062,0.128028,0.128028,-0.247836,-0.312374,-0.124513,0.128028,0.252939,-0.187211,-0.622529,0.000000,0.000000,-0.124513,-0.060320,0.190419,0.000000,0.000000,-0.060320,-0.187211,0.810388
L2,0.683343,0.432732,-0.124513,0.000000,0.128028,0.066062,0.374083,0.000000,-0.254106,-0.940982,-0.060320,0.128028,-0.124513,0.000000,0.252939,-0.374250,-0.374250,0.000000,0.439041,0.123727,-0.247836,0.000000,0.123727,0.439041,0.000000,0.128028,-0.247836,0.061485,0.128028,-0.187211,-1.431187,-0.498704,-0.124513,-0.060320,-0.247836,-0.065515,0.066062,-0.060320,-0.247836,0.066062,-0.374250,0.500036
L3,0.000000,-0.065515,-0.312374,0.066062,0.190419,-0.060320,0.186378,0.061485,-0.627085,-0.440208,-0.187211,0.311779,0.000000,0.000000,0.186378,-0.247836,0.186378,0.061485,-0.247836,0.066062,-0.187211,-0.124513,0.061485,0.123727,-0.247836,-0.565118,-0.560835,-0.440208,-0.374250,-0.319063,0.000000,-0.565118,-0.498704,-0.502728,-0.060320,-0.187211,0.066062,-0.247836,-0.060320,0.000000,0.066062,0.311779
L4,-0.124513,-0.060320,-0.432660,0.000000,-0.247836,0.000000,0.061485,0.000000,0.123727,-0.753466,-0.187211,-0.060320,0.061485,-0.124513,0.066062,-0.247836,0.500036,-0.060320,-0.440208,-0.060320,-0.060320,-0.124513,0.186378,0.500036,0.186378,-0.124513,-0.374250,0.000000,0.061485,0.252939,0.004866,-0.627085,-0.440208,-0.688280,0.128028,-0.187211,0.066062,-0.124513,-0.124513,0.374083,0.439041,0.004866
L5,-0.193111,-0.124513,-0.247836,-0.124513,0.000000,0.000000,0.000000,-0.060320,-0.627085,-0.693146,-0.627085,0.000000,-0.124513,-0.124513,0.061485,0.252939,-0.187211,-0.187211,-0.374250,-0.312374,-0.312374,-0.130053,0.186378,0.061485,0.061485,-0.187211,-0.312374,0.627632,0.061485,-0.124513,-0.940982,-0.693146,-0.193111,-0.817659,-0.193111,-0.124513,-0.247836,-0.060320,0.123727,0.252939,-0.880358,-0.199046
L6,-0.060320,-0.060320,0.000000,-0.060320,0.066062,-0.440208,-0.312374,-0.187211,0.066062,0.061485,-0.247836,0.190419,0.000000,0.061485,-0.187211,-0.124513,0.066062,0.252939,-0.312374,-0.124513,-0.187211,-0.060320,0.190419,-0.060320,0.374083,0.123727,-0.753466,-0.254106,-0.312374,-0.440208,-0.510825,-0.065515,0.311779,-0.312374,0.066062,-0.187211,0.066062,0.000000,-0.247836,0.252939,-0.693146,-0.565118
L7,-0.374250,-0.124513,-0.060320,-0.060320,0.252939,3.156065,-0.060320,0.000000,0.252939,0.000000,-0.193111,0.186378,0.123727,0.000000,-0.124513,-0.247836,-0.247836,0.000000,-0.502728,-0.560835,-0.187211,-0.124513,0.061485,-0.319063,0.311779,-0.124513,-0.247836,-0.565118,-0.688280,-0.565118,-0.622529,0.000000,-0.817659,-1.179874,-0.124513,0.000000,-0.060320,-0.124513,-0.187211,-0.565118,0.000000,1.382629
L8,0.000000,-0.060320,0.000000,-0.060320,0.190419,0.374083,0.627632,0.128028,-0.312374,1.006710,0.500036,0.252939,-0.124513,-0.247836,-0.004890,0.061485,-0.124513,-0.187211,-0.060320,-0.312374,-0.187211,0.000000,-0.060320,0.000000,0.318897,-0.060320,-0.124513,-0.124513,0.190419,1.006710,1.754487,-0.187211,0.000000,-0.812150,-0.124513,-0.247836,-0.187211,-0.124513,-0.247836,-0.817659,0.877499,0.252939
L9,-0.187211,0.000000,-0.947252,-0.060320,0.128028,0.061485,-0.187211,0.190419,0.252939,-0.940982,0.186378,-0.060320,-0.060320,-0.060320,0.186378,-0.187211,-0.627085,0.311779,-0.312374,-0.312374,-0.124513,0.000000,-0.124513,-0.124513,0.439041,0.000000,0.066062,0.061485,-0.124513,0.311779,0.190419,-0.312374,-0.065515,-0.874493,-0.060320,0.000000,-0.187211,-0.060320,-0.060320,-0.622529,-0.312374,0.750034
L10,-0.060320,-0.060320,0.000000,-0.124513,0.190419,0.004866,0.066062,-0.124513,0.128028,0.000000,-0.060320,0.123727,0.128028,0.061485,0.061485,0.252939,-0.124513,0.061485,0.123727,0.123727,-0.060320,0.066062,0.061485,0.123727,0.252939,-0.124513,-0.124513,-0.187211,0.000000,0.245334,-0.753466,-0.502728,-0.498704,-0.312374,0.000000,0.000000,-0.060320,-0.060320,-0.124513,0.190419,-0.693146,-0.060320
L11,0.128028,0.066062,0.123727,-0.124513,0.190419,-0.060320,0.061485,0.000000,-0.187211,1.506783,0.252939,0.252939,-0.124513,0.061485,0.061485,0.000000,-0.374250,0.000000,-0.124513,-0.060320,-0.124513,-0.060320,0.000000,0.061485,0.186378,0.186378,0.123727,0.311779,0.380772,0.563094,4.135205,-0.247836,-0.247836,-0.440208,0.000000,-0.187211,0.000000,-0.247836,-0.181346,0.245334,1.747714,0.061485
L12,0.061485,-0.124513,-0.124513,-0.187211,-0.124513,-0.124513,-0.440208,0.186378,-0.060320,-0.498704,0.186378,-0.060320,-0.060320,-0.060320,-0.247836,0.000000,0.186378,0.061485,0.000000,-0.374250,-0.247836,-0.124513,-0.187211,-0.247836,-0.187211,-0.247836,-0.060320,-0.312374,0.066062,0.000000,0.252939,0.311779,-0.440208,-0.498704,-0.060320,-0.124513,-0.187211,-0.124513,-0.124513,0.439041,0.505935,0.808216
L13,-0.060320,-0.060320,-0.060320,-0.124513,-0.060320,-0.124513,0.061485,0.061485,0.128028,-0.124513,0.000000,0.186378,-0.247836,-0.060320,-0.060320,0.123727,0.252939,-0.004890,0.000000,0.245334,-0.187211,-0.187211,0.000000,-0.187211,0.186378,-0.124513,-0.187211,-0.312374,-0.187211,-0.065515,0.252939,0.066062,0.311779,-0.748298,-0.124513,-0.124513,-0.060320,-0.060320,0.061485,-0.627085,-0.124513,2.006739
L14,0.061485,-0.060320,0.000000,-0.060320,-0.124513,-0.440208,0.123727,-0.060320,0.000000,-0.688280,-0.374250,-0.060320,0.000000,0.000000,0.000000,0.000000,-0.124513,-0.124513,-0.187211,0.123727,-0.060320,-0.124513,0.123727,0.000000,-0.060320,-0.060320,-0.124513,0.000000,-0.374250,-0.065515,-0.560835,-0.065515,0.061485,-1.060329,0.000000,-0.060320,-0.060320,-0.247836,-0.312374,-0.312374,0.000000,-0.124513
L15,0.000000,0.000000,-0.060320,0.061485,-0.060320,-0.124513,-0.060320,-0.374250,-0.124513,-0.812150,0.123727,0.000000,0.000000,0.061485,-0.060320,-0.187211,-0.060320,-0.124513,-0.124513,-0.060320,0.000000,-0.124513,-0.060320,-0.124513,-0.124513,0.000000,0.061485,0.186378,-0.065515,-0.060320,0.374083,0.123727,-0.374250,-0.312374,0.061485,0.190419,0.000000,-0.187211,-0.312374,0.000000,0.252939,1.565562
L16,0.000000,-0.060320,-0.124513,-0.187211,-0.124513,-0.124513,-0.498704,-0.060320,-0.247836,-0.060320,0.123727,0.066062,-0.124513,-0.187211,-0.124513,-0.060320,-0.124513,-0.187211,-0.374250,0.061485,-0.060320,0.123727,0.061485,-0.060320,-0.502728,0.061485,0.061485,-0.124513,0.000000,0.190419,-0.432660,0.123727,-0.060320,-0.560835,-0.060320,0.186378,0.066062,0.061485,-0.187211,-0.880358,-0.874493,-0.193111
L17,-0.060320,-0.060320,-0.060320,-0.060320,0.128028,-0.187211,-0.060320,0.252939,0.000000,0.439041,-0.124513,-0.187211,0.000000,-0.124513,-0.124513,-0.060320,-0.060320,0.061485,-0.247836,-0.374250,0.061485,-0.124513,0.000000,0.066062,0.123727,0.000000,-0.124513,0.000000,0.000000,-0.060320,0.819027,0.252939,-0.312374,-1.195874,-0.060320,0.000000,0.000000,-0.060320,0.000000,0.186378,0.252939,1.884108
L18,0.000000,0.128028,0.000000,0.066062,0.311779,0.123727,2.382702,0.693147,1.565562,12.058919,3.386619,1.006710,0.186378,0.128028,0.000000,1.377721,0.380772,0.066062,1.502449,0.380772,0.311779,0.819027,0.688257,1.068907,0.877499,0.000000,0.190419,0.252939,0.252939,0.693147,11.949436,1.691804,0.311779,0.128028,0.186378,0.190419,0.123727,-0.124513,0.318897,-0.009804,4.257306,2.072711
L19,-0.187211,-0.124513,-0.187211,-0.060320,-0.124513,-0.060320,-0.874493,-0.124513,-0.124513,-0.247836,-0.247836,-0.565118,-0.060320,-0.124513,-0.060320,-0.124513,0.252939,0.061485,-0.124513,0.000000,-0.124513,-0.060320,-0.060320,-0.187211,-0.187211,0.000000,0.123727,0.000000,-0.187211,-0.374250,-0.254106,0.066062,-0.065515,-0.312374,-0.187211,0.000000,-0.124513,-0.060320,-0.060320,0.432732,0.066062,2.184130
