layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:The,7: patient,8: carries,9: a,10: diagnosis,11: of,12: multiple,13: sclerosis,14:.,"15:
",16:Sum,17:mar,18:ize,19: demographic,20: profile,21: and,22: past,23: medical,24: history,25: in,26: 2,27:-,28:4,29: sentences,30:.,31: Start,32: with,33::,"34: """,35:Gender,36::,"37: ""","38:
",39:<,40:|,41:ass,42:istant,43:|>,"44:
",45:Gender,46::
L1,-0.020514,-0.830028,0.230225,0.010101,0.073383,-0.153305,0.105868,0.005063,-0.112720,0.005063,-0.090247,0.101291,0.034916,-0.214300,0.063904,0.132897,0.063904,-0.118418,-0.239779,-0.208030,-0.112720,0.132897,0.068654,0.034916,-0.084707,0.073383,-0.239779,-0.025708,-0.052095,-0.239779,0.010101,-0.084707,0.078088,-0.183337,0.172117,-0.279257,-0.313390,0.092075,-0.090247,-0.052095,0.123968,0.010101,0.039806,-0.020514,0.154876,0.030002,-0.079197
L2,-0.377929,-0.141540,-0.112720,-0.183337,-0.112720,-0.057457,-0.147405,0.005063,0.039806,0.034916,0.039806,0.159214,0.010101,0.096694,-0.025708,0.096694,0.034916,0.159214,-0.159240,0.189067,0.078088,0.128442,0.096694,-0.025708,0.073383,0.226185,-0.090247,0.010101,0.497540,-0.246251,0.000000,0.159214,-0.118418,0.096694,0.682943,0.025064,-0.252766,-0.057457,-0.062848,0.123968,0.068654,0.128442,0.128442,-0.057457,0.218054,-0.220609,-0.129912
L3,-0.025708,-0.057457,0.034916,0.034916,0.034916,0.068654,0.005063,-0.208030,0.034916,-0.084707,-0.124148,0.039806,0.030002,0.154876,-0.208030,-0.052095,-0.057457,0.096694,-0.279257,0.063904,0.379757,0.197435,0.039806,0.101291,0.000000,-0.025708,-0.177258,-0.147405,0.222128,0.082772,-0.177258,0.254131,-0.057457,0.096694,-0.112720,-0.036180,-0.129912,-0.483289,-0.124148,0.096694,-0.118418,0.073383,0.254131,0.010101,0.034916,0.068654,-0.435087
L4,0.039806,-0.153305,-0.025708,-0.084707,-0.124148,-0.025708,-0.090247,0.010101,-0.057457,-0.147405,-0.084707,0.193260,-0.057457,0.292745,0.068654,0.015114,-0.057457,0.073383,-0.036180,-0.177258,0.132897,0.128442,-0.112720,0.030002,0.132897,0.063904,0.123968,-0.020514,-0.195607,-0.533933,-0.159240,0.034916,0.073383,0.068654,0.105868,0.128442,-0.214300,-0.830028,-0.183337,0.344417,-0.084707,0.010101,-0.090247,-0.153305,0.030002,-0.030930,-0.306470
L5,-0.306470,-0.246251,0.128442,0.132897,-0.189454,0.101291,-0.084707,0.044672,-0.112720,-0.020514,-0.025708,-0.090247,-0.057457,0.747482,0.213964,-0.052095,0.005063,0.096694,0.246225,-0.079197,0.167835,0.189067,0.063904,-0.025708,0.020101,0.039806,-0.095818,-0.020514,0.010101,-0.363223,-0.341561,-0.025708,-0.208030,0.073383,0.193260,0.269756,0.123968,-0.569179,0.485117,0.277478,0.034916,0.005063,0.005063,-0.214300,0.159214,0.365771,-0.578188
L6,0.101291,0.073383,0.000000,-0.153305,0.184856,0.034916,0.005063,-0.147405,-0.090247,-0.020514,-0.062848,-0.062848,0.005063,0.189067,0.123968,0.101291,0.096694,0.193260,0.137331,-0.025708,0.044672,0.137331,0.096694,0.005063,0.258060,0.159214,0.222128,0.010101,0.128442,-0.355950,0.163534,0.132897,-0.177258,-0.052095,-0.408006,0.446896,0.163534,-0.068268,0.372788,0.372788,0.068654,0.034916,0.039806,-0.147405,0.574729,0.189067,0.478848
L7,0.503694,0.503694,-0.153305,0.034916,0.034916,0.608440,-0.057457,-0.025708,-0.246251,0.096694,0.034916,-0.025708,-0.020514,0.420579,-0.025708,-0.214300,-0.025708,-0.057457,-0.246251,-0.068268,-0.015346,-0.239779,0.073383,0.034916,0.073383,0.096694,-0.057457,-0.052095,0.005063,-0.220609,0.087434,0.039806,0.752278,0.128442,0.358703,-0.073718,0.379757,-0.030930,-0.079197,0.197435,0.039806,-0.025708,0.039806,-0.334444,-0.036180,0.176382,0.651690
L8,0.010101,-0.052095,-0.025708,0.132897,0.073383,0.230225,0.258060,0.073383,0.167835,0.128442,-0.090247,0.068654,-0.090247,0.613950,0.132897,-0.124148,-0.052095,0.132897,0.128442,0.092075,-0.079197,0.159214,-0.084707,0.073383,0.222128,0.154876,-0.025708,0.005063,0.096694,-0.643632,-0.214300,-0.177258,0.285141,0.101291,0.285141,-0.299597,-0.030930,0.000000,-0.124148,0.379757,0.005063,0.068654,0.068654,-0.112720,0.015114,-0.624493,0.491348
L9,-0.025708,-0.025708,-0.830028,0.068654,-0.025708,0.101291,-0.084707,-0.057457,0.101291,0.010101,0.101291,0.073383,-0.025708,0.132897,0.005063,-0.208030,0.005063,0.068654,0.030002,-0.079197,0.010101,0.005063,0.101291,0.034916,-0.112720,0.159214,0.034916,-0.112720,0.030002,0.119474,-0.112720,-0.090247,-0.112720,0.285141,0.123968,-0.177258,-0.183337,-0.377929,0.226185,-0.062848,0.068654,-0.057457,-0.090247,-0.239779,0.393550,0.030002,1.814345
L10,0.068654,0.034916,0.030002,-0.057457,-0.057457,-0.020514,0.132897,0.193260,0.039806,0.034916,-0.090247,0.005063,-0.118418,0.163534,-0.084707,-0.079197,-0.020514,0.010101,-0.062848,-0.041457,0.096694,0.132897,0.068654,0.096694,0.201593,0.092075,0.005063,0.005063,0.005063,0.322598,0.379757,0.034916,-0.084707,0.163534,0.285141,0.292745,0.315218,-0.439017,0.503694,-0.239779,-0.084707,-0.079197,-0.147405,-0.112720,0.527937,-0.214300,0.677802
L11,0.039806,0.034916,0.005063,0.005063,0.073383,0.096694,0.073383,0.073383,0.073383,-0.090247,-0.090247,-0.052095,0.039806,-0.068268,0.193260,0.105868,-0.112720,-0.052095,-0.279257,-0.090247,-0.079197,-0.020514,-0.052095,0.010101,0.258060,-0.147405,-0.025708,-0.052095,-0.025708,0.000000,-0.057457,-0.057457,-0.025708,-0.124148,0.184856,0.420579,0.128442,-0.370549,-0.129912,0.068654,-0.052095,-0.020514,-0.025708,-0.299597,0.521931,0.277478,-0.153305
L12,-0.052095,-0.020514,0.034916,-0.025708,-0.208030,-0.118418,0.068654,-0.239779,-0.090247,0.101291,-0.057457,0.005063,-0.057457,-0.408006,-0.183337,-0.141540,0.068654,0.039806,-0.272568,-0.112720,-0.020514,-0.147405,-0.177258,-0.090247,0.222128,-0.057457,0.034916,-0.020514,-0.020514,-0.057457,-0.153305,0.101291,-0.112720,-0.020514,-0.214300,0.193260,-0.124148,-0.370549,-0.587279,-0.090247,0.010101,-0.057457,-0.147405,-0.112720,0.068654,0.180628,0.427223
L13,-0.090247,-0.020514,0.034916,-0.118418,-0.052095,0.068654,0.034916,0.010101,-0.025708,-0.057457,0.034916,0.039806,0.034916,-0.272568,0.010101,0.010101,0.005063,0.096694,-0.084707,-0.057457,0.010101,-0.112720,-0.052095,-0.020514,0.137331,-0.090247,-0.025708,0.010101,-0.020514,-0.573674,-0.090247,-0.147405,-0.239779,-0.030930,-0.159240,0.545742,0.096694,-0.252766,-0.112720,-0.090247,-0.147405,-0.025708,-0.020514,-0.052095,-0.252766,-0.036180,0.817115
L14,0.039806,0.068654,0.005063,0.005063,0.068654,-0.183337,-0.147405,0.101291,0.010101,-0.052095,0.068654,0.005063,0.132897,0.189067,0.034916,-0.052095,-0.084707,0.039806,-0.025708,-0.189454,0.000000,0.105868,0.039806,0.063904,0.092075,0.034916,0.005063,-0.025708,-0.084707,-0.118418,-0.177258,-0.118418,-0.118418,-0.025708,-0.084707,-0.377929,0.651690,-0.189454,-0.504080,-0.057457,0.068654,-0.025708,-0.084707,-0.052095,0.222128,-0.095818,-0.265924
L15,-0.090247,-0.084707,0.005063,0.039806,-0.052095,0.034916,-0.084707,-0.057457,-0.153305,-0.052095,-0.090247,-0.057457,0.005063,0.254131,0.132897,0.034916,-0.090247,0.034916,0.096694,-0.095818,-0.147405,0.073383,0.010101,-0.025708,0.119474,0.005063,0.010101,-0.057457,0.005063,-0.118418,-0.020514,-0.057457,-0.036180,-0.153305,-0.363223,0.189067,0.073383,-0.084707,0.039806,0.184856,0.073383,-0.084707,0.005063,0.005063,0.503694,0.527937,0.351586
L16,0.132897,0.137331,-0.020514,-0.020514,-0.052095,0.005063,-0.025708,-0.252766,-0.118418,-0.025708,0.010101,-0.201799,-0.025708,0.917305,0.005063,0.063904,-0.025708,-0.118418,-0.118418,-0.147405,-0.025708,0.163534,-0.052095,0.034916,0.068654,-0.052095,-0.025708,-0.057457,-0.046762,0.159214,0.034916,-0.057457,-0.118418,-0.025708,-0.334444,0.025064,0.154876,-0.090247,-0.005089,0.063904,0.034916,0.005063,-0.079197,-0.208030,1.210550,0.453369,0.757051
L17,-0.052095,0.005063,-0.025708,-0.025708,-0.052095,0.039806,-0.090247,0.128442,0.068654,-0.025708,0.034916,-0.118418,-0.025708,-0.057457,-0.015346,-0.272568,-0.112720,0.005063,-0.052095,-0.084707,0.073383,0.068654,0.034916,0.010101,0.234249,-0.020514,-0.057457,-0.090247,-0.214300,0.005063,0.073383,-0.057457,0.132897,-0.025708,-0.153305,0.197435,-0.020514,0.034916,0.054334,-0.052095,-0.052095,-0.052095,0.044672,-0.112720,0.005063,0.539842,0.723149
L18,0.068654,0.044672,0.063904,0.039806,-0.057457,-0.090247,-0.025708,0.539842,0.351586,0.073383,0.039806,0.172117,0.073383,5.690308,1.367075,0.292745,0.005063,0.034916,0.044672,0.105868,0.167835,-0.020514,0.172117,0.197435,0.472538,-0.052095,-0.020514,0.034916,-0.057457,-0.246251,0.201593,0.034916,-0.141540,0.096694,0.184856,2.385825,0.568999,-0.030930,-0.214300,-0.020514,0.034916,-0.020514,0.039806,-0.095818,0.949244,2.056983,-0.292771
L19,0.034916,-0.020514,0.005063,-0.084707,0.005063,0.039806,-0.057457,-0.341561,-0.183337,0.005063,0.005063,-0.090247,0.068654,0.315218,-0.246251,-0.025708,0.005063,-0.020514,-0.090247,-0.057457,-0.153305,0.101291,0.034916,0.005063,0.005063,-0.057457,-0.020514,-0.057457,0.068654,0.054334,-0.036180,-0.020514,-0.090247,0.000000,-0.095818,0.551607,0.025064,0.132897,0.218054,-0.124148,-0.020514,-0.052095,0.010101,0.123968,0.688058,1.067682,0.497540
L20,0.005063,0.034916,0.005063,-0.052095,0.101291,-0.052095,0.034916,-0.095818,-0.246251,0.005063,0.034916,-0.118418,0.005063,-0.341561,-0.189454,0.010101,-0.025708,0.005063,0.096694,-0.246251,-0.057457,0.128442,-0.118418,-0.246251,-0.272568,-0.118418,-0.052095,0.005063,-0.052095,0.005063,-0.112720,0.034916,-0.090247,-0.183337,-0.090247,-0.285991,0.073383,0.039806,0.078088,-0.084707,-0.025708,-0.084707,-0.046762,0.010101,0.030002,0.693147,1.717131
