layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Clinical,7: task,8::,9: summarize,10: a,11: case,12: of,13: multiple,14: sclerosis,15:.,"16:
",17:Report,18: demographic,19: and,20: pertinent,21: prior,22: medical,23: history,24: in,25: concise,26: form,27:.,28: First,29: characters,30: must,31: be,32::,"33: """,34:Gender,35::,"36: ""","37:
",38:<,39:|,40:ass,41:istant,42:|>,"43:
",44:Gender,45::
L1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001171,0.000000,0.000000,0.000000,0.079423,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.105950
L2,0.000000,0.018463,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.126676,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.166883,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.136880
L3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001171,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.041062,0.000000,0.000000,0.000000,0.074032,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
L4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.041062,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.024161,0.000000,0.000000,0.000000,0.000000,0.000000,0.052174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.171797,0.000000,0.136880,0.196011,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.242748,0.111172
L5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.111172,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.350845,0.000000,0.000000,0.035460,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.074032,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
L6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.024161,0.000000,0.000000,0.000000,0.722974,0.000000,0.000000,0.000000,0.000000,0.000000,0.012732,0.035460,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001171,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
L7,0.000000,0.000000,0.000000,0.000000,0.000000,0.422021,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.304715,0.000000,0.000000,0.000000,0.095424,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.090119,0.057683,0.136880,0.000000,0.000000,0.000000,0.000000,0.000000,0.046633,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
L8,0.000000,0.000000,0.000000,0.000000,0.000000,0.136880,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.278627,0.105950,0.000000,0.000000,0.074032,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.317508,0.000000,0.090119,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
L9,0.000000,0.000000,0.459479,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006968,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.029826,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.035460,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
L10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.029826,0.041062,0.074032,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
