layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:A,7: patient,8: has,9: multiple,10: sclerosis,11:.,12: Write,13: a,14: concise,15: clinical,16: summary,17: covering,18: demographic,19: and,20: relevant,21: past,22: medical,23: history,24:.,25: ,"26:
",27:Begin,28: exactly,29: with,30::,"31: """,32:Gender,33::,"34: ""","35:
",36:<,37:|,38:ass,39:istant,40:|>,"41:
",42:Gender,43::
L1,0.031155,0.274943,0.000000,-0.032157,-0.032157,0.025001,-0.128121,0.096460,0.090697,0.096460,-0.032157,0.025001,0.061369,-0.032157,-0.128121,-0.092782,0.025001,-0.032157,0.119189,0.031155,-0.092782,0.119189,-0.032157,-0.065383,-0.149940,-0.065383,-0.157320,-0.065383,-0.099750,-0.092782,-0.218408,-0.092782,-0.187398,0.037271,0.279739,-0.092782,-0.065383,0.067304,-0.025642,0.090697,-0.065383,0.067304,0.061369,0.840038
L2,0.362355,0.513354,0.096460,-0.065383,-0.092782,-0.065383,-0.065383,0.130362,-0.032157,-0.065383,0.409676,-0.187398,-0.032157,0.000000,0.279739,0.096460,0.061369,0.119189,-0.006349,0.124791,-0.065383,-0.032157,0.124791,0.061369,-0.157320,0.000000,0.124791,-0.065383,-0.164755,0.405465,-0.092782,-0.032157,-0.408635,0.000000,-0.128121,-0.092782,-0.032157,0.031155,0.031155,0.152341,-0.032157,0.152341,-0.058649,0.375484
L3,0.061369,0.124791,-0.099750,-0.065383,-0.099750,0.025001,-0.065383,0.130362,0.000000,-0.065383,0.434573,-0.032157,0.031155,-0.065383,0.220609,0.124791,0.061369,0.025001,-0.187398,0.031155,-0.065383,0.025001,-0.006349,-0.006349,-0.128121,0.061369,-0.065383,0.061369,-0.157320,-0.065383,-0.157320,-0.092782,-0.254484,-0.032157,0.124791,0.000000,0.157761,-0.006349,0.031155,0.124791,0.000000,0.220609,0.152341,0.375484
L4,0.031155,-0.065383,-0.120953,0.031155,-0.092782,-0.092782,-0.006349,0.157761,0.000000,-0.157320,2.162886,-0.032157,-0.065383,-0.092782,0.184429,0.157761,0.090697,0.061369,-0.317663,0.061369,-0.032157,0.025001,0.090697,0.061369,-0.065383,0.000000,0.096460,0.000000,-0.128121,0.031155,0.000000,-0.058649,0.184429,0.157761,0.090697,-0.279279,0.284512,-0.065383,0.000000,-0.065383,-0.120953,0.308043,0.096460,-0.120953
L5,-0.065383,-0.128121,-0.065383,0.124791,-0.065383,0.215520,0.090697,0.157761,0.090697,-0.065383,2.224966,-0.187398,-0.065383,-0.006349,0.189678,0.220609,-0.128121,0.000000,-0.065383,0.061369,0.031155,0.031155,0.215520,-0.032157,0.215520,0.061369,0.090697,0.000000,-0.128121,0.344577,0.220609,-0.222353,-0.157320,-0.222353,0.031155,-0.025642,0.184429,-0.032157,0.061369,0.061369,0.031155,0.535827,-0.226313,0.466834
L6,0.031155,0.090697,0.025001,0.025001,-0.032157,-0.157320,-0.157320,-0.092782,-0.092782,-0.128121,1.417450,-0.006349,0.220609,0.157761,-0.032157,-0.006349,0.000000,0.090697,0.250611,0.061369,0.025001,0.061369,0.031155,0.152341,0.312683,0.124791,0.189678,0.031155,-0.128121,-0.195061,-0.195061,-0.408635,-0.222353,-0.164755,0.157761,-0.032157,0.434573,0.000000,0.031155,0.090697,-0.128121,0.660990,0.055399,0.119189
L7,0.090697,0.061369,0.090697,0.031155,-0.065383,3.526733,0.031155,0.061369,0.284512,0.090697,1.159981,0.152341,-0.032157,0.031155,0.152341,0.061369,0.025001,0.096460,-0.128121,-0.032157,-0.006349,0.025001,0.025001,-0.032157,0.184429,0.000000,0.090697,0.000000,0.000000,-0.128121,-0.344096,-0.222353,-0.437622,-0.006349,-0.442536,-0.218408,0.340082,0.090697,0.031155,0.090697,-0.218408,0.000000,-0.164755,0.189678
L8,0.031155,0.061369,0.090697,0.000000,0.067304,0.344577,-0.032157,0.470794,0.215520,0.090697,1.221539,0.344577,-0.032157,0.061369,-0.065383,-0.065383,0.000000,0.031155,-0.032157,0.031155,0.000000,-0.032157,0.119189,-0.032157,0.061369,0.096460,0.312683,0.031155,0.031155,0.124791,0.215520,0.250611,0.783844,-0.195061,-0.092782,-0.092782,0.250611,0.031155,0.000000,0.031155,0.031155,-0.032157,-0.214479,-0.065383
L9,-0.065383,0.061369,-0.348570,0.090697,0.157761,0.157761,-0.032157,0.025001,0.025001,-0.065383,0.528392,0.152341,0.031155,0.119189,0.215520,0.000000,0.090697,0.152341,-0.006349,0.119189,-0.032157,0.061369,0.000000,-0.025642,0.184429,0.025001,0.124791,0.096460,0.031155,0.220609,-0.032157,0.096460,-0.092782,-0.065383,0.119189,-0.313324,0.245673,0.031155,0.090697,0.090697,-0.058649,0.067304,0.250611,0.718148
L10,0.031155,0.000000,0.090697,-0.032157,-0.032157,0.312683,0.124791,0.157761,0.279739,-0.006349,0.220609,0.284512,0.031155,-0.065383,0.061369,0.124791,-0.099750,0.090697,0.000000,-0.032157,0.031155,0.090697,0.124791,0.215520,0.090697,0.220609,0.157761,0.119189,0.090697,0.096460,0.000000,0.184429,-0.418204,-0.353065,-0.187398,-0.157320,0.130362,0.000000,0.096460,-0.032157,-0.065383,0.157761,-0.568356,0.225672
L11,0.090697,0.031155,0.096460,0.025001,-0.032157,-0.032157,0.119189,0.124791,0.184429,-0.006349,0.718148,-0.006349,0.061369,0.119189,-0.065383,0.279739,-0.065383,0.000000,-0.065383,0.031155,0.000000,0.090697,0.090697,-0.006349,0.031155,0.184429,0.220609,-0.032157,0.061369,0.220609,0.061369,0.317302,0.535827,-0.099750,0.189678,0.067304,0.317302,0.061369,0.090697,-0.099750,-0.120953,0.157761,1.028715,0.718148
