layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:A,7: patient,8: has,9: the,10: following,11: condition,12::,13: multiple,14: sclerosis,15:.,"16:
",17:Com,18:pose,19: a,20: brief,21: presentatio,22: about,23: its,24: demographic,25: information,26: and,27: past,28: medical,29: history,30:.,31: You,32: must,33: start,34: with,35: the,36: following,37::,"38: """,39:Gender,40::,"41: ""","42:
",43:<,44:|,45:ass,46:istant,47:|>,"48:
",49:Gender,50::
L1,0.206207,-0.375388,0.402917,0.323300,0.168228,0.193707,-0.369847,-0.207052,-0.038915,-0.342598,-0.250224,-0.087706,-0.046884,-0.113023,-0.450351,-0.392195,-0.130265,-0.096074,-0.633871,0.168228,-0.075283,-0.456357,0.015152,-0.015385,0.605442,0.108409,-0.358858,-0.063013,-0.143394,-0.179273,0.168228,-0.165667,-0.113023,-0.007663,0.135438,-0.161173,-0.551065,-0.310849,0.531974,0.007605,0.283858,0.022642,0.254701,0.737931,0.037458,0.052056,-0.138999,-0.067086,-0.063013,0.052056,2.287975
L2,0.597073,0.808382,0.312188,0.168228,-0.050892,0.000000,-0.326597,-0.240468,0.044784,-0.007663,-0.063013,0.248767,-0.100284,0.300952,0.187398,-0.486940,0.433070,0.155241,0.015152,-0.188447,-0.179273,0.457521,-0.202368,-0.280077,-0.042892,0.161755,-0.226010,0.108409,-0.054916,-0.050892,-0.415053,-0.108759,-0.290230,-0.023167,0.312188,-0.007663,-0.275040,-0.063013,-0.480748,-0.619585,-0.797660,0.867806,0.000000,-0.034955,0.080630,0.007605,-0.007663,-0.071176,0.115235,0.073563,-0.544464
L3,0.317760,0.066445,0.549753,-0.023167,-0.058956,0.007605,-0.125927,-0.943372,-0.337236,-0.216486,-0.240468,-0.369847,-0.505749,-0.104513,1.080640,-0.216486,-0.134622,0.193707,-0.626702,-0.823412,-0.331903,0.597073,0.428108,-0.161173,-0.663070,1.236270,0.428108,-0.096074,0.328809,0.007605,-0.420850,-0.096074,0.248767,-0.300486,-0.147809,0.066445,-0.280077,-0.450351,-0.342598,-0.904905,-0.353409,0.022642,-0.113023,-0.075283,-0.023167,0.128749,-0.188447,-0.165667,0.161755,0.161755,0.242796
L4,-0.096074,0.015152,0.044784,0.161755,0.044784,0.066445,-0.042892,0.015152,-0.067086,-0.226010,0.087647,-0.226010,-0.121607,-0.235626,1.808164,-0.193066,-0.326597,0.015152,-0.143394,-0.462399,-0.364338,-0.933615,-0.015385,-0.240468,0.642256,0.236790,0.000000,-0.015385,0.230748,-0.042892,0.015152,0.148683,0.044784,-0.063013,0.199976,0.022642,0.066445,-0.156698,-0.108759,-0.571132,-0.953224,-0.531392,-0.255139,0.447813,-0.240468,-0.197706,-0.015385,-0.420850,-0.310849,0.323300,0.745204
L5,-0.369847,-0.152244,-0.058956,0.073563,-0.347989,0.617864,0.094616,-0.670505,-0.337236,-0.015385,-0.152244,-0.250224,-0.216486,-0.156698,1.899027,0.988434,-0.386561,-0.007663,0.199976,0.108409,-0.285141,0.015152,-0.512099,-0.480748,-0.612517,-0.486940,0.148683,0.115235,0.128749,-0.087706,-0.134622,0.015152,0.260601,0.015152,0.317760,0.030077,-0.321320,-0.230806,1.808164,1.190911,1.546425,0.350549,0.300952,0.317760,0.000000,-0.125927,-0.050892,-0.456357,0.283858,0.787763,-0.914384
L6,0.248767,-0.100284,0.044784,0.135438,0.022642,-0.174717,-0.067086,-0.537907,0.015152,-0.015385,0.030077,-0.409289,0.874196,0.135438,0.122015,0.442923,1.288117,-0.050892,0.339738,0.300952,0.433070,0.323300,-0.326597,0.917816,-0.121607,0.490779,-0.235626,0.030077,0.355911,0.861375,-0.403559,0.206207,-0.221237,-0.007663,-0.031010,0.087647,-0.285141,0.328809,-0.677995,4.844548,0.801556,0.155241,0.181048,0.476661,0.094616,-0.138999,0.101536,-0.598531,-0.426681,0.527480,0.835230
L7,1.353314,0.935944,-0.305654,-0.170182,-0.117306,3.273537,-0.075283,0.323300,0.000000,0.199976,-0.079407,-0.161173,-0.245335,0.142083,-0.027081,-0.174717,0.087647,0.059277,-0.075283,-0.075283,0.022642,0.128749,0.339738,-0.221237,-0.797660,-0.462399,-0.235626,-0.409289,-0.027081,-0.619585,0.377076,0.115235,0.295287,0.059277,-0.042892,-0.096074,-0.083548,0.646264,0.917816,0.283858,0.867806,0.161755,-0.670505,0.339738,0.059277,-0.310849,0.073563,-0.456357,-0.331903,0.377076,1.262530
L8,0.094616,0.059277,-0.152244,0.044784,-0.226010,0.609600,-0.270027,-0.143394,0.289589,0.108409,0.015152,0.037458,-0.067086,-0.058956,1.304819,-0.130265,-0.474594,0.015152,0.030077,-0.143394,0.433070,-0.544464,0.212399,-0.316071,-1.091008,-0.748063,-0.295345,-0.125927,0.218553,-0.117306,0.073563,-0.027081,0.094616,0.135438,0.588634,-0.125927,0.339738,1.288117,2.230589,1.615526,1.578428,0.815162,-0.034955,-0.034955,0.155241,-0.183849,-0.023167,-0.685543,-1.057485,-0.577912,1.172175
L9,0.007605,-0.130265,-1.137528,-0.188447,-0.058956,0.236790,0.000000,-0.347989,0.101536,-0.174717,0.030077,-0.221237,0.108409,-0.310849,1.296503,-0.134622,-0.240468,0.037458,-0.211758,-0.426681,-0.031010,1.209302,0.236790,0.266466,-0.867864,-0.156698,-0.456357,-0.226010,0.015152,-0.235626,0.128749,-0.250224,-0.353409,-0.156698,-0.468478,-0.202368,0.094616,0.052056,1.414518,0.634191,-0.221237,0.971241,0.808382,0.030077,-0.130265,-0.138999,0.007605,-0.432546,0.773777,0.766710,0.300952
L10,-0.193066,-0.050892,-0.188447,-0.265040,-0.058956,0.022642,0.181048,-0.326597,-0.091881,-0.050892,-0.174717,0.000000,-0.104513,-0.015385,0.224669,-0.202368,0.080630,-0.007663,-0.108759,0.022642,-0.216486,0.115235,0.230748,0.334289,-0.331903,-0.063013,0.022642,-0.071176,-0.079407,-0.392195,0.345158,0.135438,-0.038915,0.007605,0.161755,0.108409,0.181048,-0.075283,1.762061,0.700752,1.032886,0.350549,1.153081,0.181048,0.000000,-0.067086,-0.245335,-0.797660,-0.904905,0.567220,-0.923954
L11,-0.197706,-0.260077,0.059277,-0.138999,-0.211758,-0.113023,-0.179273,-0.023167,-0.138999,-0.104513,-0.174717,-0.584738,-0.369847,-0.121607,0.283858,0.467137,-0.392195,-0.130265,-0.188447,-0.083548,-0.358858,-0.486940,-0.557709,-0.342598,0.361245,-0.486940,-0.493171,-0.202368,0.155241,-0.104513,0.423120,-0.295345,-0.023167,-0.007663,0.527480,-0.113023,-0.152244,-0.677995,0.382298,0.584388,-0.091881,-1.057485,-0.397860,-0.295345,-0.015385,-0.130265,-0.235626,-1.264279,0.080630,1.999001,-0.591611
L12,-0.075283,-0.125927,-0.100284,-0.130265,-0.462399,-0.619585,0.059277,-0.409289,-0.216486,-0.063013,-0.300486,-0.235626,0.142083,0.052056,-1.091008,0.199976,-0.188447,-0.174717,-0.230806,-0.183849,-0.353409,-0.426681,-0.347989,-0.505749,-0.255139,-0.235626,0.148683,-0.152244,-0.075283,-0.577912,0.328809,-0.197706,-0.310849,-0.091881,-0.280077,-0.091881,-0.245335,-0.117306,0.174659,0.402917,0.708299,-1.137528,-1.305664,0.122015,-0.138999,-0.091881,0.022642,-0.426681,0.588634,1.304819,1.697085
L13,-0.188447,-0.113023,-0.143394,-0.235626,-0.426681,-0.235626,-0.260077,-0.342598,-0.326597,-0.221237,-0.326597,-0.518488,-0.358858,-0.023167,-0.300486,-0.392195,-0.265040,-0.147809,-0.505749,-0.216486,-0.202368,-0.034955,-0.409289,-0.050892,0.174659,0.490779,-0.179273,-0.235626,-0.170182,-0.486940,0.007605,-0.130265,-0.125927,-0.113023,0.242796,-0.250224,-0.235626,0.212399,0.462341,0.030077,-0.904905,-0.113023,-0.369847,0.155241,-0.063013,-0.125927,-0.027081,-0.438446,0.115235,-0.216486,2.399282
L14,-0.316071,-0.165667,-0.161173,-0.104513,0.059277,-0.486940,0.022642,-0.202368,-0.310849,-0.063013,-0.250224,-0.143394,-0.034955,-0.211758,-0.202368,-0.096074,-0.386561,-0.096074,-0.221237,-0.156698,-0.091881,0.218553,-0.221237,-0.221237,-0.677995,-0.577912,0.135438,-0.108759,0.059277,0.423120,-0.083548,-0.138999,-0.280077,0.044784,0.199976,0.030077,-0.265040,-0.358858,-0.221237,-0.134622,0.037458,0.000000,-1.091008,-0.170182,-0.161173,-0.063013,-0.130265,-0.772554,-0.571132,1.123739,-0.183849
L15,-0.152244,-0.245335,-0.067086,-0.285141,-0.197706,-0.250224,-0.130265,-0.375388,-0.143394,-0.130265,-0.083548,-0.138999,-0.226010,-0.420850,0.605442,0.066445,0.087647,-0.034955,-0.091881,-0.038915,-0.007663,-0.130265,-0.134622,-0.161173,-0.255139,-0.230806,0.115235,-0.067086,0.066445,0.101536,-0.067086,-0.179273,-0.321320,-0.250224,0.224669,0.000000,-0.226010,-0.923954,0.000000,1.384384,0.700752,-0.392195,-0.104513,0.212399,0.115235,-0.075283,-0.392195,-0.369847,0.715790,0.801556,-0.353409
L16,-0.216486,-0.358858,-0.216486,-0.230806,-0.295345,-0.113023,-0.113023,-0.518488,-0.275040,-0.202368,-0.211758,-0.156698,0.094616,-0.015385,1.777666,0.087647,0.345158,-0.100284,-0.143394,-0.108759,0.000000,-0.067086,-0.174717,-0.240468,-0.321320,-0.290230,-0.031010,-0.216486,-0.067086,0.066445,-0.058956,-0.050892,-0.226010,-0.152244,-0.216486,-0.165667,-0.023167,-0.474594,-0.331903,0.272297,-0.216486,-0.641091,0.490779,0.230748,-0.015385,-0.108759,-0.091881,-1.057485,1.313067,0.283858,1.450952
L17,-0.156698,-0.174717,0.015152,-0.255139,-0.245335,-0.113023,-0.375388,-0.063013,0.007605,0.022642,-0.079407,-0.280077,-0.096074,-0.108759,-0.305654,-0.042892,-0.117306,0.022642,-0.042892,-0.221237,0.030077,-0.152244,-0.113023,-0.245335,-0.235626,-0.165667,-0.230806,-0.071176,-0.174717,-0.031010,0.272297,-0.042892,-0.265040,-0.170182,0.087647,-0.130265,0.059277,0.187398,0.022642,0.662137,-0.067086,0.073563,-0.087706,0.030077,-0.007663,-0.079407,0.015152,-0.202368,-0.023167,-0.305654,-0.764323
L18,-0.211758,-0.113023,-0.050892,-0.125927,-0.202368,-0.202368,-0.104513,0.007605,0.135438,-0.096074,-0.280077,-0.295345,0.206207,0.236790,13.552096,0.471910,0.122015,-0.042892,-0.161173,-0.179273,-0.226010,-0.188447,-0.174717,0.621971,0.080630,-0.054916,-0.174717,-0.067086,-0.042892,0.022642,-0.380959,-0.015385,-0.027081,-0.038915,0.168228,0.022642,-0.113023,0.317760,-0.117306,3.672525,0.397802,0.808382,-0.591611,-0.310849,-0.170182,-0.165667,-0.046884,-0.321320,1.313067,1.421912,0.549753
