layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Please,7: draft,8: a,9: short,10: admission,11:-,12:style,13: patient,14: presentatio,15: for,16: multiple,17: sclerosis,"18:,",19: including,20: demographic,21: and,22: pertinent,23: PM,24:H,25:.,26: Start,27: exactly,28: with,29::,"30: """,31:Gender,32::,"33: ""","34:
",35:<,36:|,37:ass,38:istant,39:|>,"40:
",41:Gender,42::
L1,0.190354,-0.266405,0.149532,0.149532,0.054916,0.242313,0.054916,-0.133531,-0.066691,-0.004040,-0.161571,0.054916,0.027835,0.054916,-0.185553,0.273469,0.054916,-0.320472,0.273469,0.054916,0.084993,0.309617,0.142563,-0.004040,0.092373,-0.032790,-0.008097,0.054916,-0.004040,-0.036965,0.297712,0.084993,0.447577,0.092373,0.210156,0.279585,0.279585,0.183665,0.216671,0.084993,-0.036965,0.183665,1.493266
L2,1.103974,0.870078,0.054916,-0.008097,0.084993,-0.032790,-0.195309,-0.161571,-0.128934,-0.200223,-0.413562,0.149532,-0.071011,0.452718,0.394654,0.210156,0.216671,-0.348643,0.183665,-0.004040,0.084993,0.054916,0.023906,-0.161571,0.062520,0.242313,0.092373,-0.348643,-0.133531,0.121361,0.400074,-0.360137,-0.354373,0.431992,-0.225162,0.248623,0.121361,0.062520,0.156452,0.023906,0.149532,-0.092894,0.176931
L3,0.242313,0.149532,-0.097328,0.149532,0.092373,0.183665,0.121361,0.372675,-0.071011,0.023906,0.183665,0.023906,-0.444525,0.077558,0.210156,0.400074,0.084993,-0.110751,0.092373,0.023906,-0.220124,0.054916,0.183665,0.084993,0.084993,0.372675,-0.128934,-0.593448,-0.012171,-0.004040,0.084993,-0.195309,0.128478,0.149532,-0.128934,0.149532,0.149532,0.273469,0.149532,0.149532,0.421465,-0.024491,0.190354
L4,0.149532,0.121361,0.092373,0.054916,0.054916,0.235964,0.019961,-0.413562,-0.383530,-0.101783,0.297712,-0.004040,-0.230225,0.651989,0.216671,0.740400,0.084993,0.235964,-0.041158,-0.097328,-0.008097,-0.004040,0.121361,0.149532,0.487986,0.027835,-0.066691,-0.220124,0.054916,0.092373,0.689107,0.717053,0.054916,0.031749,-0.071011,0.437214,0.062520,0.062520,0.149532,0.121361,0.114192,0.092373,0.135545
L5,0.142563,0.084993,0.019961,0.279585,0.084993,0.023906,0.054916,-0.195309,-0.413562,0.000000,-0.106257,0.121361,-0.536695,0.142563,0.778140,0.273469,0.027835,0.922722,-0.128934,0.121361,-0.230225,-0.036965,0.121361,0.092373,-0.045369,0.242313,0.023906,0.054916,0.814508,0.183665,0.502728,-0.432024,-0.220124,0.467985,-0.020367,0.367104,0.210156,0.027835,0.149532,0.054916,0.303682,1.049015,0.622136
L6,-0.156842,0.023906,0.273469,0.121361,0.309617,-0.759839,0.084993,0.084993,0.267315,0.121361,0.000000,0.156452,0.273469,0.183665,0.248623,0.421465,0.242313,0.344504,0.242313,0.303682,0.114192,0.431992,0.149532,0.190354,-0.166321,0.248623,0.273469,-0.354373,-0.516216,-0.354373,-0.608154,0.315517,0.023906,0.550356,-0.133531,0.748063,0.242313,0.062520,-0.101783,-0.092894,0.062520,0.229574,-0.516216
L7,0.550356,0.279585,0.121361,0.273469,0.273469,3.143874,-0.004040,-0.036965,0.114192,-0.066691,-0.195309,-0.004040,-0.195309,0.023906,-0.225162,-0.036965,0.114192,0.941770,0.054916,0.084993,-0.161571,-0.045369,0.242313,0.242313,0.000000,0.114192,-0.225162,-0.255933,-0.509482,0.062520,-0.450834,-0.425832,0.755668,0.203599,-0.593448,0.309617,0.279585,0.062520,0.054916,-0.156842,-0.255933,0.792847,-0.092894
L8,-0.097328,-0.004040,0.367104,0.149532,0.156452,0.630757,0.149532,-0.032790,0.149532,-0.032790,0.183665,0.062520,0.149532,0.183665,0.502728,0.303682,0.273469,0.814508,0.242313,0.149532,-0.041158,0.000000,0.000000,0.084993,0.121361,0.114192,0.121361,-0.161571,-0.097328,-0.036965,0.492924,0.526826,0.121361,0.483023,0.000000,0.156452,0.273469,0.210156,0.023906,-0.156842,-0.106257,-0.004040,0.321382
L9,0.210156,0.054916,-0.079707,0.183665,0.031749,0.372675,0.092373,-0.101783,0.084993,0.092373,-0.092894,-0.004040,0.190354,0.367104,0.378215,0.235964,0.149532,0.473023,0.176931,0.092373,0.054916,-0.004040,0.023906,0.121361,0.023906,0.242313,0.031749,0.023906,0.248623,0.092373,0.338774,0.054916,0.190354,0.635040,-0.314932,0.156452,0.084993,0.121361,0.149532,0.149532,0.092373,0.785520,2.762457
L10,-0.032790,0.092373,0.092373,-0.032790,0.092373,0.279585,0.121361,0.156452,0.149532,0.183665,0.156452,-0.062390,0.183665,0.372675,0.309617,0.000000,0.092373,0.156452,-0.036965,0.121361,-0.124357,0.062520,0.121361,-0.036965,0.054916,0.128478,0.273469,-0.008097,0.114192,0.062520,-0.004040,-0.849990,0.054916,-0.360137,-0.450834,0.183665,0.183665,0.121361,0.023906,0.023906,-0.195309,-0.235314,-0.075349
