layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Write,7: a,8: hand,9:off,10:-,11:style,12: summary,13: for,14: a,15: patient,16: with,17: multiple,18: sclerosis,19:.,20: Include,21: demographic,22: first,"23:,",24: then,25: key,26: PM,27:H,28:.,29: Begin,30: exactly,31: with,32::,"33: """,34:Gender,35::,"36: ""","37:
",38:<,39:|,40:ass,41:istant,42:|>,"43:
",44:Gender,45::
L1,0.030537,-0.632979,0.022990,0.030537,0.215361,0.088947,0.000000,-0.007782,0.096015,0.275986,0.030537,0.000000,-0.123614,0.000000,-0.128010,-0.035507,-0.068163,0.030537,-0.007782,0.150823,0.030537,0.088947,0.060169,0.088947,0.123794,0.000000,0.215361,0.376630,0.123794,0.067441,-0.064022,0.000000,-0.123614,0.472906,-0.159332,-0.182322,0.157467,-0.123614,0.157467,0.123794,0.060169,0.000000,0.123794,-0.154797,0.157467,0.716137
L2,-0.132425,0.116921,0.088947,-0.031499,-0.035507,-0.097638,0.030537,-0.031499,0.275986,-0.059898,-0.064022,0.000000,0.000000,-0.039531,0.150823,-0.068163,-0.039531,0.000000,0.501480,0.000000,0.030537,0.252175,-0.064022,0.060169,0.030537,-0.031499,0.123794,0.196433,0.190044,0.096015,0.060169,0.060169,0.096015,0.060169,-0.123614,-0.434966,0.275986,0.030537,0.123794,0.030537,0.123794,0.060169,-0.035507,0.123794,0.246133,0.304974
L3,0.060169,0.060169,-0.097638,0.060169,0.060169,0.088947,0.246133,-0.035507,0.209092,0.796179,0.088947,0.000000,0.443492,0.157467,0.215361,0.000000,0.123794,-0.064022,0.745990,0.096015,-0.059898,-0.150282,-0.093374,0.030537,0.123794,0.000000,0.150823,0.281851,0.067441,-0.123614,-0.186984,-0.249655,0.030537,0.000000,-0.376810,0.007722,-0.097638,-0.007782,0.030537,-0.093374,0.096015,-0.035507,0.157467,-0.007782,0.157467,0.130620
L4,0.060169,0.123794,-0.059898,0.060169,-0.093374,0.215361,0.030537,-0.254642,0.116921,0.321971,0.022990,0.123794,0.287682,-0.064022,-0.064022,0.565138,-0.064022,0.022990,0.969133,-0.068163,0.221592,-0.097638,-0.027507,0.123794,-0.027507,-0.089128,0.096015,0.215361,-0.059898,-0.031499,-0.089128,-0.089128,0.252175,0.096015,0.096015,0.000000,0.310672,-0.027507,0.157467,-0.123614,0.096015,0.000000,-0.059898,-0.035507,0.349674,0.227784
L5,-0.254642,-0.093374,-0.186984,0.030537,-0.254642,0.157467,-0.093374,-0.186984,0.060169,0.360543,0.060169,0.096015,0.252175,0.060169,-0.159332,0.190044,0.096015,-0.093374,0.902239,-0.064022,-0.055791,-0.123614,0.310672,0.022990,0.000000,0.030537,-0.027507,0.221592,-0.068163,-0.225083,0.030537,0.038027,-0.007782,-0.182322,-0.417161,-0.249655,-0.106222,-0.101921,0.060169,0.000000,-0.064022,0.150823,0.088947,0.157467,0.299243,-0.064022
L6,0.123794,0.030537,0.022990,-0.035507,0.000000,0.067441,-0.093374,-0.093374,0.183613,-0.186984,0.000000,-0.163888,-0.093374,-0.035507,-0.220241,0.130620,0.096015,0.030537,0.789162,-0.031499,0.060169,0.060169,0.252175,0.060169,0.150823,0.030537,0.096015,0.221592,0.183613,0.060169,-0.128010,-0.225083,-0.136859,-0.220241,-0.080689,0.144134,0.209092,-0.264693,0.157467,0.123794,0.000000,0.088947,-0.089128,0.150823,-0.011696,-0.503104
L7,0.629125,0.408046,-0.007782,0.000000,0.060169,1.558553,0.030537,-0.031499,0.096015,-0.834461,0.088947,0.275986,0.316337,-0.035507,-0.154797,-0.031499,-0.123614,-0.068163,1.037341,-0.316518,0.067441,-0.119238,0.067441,0.067441,0.096015,-0.059898,0.030537,0.038027,0.067441,0.030537,-0.093374,0.000000,-0.254642,-0.186984,-0.343473,0.252175,0.209092,-0.027507,0.130620,0.060169,0.000000,-0.007782,-0.244692,0.067441,0.496774,0.246133
L8,0.030537,0.022990,0.000000,0.088947,0.123794,0.096015,-0.035507,-0.031499,-0.035507,-0.311213,0.030537,0.067441,0.190044,0.096015,0.030537,0.376630,0.221592,0.030537,0.591226,0.157467,0.000000,0.038027,-0.064022,0.000000,0.030537,0.157467,0.000000,0.221592,0.190044,0.123794,-0.035507,0.022990,-0.068163,0.281851,0.685365,0.000000,0.150823,0.221592,0.060169,-0.089128,0.088947,0.123794,0.000000,0.000000,0.287682,0.496774
L9,-0.097638,-0.064022,0.392461,-0.064022,0.000000,0.123794,0.000000,0.123794,0.060169,-0.159332,0.000000,-0.031499,0.030537,0.022990,-0.068163,0.060169,0.281851,0.022990,0.438505,0.022990,-0.123614,0.183613,0.183613,-0.059898,0.123794,0.060169,0.123794,0.190044,0.096015,-0.064022,0.030537,0.000000,-0.154797,0.123794,0.252175,-0.035507,0.150823,-0.064022,0.000000,0.000000,0.060169,0.060169,-0.064022,0.209092,0.633249,0.482522
L10,0.096015,-0.031499,-0.093374,0.000000,0.157467,0.221592,0.000000,0.000000,0.060169,-0.279960,-0.035507,0.030537,0.157467,0.060169,0.000000,0.221592,0.190044,0.022990,0.007722,0.000000,0.088947,0.287682,0.221592,0.000000,0.096015,-0.064022,-0.097638,0.123794,0.190044,0.000000,0.000000,0.096015,0.000000,0.215361,-0.249655,-0.225083,-0.097638,0.060169,0.123794,0.096015,0.060169,0.060169,-0.186984,-0.089128,-0.535680,0.103032
L11,0.000000,0.060169,0.150823,0.030537,0.123794,-0.064022,0.060169,0.183613,0.096015,-0.279960,-0.064022,-0.055791,-0.220241,0.000000,-0.093374,0.096015,0.438505,0.000000,0.130620,0.067441,-0.031499,0.123794,0.123794,-0.031499,-0.093374,0.000000,-0.064022,0.007722,-0.007782,0.000000,-0.123614,0.038027,0.007722,0.310672,0.669617,-0.154797,-0.182322,0.000000,0.088947,0.038027,0.030537,-0.097638,-0.119238,0.022990,1.532105,-0.076496
L12,0.088947,-0.007782,0.060169,0.000000,0.000000,-0.093374,0.000000,0.096015,0.088947,-0.123614,0.022990,0.183613,0.338685,0.060169,0.060169,-0.035507,-0.097638,-0.097638,-0.371176,-0.064022,0.060169,0.221592,0.123794,0.157467,0.030537,0.060169,0.088947,0.130620,0.190044,0.060169,-0.035507,-0.093374,-0.093374,0.221592,0.604019,0.030537,-0.101921,-0.123614,0.096015,0.000000,0.000000,0.000000,-0.064022,0.221592,0.349674,0.453394
L13,0.022990,0.000000,0.096015,0.030537,0.060169,-0.031499,0.030537,-0.064022,0.000000,0.000000,-0.007782,0.123794,0.096015,0.000000,0.000000,0.376630,0.088947,0.088947,-0.249655,0.000000,0.000000,0.183613,0.060169,0.088947,0.060169,0.096015,-0.031499,0.252175,0.157467,0.123794,-0.093374,-0.031499,-0.068163,0.052842,0.723684,0.096015,-0.072321,-0.059898,0.000000,0.030537,0.022990,0.038027,0.000000,0.060169,0.281851,0.096015
L14,0.030537,0.000000,-0.031499,-0.031499,0.000000,-0.031499,0.000000,0.000000,0.060169,-0.128010,-0.035507,0.252175,0.190044,0.123794,0.060169,-0.123614,-0.123614,0.022990,-0.376810,-0.154797,0.060169,0.123794,0.096015,0.123794,0.060169,0.088947,0.088947,0.060169,-0.027507,-0.035507,0.030537,0.096015,0.000000,0.183613,-0.154797,0.088947,0.060169,-0.154797,0.096015,0.130620,0.000000,-0.128010,-0.089128,0.183613,0.215361,0.183613
L15,0.022990,0.060169,0.000000,0.088947,0.157467,-0.035507,0.096015,0.088947,0.116921,-0.007782,0.088947,0.088947,0.150823,0.000000,-0.064022,0.060169,-0.064022,-0.007782,0.246133,-0.123614,0.116921,0.030537,0.060169,0.000000,0.060169,0.000000,0.030537,-0.031499,-0.031499,-0.059898,0.060169,-0.031499,-0.031499,0.022990,0.190044,0.157467,-0.159332,0.030537,0.000000,0.130620,0.060169,0.088947,-0.097638,-0.132425,0.716137,1.163635
