layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Pro,7:du,8:ce,9: a,10: discharge,11:-,12:brief,13: style,14: summary,15: for,16: multiple,17: sclerosis,"18:,",19: limited,20: to,21: demographic,22: and,23: prior,24: medical,25: history,26:.,27: Start,28: with,29::,"30: """,31:Gender,32::,"33: ""","34:
",35:<,36:|,37:ass,38:istant,39:|>,"40:
",41:Gender,42::
L1,0.323964,-0.263198,0.082863,-0.018686,0.127302,0.264190,0.030388,0.088527,0.429749,-0.057140,-1.302578,0.024384,0.589020,0.225547,0.371893,0.077167,0.235349,-0.050628,0.110868,0.048188,-0.419290,0.268917,-0.247267,0.105330,-0.070294,-0.477250,0.065676,0.018344,0.195552,-0.259191,0.332851,-0.321041,0.185351,0.077167,0.012266,0.094159,0.138110,0.077167,-0.006190,0.110868,0.048188,0.082863,0.200615
L2,0.082863,0.105330,0.110868,0.143471,-0.024993,0.006152,0.059880,-0.018686,0.012266,-0.204724,-0.219986,-0.063695,-0.110826,-0.044157,-0.405311,-0.117744,0.105330,0.692993,0.138110,0.195552,-0.329584,-0.275314,-0.070294,0.030388,0.012266,0.036357,0.082863,-0.117744,-0.321041,-0.174882,0.127302,0.071438,0.082863,-0.006190,-0.031341,-0.063695,0.121854,0.024384,-0.050628,-0.031341,0.077167,-0.031341,0.159382
L3,0.059880,0.094159,0.006152,0.054051,0.094159,0.054051,0.094159,0.012266,0.121854,-0.227705,-0.291701,-0.044157,-0.756513,-0.912748,-0.024993,-0.769750,0.230460,0.602623,0.127302,0.054051,-1.195064,0.532677,0.132721,0.071438,0.159382,-0.182260,0.180211,0.048188,-0.227705,-0.197180,0.012266,-0.018686,0.296819,-0.316797,0.099760,0.042290,0.082863,0.054051,-0.037728,0.042290,0.000000,0.054051,0.278305
L4,0.138110,0.018344,-0.182260,0.116376,0.059880,0.088527,0.105330,0.065676,-0.063695,-0.533502,0.148803,-0.090355,-0.867662,-0.263198,0.425725,-0.070294,-0.018686,-1.827885,-0.012419,-0.063695,-0.076936,-0.124711,-0.018686,0.071438,0.030388,0.148803,0.210662,0.030388,0.059880,-0.097132,-0.018686,-0.582002,-0.325304,-1.001088,0.071438,0.116376,0.030388,0.105330,0.018344,0.012266,-0.083623,-0.227705,0.376139
L5,0.121854,0.127302,-0.482235,0.110868,-0.124711,0.088527,0.036357,0.082863,-0.018686,-0.006190,0.121854,0.082863,0.048188,0.006152,-0.070294,0.024384,-0.018686,-1.135699,-0.482235,0.018344,-0.889951,-0.160289,0.088527,0.088527,0.116376,0.105330,0.054051,0.000000,0.071438,-0.433468,0.154107,0.094159,0.175044,-1.164941,-0.275314,0.099760,0.054051,0.077167,-0.006190,-0.124711,0.006152,0.264190,-1.560073
L6,0.048188,0.012266,0.077167,-0.024993,0.006152,0.077167,0.088527,0.059880,0.249873,0.175044,0.278305,0.215649,0.105330,0.048188,-0.212326,-0.251226,0.346035,-1.620606,0.185351,0.132721,0.337265,0.205651,0.110868,0.000000,-0.006190,0.099760,-0.076936,0.116376,0.099760,-0.138790,0.077167,0.164630,0.082863,-0.124711,-0.083623,0.012266,0.024384,0.054051,0.042290,-0.031341,-0.189692,-0.050628,-1.026599
L7,0.287605,0.282966,0.048188,0.042290,0.036357,0.488233,0.110868,0.059880,-0.131726,0.000000,0.169851,0.012266,-0.497341,-0.006190,-0.271259,-0.031341,-0.083623,-1.052779,0.071438,-0.377924,0.190465,-0.419290,0.185351,-0.024993,0.018344,-0.817508,-0.174882,-0.024993,0.154107,0.259441,0.036357,-0.593107,0.094159,0.159382,-0.117744,-0.057140,0.082863,0.036357,-0.006190,-0.076936,0.071438,0.292223,0.018344
L8,0.121854,0.088527,0.143471,0.148803,0.099760,0.292223,0.036357,0.024384,-0.012419,-0.182260,-0.247267,0.018344,-0.769750,0.220610,0.249873,0.059880,0.249873,-0.239396,0.099760,0.071438,0.215649,-0.131726,0.154107,-0.012419,0.138110,-0.243324,0.305950,0.164630,0.230460,0.292223,0.127302,0.301395,-0.138790,0.185351,-0.037728,-0.063695,0.077167,-0.024993,-0.050628,-0.018686,-0.638804,-0.174882,0.425725
L9,0.042290,0.048188,0.445682,0.065676,0.185351,0.121854,0.054051,0.094159,0.018344,0.116376,-0.160289,0.030388,0.273622,0.230460,-0.076936,-0.057140,0.071438,0.480630,0.094159,-0.037728,0.138110,-0.044157,0.205651,0.059880,0.116376,0.245055,-0.627182,0.121854,-0.037728,0.094159,0.154107,0.105330,-0.145905,0.185351,-0.012419,-0.167559,0.065676,0.065676,0.048188,0.065676,0.036357,0.230460,0.024384
L10,0.105330,0.127302,0.024384,0.077167,0.088527,0.082863,0.143471,0.094159,0.077167,-0.031341,0.148803,-0.031341,0.054051,-0.304170,0.030388,-0.174882,-0.006190,0.245055,0.350392,0.105330,0.030388,0.077167,0.190465,0.065676,0.036357,0.000000,0.175044,0.000000,0.030388,-0.006190,-0.097132,0.154107,-0.275314,0.143471,-0.057140,0.154107,0.000000,0.071438,0.094159,-0.012419,-0.776434,-0.145905,-0.291701
