layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Format,7: the,8: response,9: as,10: one,11: compact,12: line,13: suitable,14: for,15: a,16: patient,17: header,"18:,",19: containing,20: demographic,21: and,22: PM,23:H,24: for,25: multiple,26: sclerosis,27:.,28: Start,29: with,30::,"31: """,32:Gender,33::,"34: ""","35:
",36:<,37:|,38:ass,39:istant,40:|>,"41:
",42:Gender,43::
L1,0.083881,1.704748,0.552447,-0.025318,0.036814,0.048790,0.100976,-0.621998,-0.374693,-0.192372,0.089612,-0.440445,-0.470004,-0.155193,0.166573,0.354172,-0.169899,-0.597837,-0.416463,0.060625,-0.084741,-0.119347,0.066490,1.762159,0.238032,0.042820,-0.621998,0.771265,-0.184825,0.089612,-0.155193,-0.112329,0.318454,1.106911,-0.038221,0.024693,0.233094,0.060625,-0.105361,0.128833,0.177100,-0.192372,0.281412,0.380147
L2,0.036814,0.112212,0.197826,0.177100,0.276684,-0.126414,-0.112329,0.000000,0.202941,-0.140700,0.006231,-0.227057,-0.250868,-0.365644,-0.025318,0.242946,-0.140700,0.267160,-0.012579,0.018576,0.066490,0.036814,-0.077962,3.186353,0.145182,-0.192372,0.358548,0.788457,-0.119347,-0.119347,-0.119347,-0.177334,-0.267063,0.100976,-0.246860,-0.313000,0.054725,0.177100,0.018576,0.134312,0.042820,0.161268,0.993252,0.313898
L3,-0.025318,-0.012579,0.155935,0.100976,0.054725,0.000000,-0.425987,-0.091567,-0.006270,-0.308735,-0.012579,-0.199976,0.594707,-0.207639,0.202941,-0.006270,0.187516,-0.621998,0.100976,-0.155193,-0.287682,-0.177334,-0.304489,1.321756,0.197826,-0.162519,-0.383826,0.759637,0.161268,0.134312,0.155935,0.083881,0.177100,0.281412,0.267160,0.095310,0.187516,-0.006270,-0.038221,0.066490,0.100976,0.508322,0.405465,0.112212
L4,0.155935,-0.105361,-0.006270,-0.025318,0.213093,-0.025318,-0.184825,0.048790,-0.300261,-0.279383,0.012423,-0.098440,0.271934,-0.038221,0.018576,0.030772,1.111035,1.208960,0.089612,-0.177334,-0.621998,-0.025318,-0.133531,0.945850,0.233094,0.012423,0.530628,0.446287,-0.084741,-0.199976,0.000000,0.426084,0.331998,0.493171,1.081805,-0.112329,0.327504,-0.091567,-0.018928,0.213093,0.197826,0.252702,-0.064539,-0.025318
L5,-0.227057,-0.071228,-0.091567,-0.006270,0.139762,0.615186,-0.223144,-0.223144,-0.098440,-0.177334,0.054725,-0.321584,-0.105361,0.018576,0.134312,-0.177334,0.223144,1.216395,0.322989,-0.091567,-0.330242,-0.051293,-0.246860,0.397097,0.030772,0.354172,1.531476,0.006231,-0.112329,0.208030,0.006231,-0.526574,0.155935,-0.267063,0.896088,-0.207639,0.290802,0.018576,0.145182,0.000000,0.218131,0.397097,0.182322,0.641854
L6,-0.126414,-0.051293,0.048790,-0.133531,0.095310,-0.071228,0.006231,0.106610,-0.526574,0.155935,0.318454,0.139762,-0.455115,-0.112329,-0.162519,0.012423,0.322989,0.515813,-0.147920,-0.105361,0.012423,0.187516,-0.621998,0.349776,-0.445311,0.112212,0.458216,-0.542574,0.072321,0.421994,-0.388424,-0.416463,1.216395,1.135426,0.747872,0.072321,0.331998,0.171850,0.150573,0.166573,-0.250868,0.462160,-0.621998,1.653455
L7,0.615186,0.397097,-0.077962,0.030772,0.048790,11.219201,0.187516,-0.155193,-0.325903,-0.445311,-0.169899,-0.133531,-0.227057,-0.238892,-0.025318,0.078118,0.078118,0.805359,0.262364,-0.267063,0.128833,-0.271153,-0.267063,-0.621998,-0.038221,0.000000,1.007045,0.171850,-0.140700,0.354172,-0.334599,-0.620827,-0.621998,0.367244,-0.258933,-0.155193,0.171850,0.072321,0.018576,0.083881,-0.445311,-0.275260,-0.199976,1.090244
L8,-0.192372,0.012423,0.060625,-0.105361,-0.025318,0.771265,-0.044736,0.054725,-0.064539,-0.071228,-0.119347,-0.025318,0.587787,-0.098440,-0.112329,0.095310,0.054725,-0.044736,0.281412,-0.291857,-0.230987,-0.192372,0.155935,0.112212,-0.184825,0.036814,1.170933,-0.317283,0.106610,0.345361,0.036814,-0.230987,0.139762,0.384412,-0.098440,0.252702,0.155935,0.048790,0.018576,-0.025318,-0.126414,1.301553,-0.609266,0.242946
L9,0.066490,-0.091567,-0.621998,-0.119347,0.242946,0.218131,-0.119347,-0.044736,-0.098440,-0.230987,-0.126414,-0.162519,0.380147,-0.044736,-0.012579,-0.025318,0.018576,-0.126414,0.594707,0.145182,0.983949,0.150573,0.197826,-0.098440,0.331998,-0.133531,1.504077,0.450279,0.182322,-0.038221,-0.227057,-0.254892,0.128833,0.177100,0.042820,0.327504,-0.071228,0.187516,-0.044736,0.128833,0.054725,0.413764,0.161268,2.066863
L10,0.066490,0.048790,0.089612,-0.025318,-0.057894,0.442279,0.060625,-0.162519,-0.254892,-0.207639,-0.064539,-0.199976,0.794123,0.112212,-0.155193,0.048790,0.470004,0.218131,0.523248,-0.077962,0.300105,0.573800,-0.177334,-0.510826,0.083881,-0.450201,0.454255,0.066490,0.030772,-0.215361,-0.258933,0.145182,-0.343371,0.454255,-0.279383,0.345361,0.089612,0.177100,0.117783,0.012423,-0.162519,1.135426,-0.313000,0.500775
L11,0.006231,0.036814,-0.084741,0.228131,-0.177334,-0.098440,0.066490,0.072321,-0.006270,-0.091567,0.161268,0.066490,0.648411,0.208030,-0.025318,0.078118,0.601580,0.166573,0.371564,-0.006270,0.470004,0.262364,-0.064539,0.693147,-0.177334,-0.254892,1.159237,0.327504,0.281412,0.371564,0.150573,0.327504,2.186051,-0.006270,-0.621998,0.117783,0.508322,0.182322,0.078118,0.006231,-0.012579,1.077559,0.309321,0.430158
L12,0.060625,0.036814,0.036814,0.036814,-0.044736,-0.199976,-0.025318,-0.025318,-0.140700,0.100976,0.066490,-0.133531,-0.133531,0.030772,-0.098440,0.139762,-0.084741,-0.317283,0.139762,0.054725,-0.465016,0.072321,-0.126414,-0.621998,-0.119347,-0.119347,-0.184825,0.262364,0.000000,0.060625,0.197826,0.128833,0.890973,0.371564,-0.592171,-0.365644,-0.071228,0.095310,-0.057894,0.177100,-0.012579,2.803360,0.358548,2.740840
L13,0.066490,0.030772,-0.283524,-0.044736,0.117783,-0.112329,0.072321,-0.057894,0.123323,0.128833,-0.064539,0.123323,-0.343371,0.155935,-0.091567,0.106610,0.145182,-0.388424,-0.006270,0.145182,0.367244,0.286118,0.202941,-0.084741,-0.091567,-0.147920,-0.155193,0.267160,-0.018928,0.030772,-0.031749,0.276684,-0.199976,0.641854,0.573800,-0.283524,-0.091567,-0.169899,0.012423,-0.361149,-0.126414,0.095310,0.100976,1.709283
L14,0.000000,0.106610,0.177100,0.012423,-0.012579,0.089612,-0.177334,-0.018928,0.161268,-0.031749,-0.057894,0.089612,0.012423,0.012423,-0.044736,-0.057894,0.000000,0.036814,0.078118,0.336472,0.238032,1.094437,0.286118,-0.621998,0.030772,-0.140700,-0.207639,0.218131,0.036814,-0.192372,-0.012579,0.054725,0.276684,0.242946,0.083881,0.054725,0.150573,0.083881,0.112212,-0.031749,-0.246860,0.072321,0.089612,-0.105361
L15,-0.057894,-0.057894,0.100976,-0.119347,-0.018928,0.150573,0.161268,0.083881,0.202941,-0.091567,0.000000,-0.051293,0.450279,-0.112329,-0.177334,-0.077962,0.112212,0.367244,0.177100,0.213093,0.072321,0.271934,0.066490,-0.184825,0.354172,0.295464,0.066490,0.295464,0.006231,-0.184825,0.267160,0.304724,0.100976,0.247836,-0.091567,0.466090,-0.025318,0.006231,0.100976,-0.112329,0.024693,0.202941,-0.621998,1.504077
L16,0.030772,0.024693,-0.012579,0.000000,-0.057894,-0.155193,-0.044736,-0.025318,-0.126414,-0.126414,0.166573,0.095310,-0.465016,-0.091567,0.006231,0.006231,-0.162519,0.078118,0.128833,0.066490,-0.300261,-0.038221,-0.044736,0.171850,-0.291857,0.048790,-0.215361,0.000000,0.187516,0.177100,-0.057894,-0.155193,-0.192372,0.202941,-0.553385,-0.084741,0.066490,0.187516,0.006231,0.042820,-0.407029,-0.416463,-0.279383,2.687847
L17,0.012423,0.030772,0.036814,0.100976,-0.012579,0.060625,0.018576,-0.025318,0.100976,-0.025318,-0.140700,-0.038221,0.024693,0.018576,-0.119347,-0.084741,0.117783,-0.071228,-0.091567,-0.133531,0.083881,0.161268,0.066490,0.182322,0.139762,0.000000,0.723919,0.331998,-0.057894,0.134312,-0.192372,-0.192372,0.218131,-0.084741,-0.184825,-0.162519,-0.091567,0.145182,0.100976,0.089612,-0.133531,-0.388424,0.267160,-0.177334
L18,0.112212,0.112212,0.128833,-0.038221,0.213093,0.072321,0.006231,0.421994,-0.025318,0.145182,0.048790,0.276684,1.123305,-0.044736,0.030772,-0.012579,0.438255,0.112212,0.371564,0.100976,0.827460,0.674219,-0.071228,0.401290,0.508322,0.134312,14.348452,2.272126,0.223144,0.530628,0.559616,1.315067,4.982236,1.002468,0.838329,0.331998,-0.057894,0.202941,-0.077962,0.048790,-0.051293,-0.140700,2.277267,4.097672
L19,0.048790,0.177100,0.012423,0.036814,-0.147920,0.340927,-0.057894,-0.018928,-0.064539,0.012423,-0.091567,-0.044736,-0.112329,-0.119347,-0.126414,-0.044736,0.349776,-0.140700,-0.199976,-0.234932,0.161268,0.177100,-0.077962,0.024693,0.267160,0.729961,-0.334599,0.257545,-0.199976,-0.044736,0.042820,-0.091567,0.827460,-0.057894,-0.416463,-0.621998,-0.361149,0.233094,0.006231,-0.112329,-0.321584,0.916291,0.799757,5.101085
L20,-0.018928,0.012423,-0.025318,-0.091567,-0.199976,0.030772,0.066490,0.006231,-0.091567,-0.025318,0.042820,-0.105361,0.134312,-0.025318,-0.077962,0.100976,-0.147920,-0.421213,-0.140700,-0.025318,-0.262989,-0.207639,0.187516,0.072321,-0.044736,0.089612,-0.621998,-0.603535,-0.147920,0.066490,-0.057894,0.095310,0.885832,0.150573,-0.112329,-0.262989,-0.031749,0.012423,0.066490,0.048790,-0.077962,-0.254892,0.177100,1.695616
L21,0.048790,0.066490,0.006231,-0.057894,-0.184825,-0.044736,0.100976,0.100976,0.036814,0.161268,0.000000,0.134312,-0.084741,0.066490,0.006231,0.066490,-0.112329,-0.411735,-0.084741,0.228131,0.566733,0.327504,-0.025318,0.018576,0.367244,1.077559,4.789157,-0.105361,-0.044736,-0.018928,0.145182,0.304724,2.277267,0.485508,0.024693,-0.025318,-0.126414,0.036814,-0.031749,-0.084741,-0.006270,-0.258933,0.523248,0.078118
L22,0.066490,0.066490,0.066490,0.006231,-0.025318,-0.025318,0.100976,-0.018928,-0.018928,-0.091567,0.128833,0.012423,0.095310,0.006231,0.006231,0.006231,-0.192372,-0.155193,0.066490,0.066490,-0.091567,-0.012579,0.000000,0.060625,-0.025318,-0.215361,-0.621998,-0.258933,0.036814,-0.071228,0.100976,-0.126414,-0.287682,-0.177334,0.095310,0.078118,0.078118,0.100976,-0.012579,-0.006270,0.117783,1.280934,0.446287,1.740466
L23,-0.057894,-0.012579,0.030772,-0.031749,-0.012579,0.006231,-0.057894,-0.025318,0.006231,0.036814,-0.025318,-0.012579,0.100976,-0.119347,0.006231,0.006231,-0.162519,-0.031749,0.095310,0.066490,0.036814,-0.091567,0.066490,0.066490,-0.064539,0.036814,-0.621998,-0.334599,-0.025318,-0.051293,-0.077962,-0.317283,-0.155193,0.042820,-0.207639,-0.133531,-0.044736,0.042820,-0.025318,0.042820,-0.112329,0.171850,0.735967,2.307573
L24,0.000000,-0.018928,0.000000,-0.031749,-0.057894,1.446919,-0.140700,-0.031749,0.030772,0.000000,0.060625,-0.031749,-0.091567,-0.112329,0.000000,-0.077962,-0.126414,0.060625,-0.051293,-0.044736,0.006231,-0.155193,-0.112329,0.095310,0.128833,-0.147920,1.713798,-0.057894,-0.077962,-0.031749,0.006231,0.134312,0.295464,0.218131,0.197826,0.066490,0.006231,-0.044736,-0.077962,0.018576,-0.199976,0.117783,1.081805,4.070735
