layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:As,7: a,8: clinical,9: documentati,10: task,11: for,12: multiple,13: sclerosis,"14:,",15: summarize,16: demographic,17: information,18: and,19: significant,20: prior,21: medical,22: history,23: only,24:.,25: Begin,26: with,27::,"28: """,29:Gender,30::,"31: ""","32:
",33:<,34:|,35:ass,36:istant,37:|>,"38:
",39:Gender,40::
L1,0.334433,-14.703072,-0.255590,-0.051563,0.091311,-0.123111,-0.145543,-0.163424,-0.067500,-0.599805,0.296889,0.235855,0.058617,-1.113884,0.384066,-1.708210,-0.067500,-0.481976,0.072678,-0.111396,0.131873,-0.095087,-0.025449,-0.302576,-0.051563,0.282207,0.220242,-0.206183,0.289575,0.086826,0.195348,-1.113884,0.034634,-0.489947,-0.100494,0.029738,0.053692,-0.025449,-0.295962,0.187250,-0.841078
L2,-0.358874,-0.243008,0.029738,-0.175038,-0.078377,-0.186789,-0.100494,-0.180896,-0.095087,-1.293359,-1.512247,0.009986,-0.105930,0.570855,0.024818,-5.364508,0.289575,-0.478014,-0.514249,-0.046414,0.005005,0.127026,0.267307,-0.151943,0.019873,0.081756,-0.089040,-0.083694,-1.070052,-0.510158,0.327389,-0.380159,-0.015207,-0.315936,0.044355,-0.025449,-0.067500,-0.255590,-0.443047,0.313152,0.267307
L3,-0.020276,-0.046414,0.029738,0.014979,0.174977,-0.083694,-0.030649,0.231975,-0.858279,-4.234581,-5.364508,-0.514249,0.019873,0.077227,-0.474068,-14.703072,0.187250,-1.144210,-0.095087,-0.394604,-0.180896,-0.015207,0.274785,-0.322683,-0.010087,0.005005,-0.218308,-0.025449,0.140430,0.195348,-0.089040,-0.243008,-0.243008,-0.116892,0.039359,0.049034,-0.151943,0.248363,-0.864079,0.157329,0.034634
L4,0.100221,-0.067500,0.044355,0.034634,-0.416671,-0.100494,0.019873,-0.051563,-0.100494,-0.775087,-1.468719,0.216301,-0.139887,-3.533757,0.174977,-1.655504,-0.163424,-0.608777,0.170853,-0.186789,-0.255590,-0.157667,-0.599805,-0.474068,0.019873,-0.046414,-0.169214,0.289575,-0.416671,0.183176,0.362120,-0.582098,-1.055858,-0.200176,0.081756,-0.020276,0.034634,0.384066,0.157329,-0.040972,-0.968207
L5,0.044355,-0.095087,0.058617,0.095776,0.053692,-0.116892,-0.302576,-0.175038,0.024818,-1.207770,-0.169214,0.528410,-0.123111,0.148916,-0.224426,0.896620,0.313152,0.334433,0.000000,0.113987,-0.169214,0.235855,-0.394604,-0.769779,-0.640830,-0.249279,0.243571,0.355270,0.095776,-0.073088,-0.818593,0.736436,-0.631566,-0.249279,-0.078377,0.019873,-0.051563,0.179085,0.450282,-0.365919,-0.276380
L6,0.044355,-0.157667,0.072678,-0.123111,-0.139887,-2.275545,0.161510,-0.056739,-0.344932,0.019873,-0.062268,-0.025449,0.068108,0.450282,-1.055858,0.179085,0.348372,-0.924010,0.095776,0.009986,-0.289392,-0.123111,-0.955378,-0.095087,-1.128932,-0.344932,0.362120,-1.175485,0.587341,-1.258239,-1.735644,-0.035877,-1.490246,-0.186789,-0.123111,0.095776,-0.035877,0.187250,-1.028061,-0.100494,-0.431658
L7,-1.144210,-1.014447,0.005005,0.039359,0.039359,0.698149,-0.078377,-0.139887,-0.056739,0.436118,-0.145543,-0.409261,0.077227,-0.733394,0.334433,-1.329756,-0.263535,-1.014447,-1.014447,0.282207,-0.040972,0.005005,-0.645494,-1.735644,-0.728303,-0.358874,-0.200176,-0.502024,-0.255590,-1.605436,-1.853585,0.019873,-1.113884,0.044355,0.077227,0.034634,-0.056739,-0.020276,-0.315936,-0.636187,-0.046414
L8,-0.005031,-0.051563,0.063230,0.127026,-0.040972,0.235855,-0.051563,0.058617,0.148916,0.305956,-0.192716,-0.051563,0.044355,0.224168,-0.608777,0.044355,-0.139887,-0.051563,0.410430,0.118352,0.136161,0.136161,0.327389,-0.631566,0.049034,-0.105930,0.203382,-0.582098,0.039359,0.199373,-1.191497,-0.454568,-0.818593,-0.200176,0.049034,0.077227,0.199373,0.187250,-0.105930,0.122699,-1.329756
L9,0.044355,0.029738,-14.703072,-0.078377,-0.243008,0.068108,0.157329,-0.040972,-0.200176,-0.073088,0.267307,-1.113884,-0.200176,-0.089040,0.305956,-1.512247,-0.387355,-0.813050,-1.014447,-0.139887,-0.134264,0.049034,-0.387355,-0.062268,0.039359,0.049034,0.044355,-0.401906,-0.105930,-0.192716,-0.748826,-0.249279,0.072678,-0.394604,0.081756,-0.105930,0.029738,0.005005,0.005005,-0.302576,0.397335
L10,0.009986,-0.025449,0.170853,0.053692,-0.206183,0.450282,-0.020276,0.100221,0.019873,0.053692,-0.218308,0.044355,-0.243008,-0.358874,-0.443047,-0.547598,-1.241131,0.144682,-0.560396,-0.387355,-0.111396,0.044355,0.072678,0.005005,-0.401906,-0.116892,0.410430,-0.145543,0.212343,-0.564699,-1.293359,-0.818593,-0.474068,-0.095087,-0.046414,0.058617,0.136161,0.239720,-2.023748,-0.474068,-0.123111
L11,0.100221,0.029738,-0.005031,-0.005031,-0.249279,-0.010087,0.068108,-0.015207,-0.206183,0.068108,0.058617,-0.128672,-0.030649,-0.015207,0.100221,-1.655504,0.259772,-0.289392,-0.128672,0.086826,-0.145543,0.118352,-0.157667,-0.365919,-0.224426,-0.030649,0.231975,0.014979,0.179085,0.876416,-1.311392,-0.040972,-0.539156,-0.206183,0.072678,-0.105930,-0.212227,0.187250,-0.522483,0.195348,0.474978
L12,0.014979,-0.025449,0.289575,-0.020276,-0.263535,-0.192716,0.131873,0.091311,0.212343,-0.236775,-0.040972,0.191307,0.014979,-0.111396,0.390722,0.282207,0.355270,-0.230582,-0.030649,-0.030649,-0.128672,0.077227,-0.186789,0.091311,-0.497982,0.122699,-0.344932,-0.302576,-0.506083,-0.010087,0.174977,-0.373013,-0.387355,-0.269937,-0.073088,-0.083694,0.014979,-0.151943,0.817570,-0.474068,-0.387355
L13,0.140430,0.161510,-0.051563,-0.116892,0.005005,-0.020276,0.113987,0.109603,-0.030649,-0.051563,0.063230,0.109603,0.341427,-0.955378,-0.192716,-0.139887,-0.289392,-0.322683,0.252181,0.019873,-0.145543,0.118352,-0.322683,-0.192716,0.005005,-0.192716,-0.481976,-0.673944,-0.358874,-0.373013,-0.230582,-0.169214,-0.111396,-0.617830,-0.010087,-0.020276,0.086826,-0.192716,-1.655504,-0.224426,-0.586495
L14,0.183176,0.267307,0.239720,0.063230,0.243571,-0.095087,-0.020276,0.009986,0.081756,0.136161,0.100221,0.029738,0.044355,-1.113884,-0.116892,0.044355,-0.282865,-0.289392,0.113987,0.081756,-0.051563,0.136161,-0.030649,-0.035877,-0.322683,0.058617,-0.046414,-0.351879,-0.698287,-1.708210,-0.764499,-0.200176,-0.123111,0.091311,0.095776,0.072678,-0.095087,0.019873,-0.046414,-0.887622,0.296889
L15,0.049034,-0.020276,0.044355,0.063230,0.144682,-0.083694,0.029738,0.091311,-0.005031,-0.073088,-0.020276,0.161510,-0.111396,0.231975,0.086826,-0.040972,0.029738,0.058617,-0.040972,0.127026,0.259772,-0.134264,-0.351879,-0.005031,-0.351879,0.113987,-0.105930,-0.401906,-0.875781,0.499079,-0.243008,-0.322683,-0.200176,-0.111396,0.100221,0.049034,-0.331182,-0.295962,-1.763851,-0.401906,-0.718197
L16,0.327389,0.296889,0.024818,-0.030649,0.100221,-0.056739,0.000000,0.014979,0.081756,0.140430,0.091311,0.131873,0.068108,0.248363,0.161510,0.289575,-0.010087,-0.151943,-0.035877,0.148916,0.195348,0.024818,0.212343,0.377364,0.014979,-0.005031,0.183176,-0.358874,-0.424136,-0.881684,-0.128672,0.296889,-0.387355,-0.224426,-0.046414,0.000000,-0.040972,0.528410,-0.785787,-1.159725,1.461973
L17,0.095776,0.014979,-0.062268,-0.056739,0.296889,0.034634,0.157329,-0.025449,0.109603,-0.169214,-0.020276,-0.030649,-0.200176,0.104647,0.053692,0.199373,-0.218308,-0.282865,-0.035877,-0.123111,-0.073088,-0.030649,0.049034,-0.035877,-0.236775,-0.078377,0.104647,-0.358874,-0.387355,0.528410,-0.338034,-0.754023,-1.014447,-0.151943,0.153131,-0.083694,0.077227,0.034634,-0.236775,0.635228,0.212343
