layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Create,7: a,8: standardize,9: patient,10: brief,11: for,12: multiple,13: sclerosis,14: focused,15: on,16: demographic,17: and,18: relevant,19: PM,20:H,21:;,22: avoid,23: extra,24: sections,25:.,26: Begin,27: exactly,28: with,29::,"30: """,31:Gender,32::,"33: ""","34:
",35:<,36:|,37:ass,38:istant,39:|>,"40:
",41:Gender,42::
L1,0.100083,0.685600,-0.066043,0.058411,0.093257,0.029632,0.153076,-0.094559,0.367146,1.460537,0.407968,0.079464,0.093257,-0.128175,-0.217520,0.014926,0.022306,-0.062035,0.000000,0.051293,0.407968,-0.030537,0.058411,0.029632,0.093257,0.126931,-0.007547,-0.199001,0.065478,0.086385,0.489548,-0.379490,0.382650,0.291434,-0.030537,0.274437,-0.128175,0.036905,-0.058043,-0.007547,-0.149774,0.126931,0.534601
L2,-0.315638,0.215596,0.000000,0.146603,0.022306,0.153076,-0.007547,-0.030537,0.708073,0.715453,0.172246,0.007491,-0.062035,-0.082238,-0.066043,-0.094559,-0.090435,-0.119665,-0.030537,-0.062035,0.203401,-0.119665,-0.094559,0.058411,0.000000,-0.066043,-0.176325,-0.158546,-0.285179,-0.007547,-0.285179,-0.162961,0.065478,0.262942,0.079464,0.100083,0.022306,0.058411,0.022306,-0.070068,0.153076,0.159507,-0.007547
L3,-0.007547,0.000000,0.120286,0.126931,0.058411,0.000000,0.029632,-0.030537,0.065478,2.748331,1.334209,0.245449,0.000000,0.377509,0.000000,0.007491,0.100083,-0.094559,0.178555,0.022306,0.106863,0.191055,-0.062035,-0.007547,-0.471509,-0.094559,-0.250778,-0.280191,0.007491,0.239550,0.000000,-0.180819,0.051293,-0.715962,0.100083,0.153076,0.029632,0.093257,-0.070068,0.000000,0.086385,0.291434,0.382650
L4,0.065478,0.029632,0.215596,0.113597,-0.007547,0.007491,-0.245958,-0.132458,-0.171850,5.373502,0.221639,0.146603,-0.310497,0.313658,0.051293,0.100083,-0.107033,0.000000,0.029632,0.058411,0.470943,0.191055,-0.250778,-0.070068,-0.149774,-0.180819,-0.336472,-0.007547,-0.167396,0.319137,0.184825,-0.015152,-0.070068,-0.401713,0.065478,0.340759,-0.094559,-0.058043,-0.136759,0.058411,0.313658,0.392855,0.503278
L5,-0.015152,-0.038319,-0.062035,0.065478,-0.098699,0.029632,0.007491,-0.132458,-0.123911,1.578901,0.569236,-0.180819,-0.094559,1.152284,-0.136759,-0.158546,-0.145417,0.113597,0.113597,0.022306,0.361924,0.036905,-0.158546,0.302608,-0.066043,0.153076,-0.123911,-0.128175,-0.007547,-0.007547,-0.162961,-0.352388,-0.038319,-0.070068,-0.374010,0.126931,0.029632,-0.030537,0.000000,-0.119665,0.221639,0.036905,0.191055
L6,0.007491,-0.022815,-0.066043,-0.066043,-0.128175,-0.812812,-0.030537,0.093257,0.093257,0.494146,0.507814,0.014926,0.093257,0.022306,-0.090435,0.280135,-0.038319,0.058411,-0.154151,0.058411,0.203401,0.029632,0.120286,0.209517,-0.171850,-0.158546,0.552069,-0.062035,-0.352388,-0.098699,-0.514592,0.392855,0.036905,-0.090435,0.044125,0.432661,0.086385,0.051293,-0.030537,-0.245958,0.372341,0.233615,-0.231638
L7,1.012284,0.650914,0.000000,-0.030537,0.065478,4.101462,-0.042233,0.120286,0.126931,0.422857,0.072496,0.086385,-0.086328,0.786405,-0.074108,-0.265376,-0.341749,-0.030537,0.000000,0.086385,-0.030537,-0.119665,0.058411,0.000000,-0.038319,-0.066043,0.072496,-0.123911,-0.074108,-0.265376,-0.599890,-0.132458,0.126931,0.036905,-0.430205,0.407968,0.036905,0.093257,-0.030537,-0.336472,-0.054067,-0.222204,-0.082238
L8,0.000000,-0.154151,-0.007547,-0.038319,-0.119665,0.447189,0.065478,-0.042233,0.086385,1.133098,0.330007,-0.341749,-0.102857,0.221639,-0.136759,0.058411,0.007491,0.191055,-0.007547,-0.030537,0.184825,0.065478,0.079464,-0.070068,-0.038319,-0.132458,-0.007547,-0.102857,0.197247,0.106863,0.079464,0.313658,-0.074108,-0.136759,0.215596,-0.007547,0.029632,-0.062035,-0.007547,-0.368561,-0.066043,-0.078165,0.308148
L9,-0.062035,-0.007547,-0.107033,0.000000,-0.054067,0.184825,-0.102857,0.022306,-0.038319,0.184825,0.221639,0.058411,-0.094559,0.793231,0.029632,-0.070068,-0.050107,0.113597,-0.007547,0.051293,-0.015152,-0.030537,0.153076,0.000000,-0.180819,0.036905,-0.094559,-0.102857,-0.217520,-0.189869,0.058411,0.285801,0.058411,0.079464,-0.572861,0.058411,0.079464,-0.086328,-0.030537,-0.094559,0.351398,0.178555,0.079464
L10,-0.058043,-0.123911,-0.042233,0.029632,0.058411,0.480289,-0.062035,-0.042233,-0.007547,0.197247,0.159507,-0.015152,0.000000,0.319137,-0.094559,-0.062035,0.126931,0.178555,0.029632,-0.038319,-0.123911,0.000000,0.029632,0.051293,0.146603,0.251314,0.022306,-0.102857,-0.217520,-0.007547,0.051293,-0.167396,-0.315638,-0.424441,-0.102857,0.126931,0.126931,0.000000,-0.066043,-0.226910,-0.217520,0.227645,0.367146
