layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Patient,7: diagnosis,8::,9: multiple,10: sclerosis,11:.,"12:
",13:Write,14: a,15: concise,16: clinical,17: summary,18: covering,19: demographic,20: and,21: relevant,22: past,23: medical,24: history,25:.,26: Begin,27: exactly,28: with,29::,"30: """,31:Gender,32::,"33: ""","34:
",35:<,36:|,37:ass,38:istant,39:|>,"40:
",41:Gender,42::
L1,-0.053825,0.412717,-0.058444,0.071610,-0.058444,0.063446,-0.026550,0.099667,-0.058444,-0.063084,-0.287399,-0.058444,0.004357,-0.031045,-0.150518,-0.186698,-0.150518,-0.091388,0.030110,0.030110,0.034338,0.034338,-0.031045,-0.058444,0.067536,-0.026550,-0.091388,-0.155607,0.004357,0.067536,0.126960,-0.058444,-0.181449,0.099667,-0.150518,-0.026550,0.030110,-0.086614,0.000000,-0.063084,0.000000,-0.086614,0.562730
L2,0.249858,0.334599,0.034338,-0.031045,-0.026550,-0.091388,0.193899,-0.086614,0.034338,0.067536,0.389324,-0.218786,0.004357,-0.058444,-0.091388,0.004357,-0.091388,-0.101003,0.030110,0.126960,0.030110,-0.120516,-0.058444,0.034338,0.099667,0.008696,-0.031045,-0.125454,0.193899,-0.026550,-0.091388,-0.287399,-0.251938,-0.063084,-0.213366,0.004357,-0.058444,0.095707,0.126960,-0.091388,0.347022,0.126960,0.067536
L3,-0.026550,-0.031045,0.004357,0.126960,-0.026550,0.004357,0.067536,-0.058444,-0.063084,-0.091388,0.758640,-0.213366,0.034338,0.004357,0.030110,0.038549,-0.120516,0.222270,-0.063084,-0.031045,-0.063084,-0.063084,-0.091388,0.030110,0.030110,0.004357,-0.246336,-0.287399,-0.031045,-0.218786,-0.004376,-0.224236,-0.251938,-0.058444,-0.213366,-0.026550,0.000000,-0.026550,-0.091388,-0.091388,0.186679,0.256637,0.164700
L4,0.126960,-0.058444,-0.026550,-0.058444,-0.058444,0.034338,0.099667,0.157265,0.099667,-0.058444,1.351866,-0.125454,-0.026550,-0.063084,-0.063084,-0.026550,0.067536,0.164700,-0.086614,-0.125454,-0.120516,-0.058444,0.000000,0.095707,0.063446,0.067536,-0.058444,-0.191975,0.126960,-0.058444,0.353175,0.099667,-0.191975,-0.186698,-0.280430,0.164700,-0.150518,0.063446,-0.035559,-0.150518,0.283306,0.134622,-0.150518
L5,0.034338,0.063446,0.063446,0.126960,0.034338,0.157265,-0.058444,0.063446,0.034338,-0.091388,0.852276,-0.125454,-0.086614,-0.058444,0.034338,0.134622,0.067536,0.099667,-0.053825,-0.031045,0.000000,0.034338,0.000000,0.000000,0.034338,0.095707,-0.058444,-0.155607,0.289863,0.034338,-0.120516,0.186679,-0.218786,0.126960,-0.274667,-0.125454,-0.091388,-0.120516,-0.026550,0.034338,0.383389,0.004357,-0.197280
L6,-0.022076,-0.086614,0.063446,0.038549,-0.026550,-0.213366,-0.120516,-0.031045,-0.186698,-0.031045,0.452382,0.034338,0.063446,-0.026550,0.004357,-0.120516,-0.120516,-0.274667,-0.063084,-0.026550,-0.150518,-0.058444,0.030110,0.126960,0.126960,0.134622,0.091731,-0.191975,-0.160722,-0.031045,-0.280430,0.157265,-0.186698,0.126960,-0.150518,0.222270,-0.181449,-0.120516,0.063446,-0.287399,-0.022076,0.119238,-0.181449
L7,0.222270,0.034338,0.030110,0.095707,-0.026550,4.031338,0.034338,0.134622,0.126960,0.000000,0.859697,-0.026550,0.004357,-0.091388,0.030110,-0.026550,0.004357,-0.218786,-0.026550,-0.063084,-0.213366,-0.031045,-0.058444,0.000000,-0.125454,-0.026550,-0.091388,-0.058444,-0.150518,-0.213366,-0.160722,-0.120516,0.164700,-0.287399,-0.150518,0.126960,0.034338,-0.058444,-0.031045,-0.120516,-0.287399,0.004357,0.506449
L8,0.034338,-0.063084,-0.031045,0.095707,0.004357,0.406920,0.256637,-0.026550,0.004357,0.034338,1.174279,-0.053825,0.004357,-0.125454,-0.150518,-0.058444,0.095707,-0.022076,-0.058444,-0.022076,-0.063084,0.030110,0.000000,0.000000,-0.026550,0.067536,0.004357,-0.091388,-0.063084,0.030110,0.256637,0.822028,-0.091388,-0.120516,-0.287399,0.126960,-0.091388,-0.031045,0.034338,-0.058444,-0.246336,0.067536,0.222270
L9,0.000000,-0.086614,-0.155607,0.034338,0.038549,0.193899,-0.058444,0.034338,0.030110,-0.091388,0.634704,0.126960,-0.063084,-0.026550,-0.120516,0.095707,-0.031045,-0.058444,0.000000,-0.063084,-0.031045,-0.026550,-0.091388,0.030110,-0.115602,0.126960,-0.091388,0.000000,0.008696,-0.026550,0.091731,0.256637,0.000000,0.126960,-0.251938,-0.026550,-0.058444,-0.063084,0.000000,-0.026550,-0.096184,0.256637,0.371413
L10,0.034338,-0.086614,0.063446,-0.026550,0.000000,0.103612,0.067536,0.034338,-0.086614,0.030110,0.095707,-0.022076,-0.086614,-0.091388,0.099667,0.030110,0.034338,-0.125454,0.034338,0.004357,-0.086614,-0.058444,-0.026550,0.004357,0.004357,0.063446,0.095707,-0.058444,-0.031045,-0.120516,0.126960,-0.287399,-0.186698,-0.213366,-0.181449,0.067536,0.004357,-0.086614,-0.086614,-0.287399,0.193899,-0.287399,0.322020
L11,0.000000,0.034338,-0.063084,0.000000,-0.026550,-0.026550,-0.031045,0.157265,-0.120516,-0.063084,-0.058444,0.034338,0.157265,-0.026550,0.063446,-0.120516,-0.026550,-0.120516,-0.026550,-0.058444,-0.063084,-0.063084,-0.091388,0.004357,-0.091388,0.000000,-0.086614,-0.058444,0.004357,0.103612,0.193899,0.542629,-0.063084,-0.240765,-0.213366,0.134622,0.004357,-0.150518,-0.125454,-0.207975,0.000000,0.596963,0.441209
L12,0.034338,-0.086614,0.034338,0.063446,-0.026550,-0.091388,-0.120516,0.126960,0.099667,-0.058444,-0.286228,-0.026550,0.067536,0.063446,0.034338,-0.120516,-0.120516,0.067536,0.034338,0.067536,-0.091388,0.000000,-0.031045,-0.058444,-0.031045,-0.186698,-0.058444,-0.086614,-0.150518,0.000000,0.008696,0.134622,0.347022,-0.186698,-0.274667,0.034338,-0.091388,-0.031045,-0.031045,-0.207975,0.506449,-0.058444,0.179406
