layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Condition,7::,8: rheumatoid,9: arthritis,10:.,"11:
",12:Create,13: a,14: short,15: patient,16: overview,17: including,18: demographic,19: first,"20:,",21: then,22: key,23: past,24: medical,25: history,26:.,27: Start,28: exactly,29: with,30::,"31: """,32:Gender,33::,"34: ""","35:
",36:<,37:|,38:ass,39:istant,40:|>,"41:
",42:Gender,43::
L1,-0.056512,-0.485508,0.027102,0.123869,-0.128833,-0.068208,0.058684,-0.135102,-0.186727,0.027102,-0.039221,-0.033523,-0.005510,-0.128833,-0.160582,-0.128833,-0.033523,-0.068208,-0.313658,-0.039221,-0.128833,-0.033523,-0.098061,-0.128833,-0.039221,-0.062343,0.027102,0.058684,-0.321205,-0.098061,-0.033523,0.175891,0.053489,0.255579,0.255579,-0.033523,0.379490,0.152580,0.157285,0.032435,-0.005510,-0.160582,0.371942,0.493087
L2,0.238411,0.386980,0.152580,-0.128833,0.000000,-0.186727,-0.062343,-0.098061,-0.255247,-0.098061,-0.068208,-0.033523,-0.154151,0.063851,0.027102,-0.128833,0.123869,-0.227273,0.157285,-0.122602,-0.193371,-0.122602,-0.098061,-0.033523,-0.255247,0.152580,-0.098061,0.048267,-0.351976,-0.193371,-0.128833,-0.383725,-0.298732,-0.128833,0.371942,-0.227273,0.225339,0.123869,0.189621,0.185065,0.089298,0.207639,0.058684,0.123869
L3,0.053489,-0.033523,-0.154151,-0.033523,-0.220400,0.032435,-0.005510,-0.227273,0.276632,0.094311,0.032435,-0.033523,0.094311,0.089298,-0.005510,-0.160582,0.032435,-0.005510,-0.371701,0.157285,-0.098061,-0.284026,-0.098061,-0.092019,0.032435,-0.033523,-0.122602,-0.005510,-0.517257,-0.291352,-0.391822,0.016349,0.356675,0.000000,0.005479,-0.284026,0.284931,0.089298,0.152580,-0.098061,0.123869,0.242731,-0.306167,0.313446
L4,0.058684,-0.033523,-0.092019,-0.033523,-0.154151,0.058684,0.089298,0.058684,0.940179,0.216528,0.123869,-0.033523,-0.092019,-0.068208,-0.128833,-0.321205,-0.016621,-0.062343,-0.160582,0.123869,-0.039221,0.063851,-0.033523,-0.062343,0.048267,0.027102,0.058684,-0.039221,-0.005510,-0.255247,-0.135102,0.032435,0.321446,0.171272,0.242731,-0.220400,0.348953,0.063851,0.123869,0.058684,0.123869,-0.074108,0.812150,0.665290
L5,0.058684,-0.074108,-0.092019,0.063851,-0.193371,0.247032,-0.092019,-0.092019,-0.262364,0.123869,0.251314,-0.092019,0.027102,-0.092019,-0.220400,-0.200060,-0.248180,0.063851,0.063851,-0.068208,-0.186727,0.063851,-0.005510,-0.122602,0.058684,0.157285,-0.062343,-0.033523,-0.193371,0.280790,0.094311,-0.033523,0.423614,-0.284026,0.401795,-0.351976,0.220943,-0.098061,0.063851,0.185065,-0.154151,-0.128833,0.653926,0.264053
L6,-0.154151,-0.068208,-0.154151,-0.068208,-0.276753,-0.671407,0.247032,-0.135102,0.409121,-0.027857,0.280790,0.032435,0.027102,-0.098061,-0.092019,0.212094,-0.122602,0.032435,-0.104140,-0.104140,-0.062343,-0.167054,0.063851,0.000000,0.058684,0.058684,-0.027857,0.247032,-0.098061,-0.433322,-0.227273,-0.588886,-0.167054,-0.200060,0.465874,-0.234193,0.247032,-0.068208,-0.092019,0.123869,-0.344194,0.000000,0.333328,0.255579
L7,0.297252,0.119003,-0.005510,0.032435,0.341171,2.244909,-0.098061,0.058684,0.437900,0.251314,-0.128833,-0.005510,-0.033523,0.000000,-0.128833,0.053489,-0.160582,-0.160582,-0.167054,-0.291352,0.027102,-0.220400,0.000000,-0.068208,-0.068208,0.094311,-0.284026,-0.141412,-0.227273,-0.412357,-0.412357,-0.454736,0.157285,0.027102,-0.603849,-0.284026,0.280790,-0.062343,0.000000,0.027102,-0.248180,-0.494476,0.000000,0.850433
L8,-0.154151,0.027102,0.094311,0.027102,0.119003,0.465874,-0.033523,0.094311,0.693147,0.506420,0.255579,0.000000,-0.062343,-0.062343,0.032435,0.157285,0.000000,-0.328809,-0.193371,-0.128833,-0.128833,0.027102,0.119003,0.089298,0.032435,0.099298,-0.193371,0.276632,-0.005510,-0.044951,0.032435,0.000000,0.693147,0.021740,0.313446,-0.655407,0.063851,0.119003,0.027102,0.157285,-0.284026,-0.375693,0.280790,0.430783
L9,0.058684,0.032435,0.198671,0.058684,0.147851,0.189621,-0.033523,0.063851,0.317454,0.094311,0.220943,0.000000,-0.062343,0.123869,0.147851,0.000000,0.027102,0.212094,-0.420690,0.063851,-0.039221,-0.128833,0.027102,-0.098061,-0.092019,-0.284026,-0.160582,-0.092019,0.058684,0.000000,0.032435,-0.167054,0.845727,0.152580,-0.039221,-0.291352,0.032435,0.212094,0.094311,0.216528,-0.033523,-0.005510,0.821859,0.479573
L10,-0.005510,0.058684,-0.005510,-0.005510,0.094311,0.465874,0.032435,0.280790,0.973937,0.499776,0.000000,0.094311,0.185065,0.089298,0.094311,0.000000,0.032435,0.194156,-0.068208,0.305382,-0.005510,0.027102,0.119003,0.000000,0.032435,0.220943,0.063851,0.063851,0.119003,-0.128833,-0.068208,-0.128833,-0.328809,-0.116410,0.005479,-0.313658,0.189621,0.027102,0.185065,0.058684,-0.344194,-0.062343,-0.416515,-0.027857
L11,0.058684,-0.033523,0.089298,-0.033523,0.032435,0.027102,-0.098061,-0.062343,1.635470,1.131048,0.465874,0.000000,-0.005510,-0.033523,0.032435,0.152580,0.276632,-0.033523,-0.255247,0.157285,-0.033523,-0.074108,0.053489,-0.005510,0.123869,0.185065,-0.128833,0.309422,0.000000,0.180488,0.216528,0.341171,0.973937,-0.234193,-0.050715,-0.624154,0.157285,0.058684,0.094311,-0.068208,-0.180126,0.203165,1.405343,-0.351976
L12,-0.098061,-0.005510,-0.062343,-0.033523,-0.098061,-0.128833,0.027102,-0.033523,0.053489,0.189621,0.058684,0.000000,0.032435,-0.039221,-0.062343,-0.062343,-0.033523,0.157285,-0.056512,0.099298,0.063851,0.032435,0.084260,-0.128833,-0.068208,0.099298,0.185065,0.185065,0.119003,0.000000,0.053489,0.220943,0.538996,0.171272,-0.005510,-0.262364,0.032435,0.000000,0.058684,0.032435,-0.062343,0.255579,0.309422,-0.062343
L13,0.063851,0.000000,0.000000,-0.039221,0.152580,-0.039221,-0.068208,0.152580,-0.321205,-0.437568,-0.098061,0.089298,-0.033523,-0.039221,0.000000,0.089298,0.242731,0.180488,0.000000,0.123869,0.157285,0.119003,0.152580,-0.128833,0.053489,0.119003,-0.011050,0.032435,-0.160582,-0.005510,-0.227273,-0.167054,0.409121,-0.011050,0.401795,-0.593849,0.185065,-0.005510,0.027102,0.128712,0.094311,-0.416515,-0.044951,1.635470
L14,0.032435,-0.033523,0.089298,-0.005510,0.089298,-0.193371,-0.033523,0.094311,0.687638,0.079197,0.053489,0.058684,0.058684,0.089298,-0.033523,-0.033523,0.123869,0.027102,-0.128833,0.216528,0.094311,0.058684,0.032435,0.123869,0.058684,0.089298,-0.068208,0.027102,-0.005510,-0.062343,-0.284026,-0.186727,-0.128833,-0.298732,0.364338,-0.503526,0.152580,0.063851,0.000000,-0.005510,-0.276753,0.074108,-0.227273,-0.135102
L15,0.094311,0.058684,0.094311,0.000000,0.032435,-0.033523,0.058684,-0.186727,0.157285,-0.074108,0.089298,0.094311,0.119003,0.032435,-0.033523,0.063851,0.119003,0.063851,-0.068208,-0.062343,0.058684,0.337257,0.094311,0.094311,0.000000,0.119003,0.027102,-0.098061,0.089298,0.119003,-0.141412,-0.074108,0.161969,0.220943,-0.416515,-0.227273,0.123869,0.185065,0.005479,-0.062343,-0.213574,-0.291352,0.444968,1.949045
L16,-0.027857,0.000000,0.152580,0.032435,-0.062343,0.058684,0.058684,-0.062343,0.027102,-0.033523,0.063851,0.094311,-0.092019,0.089298,-0.062343,0.000000,0.123869,-0.027857,-0.068208,0.094311,0.032435,0.005479,-0.033523,0.157285,0.000000,0.123869,0.128712,-0.098061,0.032435,0.000000,-0.068208,0.053489,0.068993,0.147851,-0.033523,-0.220400,0.152580,0.152580,0.094311,0.157285,-0.429094,-0.167054,-0.291352,0.720249
L17,-0.033523,0.000000,0.032435,0.053489,0.032435,0.058684,0.152580,0.032435,0.873636,0.341171,-0.062343,0.123869,-0.033523,0.032435,0.000000,0.313446,0.119003,-0.033523,0.000000,0.123869,0.032435,0.058684,0.089298,-0.033523,0.027102,0.189621,0.094311,0.094311,0.000000,0.058684,0.032435,0.032435,0.506420,0.401795,-0.200060,-0.450416,0.063851,-0.027857,-0.005510,0.123869,-0.086013,-0.234193,0.289055,0.458954
L18,0.000000,0.000000,0.180488,0.152580,-0.005510,0.119003,0.147851,0.276632,5.087935,3.517596,1.635470,0.317454,0.212094,0.123869,0.189621,1.072637,0.251314,0.119003,0.161969,0.128712,0.409121,0.123869,0.242731,0.341171,0.305382,0.251314,0.157285,0.123869,0.119003,0.157285,0.251314,0.147851,2.457991,0.171272,0.157285,-0.248180,0.005479,0.123869,0.063851,-0.033523,0.010929,0.128712,1.457848,0.255579
L19,-0.092019,-0.027857,0.032435,0.032435,0.027102,0.409121,0.032435,-0.092019,0.053489,-0.255247,-0.005510,-0.005510,-0.062343,0.027102,0.000000,0.094311,0.119003,0.063851,0.251314,0.094311,0.058684,0.000000,0.058684,0.094311,0.123869,0.157285,0.058684,0.000000,0.185065,0.157285,-0.033523,-0.255247,0.659624,0.220943,-0.092019,-0.068208,-0.128833,0.000000,0.094311,0.123869,0.032435,0.053489,0.545386,1.042100
L20,0.123869,0.094311,-0.033523,0.063851,0.123869,-0.005510,0.119003,0.212094,-0.344194,-0.255247,-0.033523,0.063851,0.119003,-0.033523,0.063851,-0.011050,0.027102,0.058684,0.063851,0.032435,-0.068208,-0.033523,0.119003,0.032435,0.157285,0.094311,0.123869,-0.062343,0.063851,0.089298,0.119003,-0.092019,0.238411,0.255579,0.123869,-0.027857,0.276632,0.123869,0.000000,0.099298,0.157285,0.401795,-0.743862,4.592675
