layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:For,7: this,8: rheumatoid,9: arthritis,10: patient,"11:,",12: produce,13: a,14: focused,15: clinical,16: snapshot,17:.,"18:
",19:Include,20: only,21: demographic,22: and,23: relevant,24: past,25: medical,26: history,27:.,28: Start,29: your,30: response,31: with,32::,"33: """,34:Gender,35::,"36: ""","37:
",38:<,39:|,40:ass,41:istant,42:|>,"43:
",44:Gender,45::
L1,0.195851,0.678619,0.023754,0.223144,0.065139,0.126294,0.000000,0.318454,0.100541,0.009569,-0.029270,0.126294,-0.074848,0.004796,0.069634,-0.155755,0.325422,0.126294,-0.004819,0.155523,0.037740,0.065139,0.117783,0.065139,0.122047,0.100541,-0.054334,0.087412,0.060625,0.000000,0.065139,0.033100,-0.095791,0.195851,-0.128052,0.223144,0.359555,-0.024332,0.253449,0.155523,0.033100,-0.004819,0.004796,-0.009662,-0.014528,0.693147
L2,0.113500,0.253449,0.096184,0.187915,-0.024332,0.060625,-0.059423,0.056089,0.297252,-0.090514,0.004796,-0.059423,-0.167054,-0.167054,-0.101096,0.126294,0.238411,0.023754,-0.219544,-0.133531,0.096184,-0.004819,-0.064539,0.126294,0.096184,0.096184,0.155523,0.028438,0.223144,0.187915,0.074108,0.282863,0.065139,0.159630,-0.432263,0.033100,-0.150152,-0.167054,0.037740,0.000000,0.091808,0.028438,-0.034233,0.065139,-0.085265,0.485508
L3,-0.004819,0.126294,0.009569,0.037740,-0.009662,0.033100,0.037740,0.130522,1.617101,0.155523,-0.004819,0.009569,-0.019418,0.082997,-0.059423,0.060625,0.411855,0.060625,0.000000,0.000000,-0.024332,0.134733,-0.064539,0.023754,0.155523,0.028438,0.000000,-0.059423,0.033100,-0.090514,-0.195875,0.318454,-0.128052,0.325422,-0.009662,0.138925,-0.178483,0.100541,0.311436,0.000000,0.069634,-0.128052,0.033100,0.138925,0.109199,0.597356
L4,0.060625,0.065139,0.023754,-0.034233,0.069634,0.096184,-0.029270,-0.225550,1.853891,-0.225550,-0.034233,-0.059423,-0.133531,-0.069680,-0.059423,-0.039221,-0.249942,-0.059423,0.245958,0.037740,0.130522,-0.237672,0.000000,0.155523,0.065139,0.033100,-0.009662,0.096184,-0.059423,-0.090514,0.033100,0.437013,-0.044233,0.179915,0.207639,0.325422,-0.144581,-0.340326,0.191891,-0.034233,0.091808,-0.059423,0.014320,0.117783,0.325422,0.203725
L5,0.019048,0.000000,0.000000,0.100541,0.028438,0.253449,0.126294,-0.039221,1.039189,0.245958,0.028438,-0.034233,-0.128052,0.000000,0.056089,0.187915,0.065139,-0.167054,0.087412,-0.090514,-0.004819,0.056089,0.065139,0.087412,0.091808,-0.069680,0.117783,0.096184,0.065139,-0.095791,0.087412,0.253449,0.195851,0.069634,-0.172752,0.065139,-0.128052,0.074108,0.282863,0.028438,0.060625,0.096184,0.056089,0.223144,-0.039221,0.155523
L6,0.138925,0.037740,0.179915,0.004796,-0.034233,-0.762827,0.096184,0.159630,0.721585,-0.059423,0.260884,0.126294,0.087412,-0.069680,0.117783,-0.039221,0.122047,-0.080043,-0.106429,0.126294,0.028438,-0.085265,-0.085265,-0.024332,0.009569,0.065139,0.033100,0.195851,0.215422,0.155523,0.126294,0.183923,-0.122602,0.046957,0.195851,-0.111791,0.602633,0.167793,0.195851,-0.034233,-0.024332,0.126294,0.009569,0.191891,-0.128052,0.151400
L7,0.311436,0.195851,0.130522,0.126294,0.282863,0.046957,0.155523,0.215422,0.602633,-0.090514,-0.106429,0.065139,0.117783,0.000000,-0.064539,0.028438,0.290083,-0.014528,0.023754,0.004796,-0.059423,0.100541,-0.155755,0.023754,0.096184,0.065139,0.126294,0.147259,-0.024332,0.037740,0.056089,0.104880,0.060625,-0.262364,0.033100,0.449359,-0.049271,-0.340326,0.311436,0.122047,0.033100,-0.039221,-0.095791,-0.150152,-0.167054,0.230806
L8,0.126294,0.033100,0.033100,0.087412,0.069634,0.570545,0.033100,0.155523,1.117660,0.155523,0.479573,0.028438,0.004796,0.126294,0.033100,-0.029270,0.253449,0.155523,0.000000,-0.029270,0.155523,-0.095791,0.130522,0.060625,0.155523,0.155523,0.138925,0.253449,0.056089,0.060625,0.130522,0.187915,0.151400,0.282863,-0.004819,0.056089,0.318454,0.138925,0.195851,0.060625,0.065139,0.230806,-0.122602,0.056089,0.159630,0.399034
L9,0.065139,0.087412,0.046957,0.117783,0.126294,0.215422,0.155523,0.126294,0.565095,-0.090514,0.000000,0.065139,0.126294,0.117783,0.187915,0.091808,0.096184,0.159630,0.056089,-0.009662,-0.059423,-0.133531,0.069634,0.000000,0.037740,-0.059423,-0.009662,0.195851,0.117783,0.065139,-0.133531,-0.069680,0.126294,0.155523,0.485508,0.033100,0.004796,0.091808,0.282863,0.122047,-0.095791,0.151400,0.091808,0.260884,0.191891,0.009569
L10,0.037740,0.096184,0.023754,0.028438,0.069634,0.570545,-0.090514,0.028438,1.478102,0.159630,0.004796,0.000000,-0.064539,0.069634,0.028438,0.060625,-0.029270,0.033100,0.023754,0.033100,-0.029270,0.130522,-0.024332,0.028438,-0.064539,0.091808,0.163720,0.104880,0.060625,0.000000,-0.195875,0.282863,0.056089,0.311436,-0.360804,-0.374693,-0.106429,0.109199,0.134733,0.100541,0.091808,-0.039221,-0.403064,0.126294,-0.712565,0.091808
L11,0.155523,0.091808,0.126294,0.033100,0.065139,0.000000,-0.095791,0.060625,3.750409,0.789331,0.467597,0.163720,-0.029270,0.056089,0.117783,0.000000,-0.024332,-0.029270,0.091808,0.000000,0.033100,0.130522,-0.054334,-0.029270,0.037740,0.126294,0.195851,0.096184,0.126294,0.033100,-0.069680,0.130522,0.122047,0.126294,0.346042,-0.044233,-0.106429,0.056089,0.096184,-0.024332,0.023754,-0.095791,-0.150152,-0.044233,1.039189,-0.395896
L12,0.056089,0.091808,0.060625,0.037740,0.004796,-0.004819,-0.034233,0.126294,0.091808,-0.059423,-0.059423,-0.095791,0.033100,0.033100,-0.029270,-0.095791,0.033100,0.028438,-0.024332,0.155523,0.126294,0.223144,-0.034233,0.060625,0.060625,0.056089,0.028438,0.009569,0.028438,-0.090514,-0.059423,0.000000,-0.095791,-0.184246,0.473603,0.046957,-0.470004,0.028438,0.187915,0.000000,0.033100,0.028438,0.126294,0.167793,0.065139,-0.231593
L13,-0.029270,0.126294,-0.034233,0.056089,0.069634,-0.059423,0.037740,0.028438,0.386047,-0.128052,-0.090514,-0.024332,0.060625,0.000000,-0.155755,-0.064539,-0.039221,-0.059423,0.087412,0.000000,0.060625,0.065139,0.033100,-0.029270,0.056089,0.060625,0.126294,0.187915,0.028438,0.091808,-0.004819,-0.287682,-0.080043,-0.249942,0.793688,0.207639,0.126294,-0.150152,-0.059423,0.004796,0.000000,0.069634,-0.024332,-0.454736,-0.049271,1.550014
L14,0.126294,0.033100,-0.064539,0.060625,0.065139,-0.004819,0.230806,0.091808,0.749237,-0.029270,-0.190044,0.000000,0.096184,-0.024332,0.096184,0.087412,-0.034233,-0.059423,0.033100,0.155523,0.060625,0.155523,0.155523,0.028438,0.060625,0.126294,0.096184,0.126294,0.033100,-0.054334,-0.009662,-0.095791,0.056089,0.163720,0.096184,-0.004819,0.203725,-0.178483,0.126294,0.126294,0.000000,-0.095791,-0.144581,-0.069680,-0.213574,-0.333592
L15,0.000000,0.028438,-0.095791,0.091808,-0.029270,0.091808,0.130522,-0.101096,0.215422,-0.128052,0.325422,-0.029270,0.028438,-0.039221,-0.069680,0.000000,0.122047,0.126294,-0.064539,-0.064539,0.023754,0.037740,-0.004819,0.060625,0.028438,-0.034233,0.065139,-0.029270,0.033100,0.000000,0.000000,-0.167054,-0.049271,-0.167054,0.037740,0.366244,-0.150152,-0.069680,-0.039221,0.163720,0.028438,0.028438,0.000000,-0.054334,0.771709,1.130161
L16,0.096184,0.065139,0.000000,0.028438,0.037740,-0.064539,0.069634,-0.095791,-0.039221,-0.029270,0.087412,0.060625,0.000000,0.000000,0.096184,0.087412,-0.085265,0.000000,0.037740,-0.004819,0.000000,-0.219544,0.091808,-0.029270,0.091808,0.151400,0.028438,-0.128052,-0.029270,0.033100,-0.059423,-0.213574,0.159630,0.100541,0.078562,0.191891,-0.161388,0.056089,0.096184,0.126294,0.091808,0.104880,-0.219544,0.091808,-0.133531,0.191891
L17,0.060625,0.028438,0.023754,-0.034233,0.096184,0.000000,0.096184,0.060625,0.954031,0.151400,0.318454,-0.034233,-0.039221,0.060625,0.000000,0.087412,0.004796,-0.034233,-0.128052,0.000000,-0.034233,-0.190044,-0.095791,0.028438,0.060625,0.000000,0.069634,0.096184,0.060625,0.000000,-0.059423,0.037740,0.096184,-0.150152,0.392562,0.346042,-0.161388,-0.195875,0.195851,0.191891,0.087412,0.223144,0.159630,-0.219544,0.628609,0.491408
L18,0.096184,0.004796,-0.054334,-0.029270,-0.004819,0.023754,-0.190044,0.023754,8.133813,1.669157,4.937789,0.823669,0.091808,0.096184,0.155523,0.346042,0.282863,0.159630,0.311436,-0.064539,0.126294,0.537393,0.117783,0.091808,0.311436,0.195851,0.379490,0.628609,0.000000,-0.034233,0.087412,0.065139,0.282863,-0.090514,2.045208,0.046957,-0.195875,-0.004819,0.159630,0.230806,-0.029270,-0.019418,-0.085265,-0.014528,0.548566,0.117783
L19,-0.117182,-0.064539,0.028438,0.028438,0.000000,0.379490,-0.029270,0.060625,-0.172752,-0.122602,-0.374693,0.000000,-0.054334,-0.150152,0.091808,-0.095791,0.155523,0.028438,-0.128052,0.060625,0.091808,0.352821,0.091808,-0.034233,-0.029270,0.028438,0.060625,-0.024332,0.033100,-0.029270,-0.004819,0.060625,-0.064539,-0.249942,0.405465,-0.150152,0.191891,0.318454,-0.009662,0.091808,0.028438,0.069634,0.087412,0.346042,-0.195875,-0.139041
L20,-0.095791,-0.064539,-0.090514,0.028438,0.187915,-0.069680,0.028438,-0.064539,-0.340326,-0.381711,-0.477726,-0.009662,0.060625,0.000000,0.126294,0.028438,-0.122602,-0.069680,0.056089,0.060625,0.000000,-0.039221,0.000000,0.056089,0.060625,-0.064539,-0.133531,-0.004819,0.091808,0.000000,0.028438,-0.064539,-0.069680,-0.064539,0.171850,0.268264,0.069634,0.042359,0.096184,0.037740,0.155523,0.159630,0.191891,0.223144,-0.623513,4.850226
L21,-0.029270,0.091808,0.023754,-0.009662,-0.064539,-0.034233,0.023754,0.096184,0.697943,0.346042,1.859897,0.195851,0.060625,0.056089,0.069634,0.033100,0.033100,0.065139,0.060625,0.091808,-0.034233,0.159630,0.033100,0.028438,0.028438,0.060625,0.033100,-0.095791,0.028438,0.000000,-0.029270,0.060625,-0.090514,0.159630,0.424513,0.183923,-0.049271,-0.069680,-0.190044,0.033100,0.060625,0.004796,-0.117182,0.117783,0.332343,3.458498
L22,0.028438,-0.024332,-0.029270,0.000000,0.023754,-0.029270,-0.085265,0.000000,-0.374693,-0.313658,-0.320258,0.000000,0.060625,0.028438,0.056089,-0.064539,-0.095791,-0.064539,-0.128052,0.023754,0.091808,-0.128052,-0.034233,0.126294,0.091808,-0.064539,0.028438,0.000000,0.000000,0.000000,0.000000,0.060625,-0.029270,0.000000,-0.294113,-0.095791,-0.095791,-0.024332,-0.034233,0.033100,-0.064539,-0.029270,0.033100,0.372889,-0.650788,0.359555
L23,0.028438,0.091808,-0.029270,0.060625,0.000000,0.117783,0.000000,-0.029270,-0.722418,-0.509224,-0.439698,0.000000,0.000000,0.091808,-0.059423,0.028438,-0.039221,0.028438,-0.095791,0.028438,0.028438,0.060625,0.087412,0.091808,0.060625,0.091808,0.009569,0.060625,0.091808,0.091808,0.091808,0.087412,-0.095791,-0.256134,-0.367725,0.379490,-0.059423,0.069634,0.033100,0.065139,0.033100,0.046957,0.004796,-0.139041,-0.059423,0.707467
L24,0.091808,0.065139,0.000000,-0.029270,-0.085265,1.025490,0.060625,0.000000,0.253449,0.096184,0.187915,0.065139,0.060625,0.056089,0.000000,0.033100,0.004796,0.126294,0.065139,0.091808,0.000000,0.060625,0.091808,0.060625,0.096184,0.060625,-0.029270,0.000000,0.087412,0.091808,-0.029270,0.056089,0.000000,0.096184,0.607883,0.405465,0.009569,0.065139,0.117783,0.130522,0.060625,0.195851,-0.024332,0.033100,0.223144,4.883384
L25,0.000000,0.033100,-0.029270,0.028438,-0.034233,0.060625,-0.029270,-0.059423,0.848671,0.304369,0.179915,0.091808,0.060625,0.023754,0.033100,0.033100,0.155523,0.065139,0.096184,0.087412,0.060625,0.126294,0.117783,0.060625,0.033100,0.091808,0.091808,0.060625,0.056089,-0.034233,0.087412,0.000000,0.065139,0.056089,0.990399,0.461555,0.087412,-0.004819,0.091808,0.100541,0.000000,0.230806,-0.054334,0.078562,-0.529427,3.115223
L26,0.033100,0.091808,0.065139,0.060625,-0.029270,0.028438,-0.029270,0.091808,-0.190044,0.000000,-0.064539,0.000000,0.004796,0.056089,0.060625,-0.029270,0.000000,0.091808,-0.034233,-0.029270,-0.029270,0.091808,-0.029270,0.091808,0.000000,0.060625,0.087412,0.000000,0.033100,0.091808,-0.029270,0.056089,0.065139,-0.029270,-0.167054,0.346042,0.000000,-0.024332,0.037740,0.109199,0.000000,0.175891,-0.049271,-0.004819,-0.381711,10.510735
L27,0.000000,0.060625,0.056089,-0.059423,0.000000,-0.029270,-0.029270,-0.029270,0.159630,0.155523,0.096184,0.033100,-0.029270,0.091808,-0.059423,0.000000,0.056089,0.060625,0.033100,0.087412,0.023754,0.056089,-0.029270,-0.029270,0.028438,-0.029270,-0.029270,-0.029270,0.087412,-0.029270,-0.024332,-0.059423,-0.029270,0.033100,0.060625,0.147259,0.056089,0.060625,0.091808,0.037740,0.000000,0.175891,-0.111791,0.033100,-0.009662,4.453452
L28,0.000000,0.000000,-0.029270,0.000000,0.000000,-0.024332,0.000000,0.000000,0.000000,-0.029270,0.000000,0.000000,0.000000,-0.029270,-0.029270,-0.029270,-0.029270,-0.029270,-0.029270,0.000000,0.000000,0.000000,-0.029270,-0.029270,0.000000,-0.029270,0.000000,0.000000,-0.029270,0.000000,-0.029270,-0.029270,0.056089,0.028438,0.091808,0.147259,-0.029270,-0.029270,0.091808,0.060625,-0.029270,0.230806,-0.395896,0.000000,-0.059423,8.541105
L29,0.000000,-0.029270,0.033100,0.000000,0.023754,0.000000,-0.029270,0.000000,-0.029270,0.000000,-0.029270,0.000000,-0.029270,0.000000,-0.029270,0.000000,-0.029270,0.000000,-0.029270,0.000000,-0.029270,-0.029270,-0.029270,-0.024332,0.000000,0.000000,-0.029270,-0.029270,0.000000,0.000000,0.000000,0.000000,0.033100,0.000000,0.000000,0.033100,0.033100,0.000000,0.033100,-0.029270,0.033100,0.065139,-0.201740,0.065139,0.096184,7.062851
L30,0.096184,0.155523,-0.029270,0.000000,0.033100,0.000000,0.000000,-0.029270,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.033100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.029270,0.000000,0.000000,-0.029270,0.000000,0.000000,0.000000,0.000000,0.000000,-0.029270,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.033100,0.000000,0.065139,0.033100,-0.184246,0.065139,0.065139,11.998930
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.830980
