layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Could,7: you,8: summarize,9: a,10: rheumatoid,11: arthritis,12: case,13: in,14: 4,15:-,16:5,17: sentences,"18:,",19: focusing,20: on,21: demographic,22: and,23: prior,24: medical,25: history,26:?,27: Your,28: first,29: text,30: must,31: be,32::,"33: """,34:Gender,35::,"36: ""","37:
",38:<,39:|,40:ass,41:istant,42:|>,"43:
",44:Gender,45::
L1,-0.283944,-2.046289,0.043963,0.065241,0.027703,0.355551,-0.063790,0.022223,-0.157903,0.121521,-0.157903,0.424018,0.146093,0.116534,-0.081917,-0.144831,0.453006,-0.659995,-0.051885,0.121521,0.371176,0.323548,0.000000,0.005602,-0.088033,-0.508955,-0.532596,0.116534,-0.005634,-0.992129,-0.321971,-0.276509,-0.499652,-0.184571,-0.361502,-0.499652,-0.947677,-0.428193,-0.051885,0.116534,0.220894,0.065241,0.121521,0.234317,-0.112879,0.136336
L2,-0.756937,-0.638489,0.290487,-0.022728,0.038572,0.038572,-0.205050,-0.191351,0.541802,-0.011300,0.101420,-0.247310,2.226747,-0.151346,-0.233024,0.174803,-0.138358,-0.727436,-0.432513,-0.028492,0.155755,0.065241,-0.144831,-0.240141,0.005602,-0.177837,-0.481303,-0.261803,0.592768,0.339677,-0.211970,-0.361502,-0.233024,0.789478,0.927464,-0.727436,1.188117,0.940709,0.091216,0.126484,0.027703,0.101420,0.033152,0.394166,-0.419610,-0.112879
L3,0.043963,0.096331,0.054658,-0.022728,-0.138358,-0.051885,0.220894,-0.441209,-0.454396,0.043963,0.742472,0.394166,0.658858,0.075712,-0.353470,0.059963,0.307154,-0.467759,-0.432513,-0.333667,0.027703,0.975195,0.234317,-0.198177,0.065241,-0.157903,-0.495033,0.126484,-0.005634,-1.375121,-0.633184,-0.787334,-0.225956,0.331645,-0.333667,0.011173,-1.220970,0.567609,-0.504293,-0.028492,0.184192,-0.144831,0.033152,0.298855,0.155755,-0.527823
L4,-0.088033,0.150935,0.347646,-0.051885,-0.081917,-0.112879,0.179509,0.005602,-1.038649,-0.205050,1.909959,0.086075,1.687231,-0.333667,-0.349478,0.146093,-0.164504,-0.171148,-0.329753,-0.445585,0.508576,-0.670924,-0.034289,-0.291434,0.033152,-0.556811,-0.291434,0.211844,-0.638489,-1.192799,-0.463285,-0.415345,-0.463285,-0.527823,-0.681974,-1.220970,-1.518222,-0.415345,-0.198177,-0.094187,0.033152,-0.005634,0.000000,-0.298982,-0.138358,-1.289963
L5,-0.361502,-0.211970,-0.247310,0.038572,-0.057820,-0.081917,0.136336,0.033152,-0.094187,-0.240141,0.323548,-0.144831,0.704320,-0.028492,-0.537393,-0.022728,-0.184571,-0.739132,0.059963,-0.184571,-0.045985,-0.341541,0.335669,0.070490,-0.171148,-0.069796,-0.659995,-0.112879,0.116534,-0.191351,-0.504293,-0.518344,-0.211970,-1.054649,0.106483,0.065241,-0.005634,-0.298982,-0.106610,0.091216,0.065241,-0.028492,-0.057820,-0.205050,0.049325,-0.999733
L6,0.273538,0.184192,0.193495,0.096331,0.022223,-0.112879,0.193495,0.160551,0.070490,0.011173,0.331645,-0.016998,1.534811,0.174803,-0.112879,0.005602,-0.329753,-0.131928,-0.057820,-0.094187,0.150935,-0.040120,0.150935,0.298855,0.150935,0.580268,-0.601931,0.080907,0.193495,0.086075,-0.276509,-0.283944,-0.144831,-0.576613,3.924307,0.794567,-0.436851,-0.627907,0.106483,0.096331,-0.057820,0.311278,-0.177837,1.485173,0.331645,-0.211970
L7,1.454163,1.167355,-0.022728,-0.081917,0.106483,0.394166,0.131422,0.101420,-0.269129,0.096331,1.298261,-0.476768,-0.436851,-0.247310,-0.028492,-0.028492,-0.022728,0.528643,-0.402660,0.033152,-0.441209,-0.750967,-0.556811,-0.191351,0.065241,-0.205050,-0.518344,-0.276509,0.160551,-0.198177,0.198114,0.298855,0.307154,-0.591727,-0.665445,0.936314,0.294680,-0.775064,-0.075838,0.011173,0.038572,-0.112879,-0.467759,0.567609,-0.171148,-1.192799
L8,0.005602,-0.119189,-0.028492,-0.051885,0.005602,-0.022728,0.101420,0.033152,-0.144831,-0.022728,0.709861,0.027703,-0.063790,-0.191351,0.000000,0.005602,-0.005634,-0.643822,-0.045985,0.033152,-0.028492,-0.576613,-0.151346,-0.144831,0.033152,0.038572,-0.687545,-0.045985,0.005602,-0.377762,0.251938,0.339677,0.243166,0.091216,-0.112879,0.323548,0.474208,1.167355,0.038572,0.011173,-0.151346,-0.057820,-0.247310,0.623351,-0.750967,-0.261803
L9,-0.081917,-0.057820,-1.070910,-0.045985,-0.119189,0.106483,-0.081917,-0.057820,0.184192,-0.119189,0.611230,-0.011300,-0.088033,0.243166,0.065241,-0.016998,-0.034289,-0.100379,-0.144831,-0.005634,-0.051885,0.229862,0.106483,-0.057820,-0.144831,-0.415345,0.165324,-0.398467,-0.411099,0.251938,-0.591727,0.070490,-0.341541,-0.276509,0.065241,0.355551,-0.441209,-0.898197,-0.499652,0.027703,-0.088033,-0.094187,-0.415345,0.207288,0.641262,0.229862
L10,-0.112879,0.038572,-0.177837,-0.063790,0.065241,0.319475,0.033152,-0.211970,0.256296,0.000000,1.322505,0.445838,0.202711,0.027703,-0.034289,-0.081917,0.022223,-0.781180,0.005602,0.027703,-0.081917,-0.057820,-0.261803,-0.177837,-0.112879,-0.177837,0.065241,-0.144831,-0.233024,-0.385993,-0.022728,0.005602,0.453006,0.286277,0.327605,1.228391,-0.721639,0.409203,-0.112879,0.033152,-0.005634,-0.119189,-0.333667,0.351606,-0.112879,-1.183583
