layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Create,7: a,8: consult,9:-,10:note,11: style,12: brief,13: for,14: rheumatoid,15: arthritis,16: that,17: emphasizes,18: demographic,19: and,20: relevant,21: past,22: medical,23: history,24:.,25: Begin,26: with,27::,"28: """,29:Gender,30::,"31: ""","32:
",33:<,34:|,35:ass,36:istant,37:|>,"38:
",39:Gender,40::
L1,-0.294899,-4.933333,0.940452,0.128120,0.468200,-0.082443,2.209926,-0.462830,0.870656,-0.434660,-1.270891,2.892360,-2.016649,1.467437,0.224580,0.541986,1.093799,0.165391,0.775949,0.252910,0.570854,-0.412681,-0.036634,-0.168034,-0.304608,-0.616979,0.558584,0.833842,-0.491817,-1.116745,-0.014493,-0.434660,-0.294899,1.159090,0.307271,0.236008,0.177513,0.436161,0.403061,-0.275760,1.768707
L2,0.146929,-0.202669,0.285880,0.512260,0.189489,0.082805,1.562295,0.858535,0.995110,-0.014493,-0.451467,1.325101,-3.142531,0.258481,0.618482,-1.095005,-1.032486,0.598912,-0.233991,0.042259,-0.126362,0.586983,0.146929,0.207188,0.218816,-1.127794,-1.735762,-0.440231,1.064457,0.082805,-1.422902,0.678650,0.353791,0.606786,0.285880,0.076161,-0.014493,0.398242,0.275010,-0.074661,0.436161
L3,0.275010,0.207188,0.894467,0.275010,-1.116745,0.153121,0.403061,0.468200,1.512825,0.177513,-2.854897,-0.189540,-3.547900,-0.856925,3.257258,1.848844,-0.457132,-2.631782,-0.882677,-0.198274,0.000000,0.007168,0.499245,0.507940,0.082805,-1.270891,-2.449480,-0.207084,-1.843387,-2.988408,-0.954779,-0.294899,1.245537,0.338523,0.252910,0.102478,-0.407261,-0.036634,-0.630402,0.610700,0.353791
L4,0.134429,-0.014493,-0.059276,0.102478,-0.590662,0.021353,-0.423610,-0.429120,1.332721,0.554460,-1.676341,0.700312,-4.240760,0.069472,3.154694,-0.577759,0.146929,-0.527749,-2.101201,0.472695,-0.451467,-0.375344,0.049132,1.026526,1.309687,-0.909110,-0.983216,0.984415,0.742276,-3.835487,-1.196785,0.802094,0.183518,1.261964,0.021353,-0.051672,0.312548,-0.391175,-1.379101,-0.610334,-1.296866
L5,-0.380593,0.049132,0.035339,0.062738,-0.983216,-0.044124,-0.429120,0.177513,2.691601,0.876662,4.058075,0.626204,-0.515628,1.574289,-0.610334,-0.375344,-0.233991,-0.503652,-1.676341,0.795621,0.218816,-0.134558,-0.396508,1.419890,1.884443,-0.685971,-0.280511,0.108950,0.520844,0.333382,1.041872,1.270078,-0.714958,1.340282,0.014286,-0.155349,-0.007220,-0.521670,-0.329301,0.102478,0.317797
L6,0.280460,0.247308,0.598912,0.021353,-0.610334,-0.882677,0.546162,1.347787,1.347787,2.663918,5.099814,-0.571369,1.000415,0.649018,0.021353,-0.380593,0.546162,0.422109,0.171470,1.976270,0.814914,0.373791,0.533583,2.517341,2.540291,0.846265,2.071308,1.044406,1.525424,4.922071,-0.610334,-0.142823,4.167270,0.582975,-0.114191,-0.074661,0.102478,-0.791329,-1.270891,0.269531,0.285880
L7,2.120832,1.317424,0.230310,-0.224942,0.529354,2.614601,-0.224942,0.707429,1.150020,0.934818,4.216002,1.074334,0.328214,0.422109,4.384444,-2.131052,0.827573,0.499245,-0.445833,1.064457,0.525108,0.028370,0.095963,0.594951,3.243876,0.911960,2.197217,1.309687,1.270078,-1.337138,1.620876,0.431499,1.211850,0.459151,0.422109,0.082805,-0.066939,0.028370,-1.245574,1.261964,2.064028
L8,-0.134558,-0.299742,-0.110167,-0.168034,-0.193897,0.275010,0.606786,0.140699,0.398242,0.762615,3.912734,0.417381,0.159275,0.353791,1.185818,0.633867,0.477169,1.670817,-1.408088,0.021353,0.481623,0.258481,0.307271,0.618482,2.106930,0.494868,1.480617,0.852419,2.171305,-0.485952,2.049309,1.544029,4.236181,0.189489,0.115381,0.296633,-0.202669,-0.714958,-1.196785,-1.138967,0.663944
L9,0.076161,-0.044124,0.363841,-0.036634,-0.180882,0.358828,-0.233991,0.165391,0.201323,0.140699,0.876662,0.417381,-1.127794,0.241674,0.533583,-0.271032,0.076161,-0.304608,0.888567,0.159275,0.189489,0.121771,0.035339,-0.380593,1.194571,-0.349503,-0.552441,-0.791329,0.153121,1.603659,1.440545,1.074334,3.154694,-0.155349,0.049132,-0.138682,-0.074661,0.095963,1.676215,0.685923,-0.285284
L10,-0.021819,-0.151156,0.035339,-0.094231,0.353791,0.888567,0.440802,0.477169,0.014286,0.108950,-0.163788,-0.707632,-1.695759,-0.155349,3.405258,1.574289,-0.193897,-0.848487,1.620876,0.049132,0.000000,-0.126362,-0.036634,-0.036634,0.115381,-0.252340,-0.491817,-0.126362,-0.314412,0.582975,0.307271,-0.202669,-0.590662,1.054482,-0.238547,-0.044124,-0.098191,-0.309498,-0.385870,1.426822,-0.247721
