layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Write,7: a,8: hand,9:off,10:-,11:style,12: summary,13: for,14: a,15: patient,16: with,17: rheumatoid,18: arthritis,19:.,20: Include,21: demographic,22: first,"23:,",24: then,25: key,26: PM,27:H,28:.,29: Begin,30: exactly,31: with,32::,"33: """,34:Gender,35::,"36: ""","37:
",38:<,39:|,40:ass,41:istant,42:|>,"43:
",44:Gender,45::
L1,0.156768,-1.053762,-0.032637,-0.066375,-0.004598,-0.042161,-0.127000,-0.096228,-0.004598,-0.101291,-0.127000,0.000000,-0.254596,-0.004598,-0.127000,-0.066375,-0.071289,-0.127000,0.183849,0.053584,0.087776,-0.071289,-0.037388,-0.009217,-0.032637,-0.127000,0.027151,0.402402,-0.027909,0.057923,-0.219709,0.057923,-0.127000,0.444451,-0.254596,-0.486655,0.091968,-0.153386,0.120836,0.053584,0.120836,-0.032637,-0.158748,-0.096228,0.062242,0.943442
L2,0.013668,0.292259,-0.101291,-0.096228,-0.009217,-0.071289,0.057923,-0.153386,-0.004598,0.319287,-0.061485,-0.037388,-0.442853,-0.037388,0.027151,-0.158748,-0.158748,0.000000,0.120836,-0.066375,-0.004598,0.152839,-0.290745,-0.009217,0.091968,-0.032637,0.057923,0.221307,-0.037388,0.062242,-0.071289,-0.347542,-0.004598,-0.004598,-0.290745,-0.501693,0.235906,-0.066375,0.062242,0.152839,0.091968,0.152839,-0.071289,0.091968,-0.096228,0.339090
L3,-0.004598,-0.004598,-0.158748,-0.096228,-0.009217,-0.066375,0.120836,-0.096228,0.053584,0.325932,0.031605,0.120836,0.496038,0.221307,0.120836,-0.191538,-0.132222,0.408519,0.339090,0.057923,0.120836,-0.219709,-0.219709,0.022677,0.096144,0.057923,0.087776,0.560926,0.156768,-0.153386,-0.191538,-0.442853,-0.096228,-0.219709,-0.501693,-0.032637,-0.248697,-0.219709,0.004577,-0.127000,0.096144,-0.127000,0.183849,-0.071289,0.250295,0.132958
L4,0.057923,0.027151,-0.066375,-0.066375,-0.004598,0.057923,0.000000,-0.260531,-0.009217,0.160682,-0.066375,-0.061485,0.152839,0.022677,-0.127000,0.031605,-0.101291,1.064394,0.213927,-0.066375,0.062242,-0.197109,-0.096228,0.022677,0.027151,-0.004598,0.087776,0.305864,-0.042161,-0.061485,-0.032637,-0.127000,0.091968,0.191454,-0.127000,-0.127000,0.591856,0.000000,0.250295,-0.127000,-0.096228,-0.009217,0.000000,-0.037388,0.228633,-0.061485
L5,-0.197109,-0.066375,-0.191538,-0.032637,-0.321900,0.087776,-0.066375,-0.219709,-0.127000,-0.046957,-0.127000,-0.032637,0.176187,-0.032637,-0.132222,0.031605,0.027151,0.278465,0.027151,0.062242,-0.185998,-0.101291,0.183849,-0.091190,0.091968,0.027151,-0.032637,0.312598,-0.066375,-0.191538,0.112673,-0.032637,-0.042161,-0.219709,-0.524683,-0.442853,-0.175009,-0.321900,0.057923,-0.096228,-0.004598,0.152839,0.057923,0.144934,0.075090,-0.004598
L6,0.027151,0.152839,-0.042161,-0.004598,-0.071289,0.027151,-0.132222,0.027151,0.057923,-0.464514,0.027151,-0.197109,0.031605,0.027151,-0.132222,0.036040,-0.009217,0.183849,0.096144,0.062242,-0.066375,0.057923,0.250295,0.120836,0.027151,0.057923,-0.066375,0.049227,0.176187,0.144934,-0.197109,-0.421650,-0.414682,-0.501693,-0.242831,0.022677,0.299085,-0.296899,-0.004598,0.057923,-0.004598,-0.066375,-0.091190,0.364898,-0.106380,-0.601179
L7,0.621858,0.467707,0.057923,-0.004598,0.120836,1.189185,0.027151,-0.004598,0.027151,-0.711666,0.027151,0.057923,0.507149,-0.127000,-0.004598,-0.096228,-0.032637,1.312539,0.096144,-0.164139,-0.066375,-0.153386,0.057923,-0.066375,0.156768,0.083565,-0.009217,-0.056619,0.027151,0.057923,-0.266501,-0.164139,-0.260531,-0.284629,-0.127000,0.250295,0.079337,-0.158748,0.128934,0.031605,-0.004598,-0.096228,-0.242831,-0.056619,0.586767,0.746731
L8,0.120836,0.004577,-0.004598,0.027151,0.057923,0.213927,-0.127000,0.062242,-0.032637,-0.560189,-0.096228,0.120836,0.128934,0.027151,0.152839,0.408519,0.152839,0.818040,0.062242,0.066543,-0.127000,0.027151,-0.066375,-0.158748,0.057923,0.027151,0.031605,0.128934,0.271497,-0.004598,-0.158748,-0.164139,0.183849,0.183849,0.751070,0.062242,0.358508,0.278465,0.000000,0.031605,0.087776,0.027151,-0.127000,0.022677,0.383826,0.534399
L9,-0.066375,-0.096228,0.104443,0.027151,0.057923,0.027151,-0.004598,0.022677,-0.066375,-0.185998,0.027151,0.027151,0.091968,-0.061485,-0.096228,0.087776,0.183849,0.345605,-0.032637,-0.101291,-0.127000,0.057923,0.243126,-0.061485,0.091968,-0.066375,0.057923,0.213927,0.152839,0.057923,-0.009217,-0.091190,-0.042161,0.031605,0.621858,-0.191538,0.120836,-0.066375,0.031605,-0.032637,0.057923,0.057923,-0.121805,0.176187,0.813984,0.358508
L10,-0.096228,-0.066375,0.022677,-0.158748,0.091968,0.345605,-0.096228,0.000000,-0.066375,-0.278550,-0.004598,-0.096228,-0.032637,0.062242,0.053584,0.191454,0.057923,0.683931,0.096144,-0.071289,0.091968,0.352077,0.191454,-0.004598,0.027151,0.087776,-0.096228,0.191454,0.278465,-0.009217,-0.009217,-0.066375,-0.009217,0.124893,-0.219709,-0.347542,-0.219709,0.083565,0.213927,0.004577,0.057923,0.027151,-0.096228,0.000000,-0.158748,0.160682
L11,-0.096228,-0.004598,0.031605,-0.004598,0.027151,-0.004598,-0.004598,0.152839,0.057923,-0.380549,-0.004598,-0.096228,-0.191538,0.031605,-0.158748,0.027151,0.496038,2.134112,1.251451,-0.027909,-0.061485,0.053584,0.083565,0.031605,-0.071289,0.022677,-0.158748,0.000000,-0.127000,0.091968,-0.032637,-0.101291,0.096144,0.467707,0.576510,-0.127000,-0.091190,0.083565,0.116763,0.062242,-0.096228,-0.071289,-0.121805,0.243126,1.814436,-0.013857
