layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Prov,7:ide,8: 4,9: bullet,10: points,11: summar,12:izing,13: demographic,14: and,15: past,16: medical,17: history,18: for,19: rheumatoid,20: arthritis,21:.,22: Start,23: exactly,24: with,25::,"26: """,27:Gender,28::,"29: ""","30:
",31:<,32:|,33:ass,34:istant,35:|>,"36:
",37:Gender,38::
L1,-0.025437,-0.323347,0.029694,-0.015184,0.029694,-0.035796,0.109333,-0.035796,0.166223,0.170467,0.029694,-0.089263,0.166223,0.149060,0.153379,-0.005036,-0.100308,0.019894,-0.010097,-0.041015,0.091157,-0.051538,-0.051538,-0.046263,0.058532,-0.122771,-0.509736,0.063258,-0.505563,-0.275904,-0.062172,0.000000,0.049011,0.005011,0.058532,-0.046263,0.009996,0.067962,-0.526603
L2,0.290096,0.199688,0.077305,-0.083785,0.049011,-0.062172,0.034558,-0.175238,0.153379,0.178904,-0.117108,0.014957,0.240004,0.232069,0.005011,-0.072920,0.095732,0.053783,-0.157442,-0.387850,-0.211811,-0.175238,-0.282546,-0.046263,0.049011,0.044217,-0.105877,-0.035796,-0.295962,-0.078338,-0.072920,0.005011,0.081944,-0.056841,0.053783,0.000000,-0.211811,0.122752,0.072645
L3,-0.046263,-0.094770,-0.030603,0.063258,0.009996,-0.134195,0.024806,-0.175238,0.086561,0.067962,-0.005036,0.140367,0.334208,0.334208,-0.151579,0.005011,0.014957,0.195565,-0.122771,-0.395281,0.274948,-0.169271,0.014957,-0.295962,-0.020297,0.024806,-0.078338,0.149060,-0.089263,0.166223,-0.035796,0.153379,0.049011,-0.072920,0.077305,0.000000,-0.100308,0.161960,-0.193357
L4,-0.030603,0.029694,0.199688,0.019894,0.005011,-0.010097,0.067962,0.135993,0.109333,0.029694,0.081944,0.058532,0.024806,0.166223,0.135993,0.081944,0.014957,0.019894,0.274948,0.178904,-0.078338,-0.224305,0.140367,-0.067532,0.493445,0.305017,0.005011,-0.111476,-0.230611,0.687921,-0.218038,0.157678,0.009996,0.009996,-0.051538,0.153379,0.455949,0.297584,-0.601644
L5,-0.020297,-0.056841,0.100286,0.034558,0.207882,-0.111476,0.029694,0.077305,0.166223,0.224072,0.005011,0.100286,0.157678,0.149060,-0.015184,-0.030603,-0.051538,-0.051538,0.341375,-0.530865,-0.218038,0.029694,0.029694,-0.030603,-0.005036,0.157678,-0.380474,-0.187281,0.144723,1.884919,-0.151579,-0.046263,-0.067532,0.000000,0.005011,0.113826,0.174694,-0.535145,0.784131
L6,0.034558,0.122752,0.039399,0.053783,0.236044,-0.157442,-0.041015,0.049011,-0.330312,0.113826,-0.139956,-0.015184,0.383328,0.118299,0.131598,0.024806,0.019894,0.063258,0.396930,-0.592517,-0.145751,0.341375,-0.169271,-0.151579,-0.151579,-0.094770,-0.035796,0.170467,0.131598,0.319719,-0.323347,0.000000,-0.041015,-0.083785,-0.056841,0.005011,0.251788,0.191426,-0.592517
L7,0.053783,0.049011,0.024806,0.081944,0.113826,0.348491,-0.025437,0.122752,0.091157,-0.100308,-0.025437,0.029694,0.199688,0.113826,0.232069,0.034558,0.067962,0.063258,0.135993,0.390152,-0.078338,0.091157,-0.046263,-0.078338,-0.089263,0.290096,-0.373152,-0.062172,-0.030603,0.297584,-0.826908,0.024806,0.029694,-0.051538,0.005011,-0.020297,0.376457,-0.468772,-0.145751
L8,0.000000,-0.067532,0.019894,0.086561,0.039399,0.195565,0.024806,0.044217,0.005011,0.113826,-0.218038,0.049011,0.081944,0.009996,0.118299,0.086561,0.024806,0.053783,0.149060,0.161960,0.077305,0.140367,-0.117108,-0.056841,-0.175238,0.072645,-0.157442,0.009996,0.282551,0.183095,-0.309560,0.067962,0.034558,-0.030603,0.019894,0.157678,0.220049,-0.289231,-0.410310
L9,-0.010097,-0.020297,0.058532,-0.020297,0.019894,0.014957,0.034558,0.014957,0.014957,0.049011,-0.051538,0.072645,0.100286,0.044217,-0.134195,0.049011,0.000000,-0.134195,-0.249772,-0.035796,0.063258,-0.218038,0.095732,0.095732,0.216010,0.170467,0.091157,0.122752,-0.030603,0.131598,-0.256241,0.113826,-0.010097,-0.046263,0.044217,-0.020297,-0.230611,-0.728549,-0.289231
L10,-0.035796,-0.025437,0.081944,-0.072920,0.049011,0.153379,-0.035796,0.058532,-0.015184,-0.041015,-0.094770,0.000000,0.091157,-0.020297,-0.062172,-0.094770,-0.083785,-0.062172,0.005011,0.355556,-0.041015,-0.030603,0.000000,-0.145751,-0.046263,-0.230611,0.039399,-0.025437,-0.062172,-0.015184,-0.460777,0.104820,0.113826,0.081944,0.091157,-0.035796,0.348491,-0.187281,0.282551
L11,-0.062172,-0.025437,0.049011,0.063258,0.034558,0.000000,0.000000,-0.025437,0.077305,0.131598,-0.181242,0.005011,-0.051538,-0.020297,-0.030603,0.063258,-0.083785,-0.051538,-0.041015,0.774916,0.228079,-0.051538,0.131598,0.005011,0.049011,-0.046263,0.157678,0.095732,-0.230611,-0.256241,0.282551,0.135993,0.029694,-0.051538,-0.100308,0.216010,0.487292,-0.072920,0.430148
L12,-0.010097,-0.020297,0.014957,0.014957,-0.010097,0.072645,0.039399,0.019894,0.024806,-0.030603,-0.051538,0.014957,-0.072920,-0.134195,-0.056841,0.014957,0.014957,-0.035796,-0.157442,-0.005036,-0.025437,0.157678,-0.157442,0.000000,-0.157442,-0.262753,-0.089263,0.312395,0.144723,-0.051538,-0.417911,0.100286,0.005011,-0.025437,-0.041015,0.122752,-0.015184,-0.205622,-0.395281
