layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Output,7: a,8: single,9: chart,10:-,11:style,12: line,13: for,14: rheumatoid,15: arthritis,16: using,17: this,18: pattern,19::,20: demographic,21: |,22: PM,23:H,24:.,25: Begin,26: exactly,27: with,28::,"29: """,30:Gender,31::,"32: ""","33:
",34:<,35:|,36:ass,37:istant,38:|>,"39:
",40:Gender,41::
L1,-0.107242,-0.227383,-0.276437,-0.185711,-0.216801,-0.070202,0.073500,0.370970,-0.254338,0.199124,0.037425,0.000000,-0.466603,-0.170522,-0.070202,-0.121494,0.089125,-0.107242,-0.175559,-0.038881,-0.052184,-0.150621,-0.079334,-0.145707,0.112114,-0.111970,0.065595,0.104510,-0.043296,-0.012793,-0.034485,-0.222078,0.096847,-0.160522,-0.190826,-0.061153,-0.056658,-0.079334,-0.008510,-0.008510,0.061619,-0.316327
L2,-0.061153,-0.140818,-0.304766,-0.126290,-0.116721,-0.107242,-0.008510,0.112114,-0.227383,0.527621,-0.025752,0.714098,0.394092,-0.155559,-0.243468,0.000000,-0.034485,0.037425,-0.107242,-0.131109,-0.145707,-0.047730,-0.093191,-0.573461,-0.116721,0.266261,0.089125,0.020965,-0.083932,-0.004246,-0.121494,0.178071,0.029229,-0.008510,-0.030109,0.049596,-0.034485,0.041499,-0.021413,-0.021413,-0.047730,-0.070202
L3,-0.097853,-0.065667,-0.322158,-0.175559,-0.107242,-0.170522,0.329174,0.156565,-0.102537,0.972301,0.008439,0.481578,-0.093191,0.061619,-0.259817,-0.107242,0.233256,-0.111970,-0.201135,0.156565,-0.038881,0.512508,-0.052184,-0.370069,-0.140818,0.212917,-0.052184,0.212917,-0.102537,-0.074758,0.029229,0.253190,0.279165,0.119661,-0.038881,-0.056658,-0.052184,-0.088551,0.029229,-0.021413,0.025105,-0.008510
L4,-0.056658,-0.093191,-0.201135,-0.126290,-0.021413,-0.102537,0.045555,0.069556,-0.102537,-0.287673,-0.083932,0.654252,-0.227383,-0.004246,-0.238078,0.104510,-0.052184,-0.008510,0.438792,0.053620,0.212917,0.444241,-0.121494,-0.446536,0.112114,0.399790,0.127152,0.416692,0.119661,-0.088551,0.016807,0.008439,0.192155,-0.135952,-0.102537,-0.121494,-0.034485,-0.065667,0.096847,0.272734,-0.065667,-0.074758
L5,-0.243468,-0.216801,-0.079334,-0.150621,0.134587,-0.248888,0.053620,-0.012793,-0.287673,-0.339856,-0.131109,0.502304,-0.487080,-0.038881,-0.304766,0.037425,-0.038881,0.049596,0.020965,0.089125,0.178071,0.199124,-0.270866,-0.382414,0.104510,0.455052,-0.102537,0.134587,0.012631,0.081343,-0.012793,-0.004246,0.370970,-0.310530,-0.121494,-0.121494,-0.043296,0.069556,0.170953,0.323058,-0.083932,-0.097853
L6,-0.111970,-0.088551,-0.116721,-0.165509,0.053620,-0.175559,-0.206330,-0.345826,-0.140818,-0.131109,-0.140818,0.279165,-0.339856,-0.376223,-0.201135,0.069556,0.170953,-0.160522,-0.270866,-0.034485,-0.079334,0.618374,-0.065667,-0.790969,-0.439936,-0.107242,-0.201135,-0.102537,-0.170522,-0.160522,0.104510,0.323058,0.096847,-0.382414,-0.170522,-0.088551,-0.061153,-0.107242,0.008439,-0.107242,-0.083932,-0.030109
L7,-0.145707,-0.155559,-0.052184,-0.038881,-0.004246,0.571637,-0.079334,-0.180623,-0.238078,0.012631,-0.093191,0.585889,-0.515053,-0.070202,-0.180623,0.112114,-0.304766,-0.025752,-0.052184,-0.102537,-0.180623,0.069556,0.033335,-0.394914,-0.065667,-0.222078,0.020965,-0.008510,-0.140818,0.061619,0.112114,-0.079334,-0.150621,0.000000,-0.043296,-0.034485,-0.065667,-0.102537,0.012631,-0.004246,-0.025752,0.899180
L8,-0.065667,-0.074758,-0.083932,-0.074758,-0.088551,-0.061153,0.025105,-0.150621,-0.254338,-0.116721,-0.093191,0.163785,-0.446536,-0.012793,-0.248888,0.119661,-0.074758,0.012631,-0.012793,-0.150621,-0.316327,0.246589,-0.025752,-0.243468,-0.121494,-0.165509,-0.004246,-0.201135,-0.222078,-0.131109,-0.034485,0.112114,0.065595,-0.211552,-0.093191,-0.025752,-0.052184,0.041499,0.077430,-0.232716,0.206044,0.341295
L9,-0.043296,-0.056658,0.163785,-0.079334,-0.065667,-0.079334,-0.097853,-0.175559,-0.227383,-0.070202,-0.012793,0.449661,-0.140818,-0.061153,-0.088551,-0.047730,-0.121494,-0.034485,0.104510,0.065595,-0.401223,0.253190,-0.056658,-0.507986,-0.131109,0.004228,-0.034485,0.012631,-0.052184,0.012631,0.206044,0.170953,0.012631,0.199124,0.104510,-0.093191,-0.034485,-0.021413,-0.038881,0.119661,-0.070202,-0.446536
L10,-0.047730,-0.047730,-0.017094,-0.065667,-0.056658,-0.083932,-0.070202,-0.070202,-0.088551,-0.111970,-0.052184,0.304482,-0.135952,0.112114,-0.116721,-0.043296,-0.160522,-0.165509,0.077430,0.178071,0.259747,0.077430,-0.021413,-0.043296,0.000000,0.127152,-0.021413,0.049596,0.089125,0.291903,0.081343,-0.052184,0.008439,-0.190826,0.127152,0.012631,-0.034485,-0.004246,-0.083932,0.422263,-0.004246,-0.021413
L11,-0.012793,-0.038881,-0.004246,-0.061153,-0.056658,-0.056658,-0.021413,-0.021413,0.104510,-0.265326,-0.047730,0.045555,-0.061153,-0.394914,0.045555,0.061619,0.037425,-0.021413,-0.056658,-0.339856,0.427803,-0.265326,-0.017094,-0.135952,-0.056658,-0.145707,-0.052184,-0.074758,0.061619,0.382598,0.045555,-0.180623,0.226522,0.304482,-0.021413,-0.083932,-0.021413,-0.079334,0.037425,0.497163,-0.025752,-0.339856
L12,-0.038881,-0.061153,-0.025752,-0.052184,-0.030109,-0.043296,-0.021413,-0.034485,0.096847,-0.131109,-0.070202,-0.052184,0.033335,-0.155559,-0.170522,-0.195968,0.119661,0.033335,-0.088551,-0.116721,-0.287673,-0.145707,-0.107242,0.199124,0.119661,-0.116721,-0.065667,-0.150621,-0.065667,0.089125,0.134587,0.239945,-0.121494,0.096847,-0.121494,0.033335,-0.004246,0.020965,0.025105,0.899180,0.037425,-0.328022
L13,-0.052184,-0.074758,-0.056658,-0.070202,-0.079334,-0.038881,-0.052184,-0.160522,0.089125,-0.195968,-0.083932,0.149292,-0.079334,-0.190826,0.025105,-0.070202,-0.056658,-0.083932,0.037425,0.049596,0.206044,0.016807,-0.008510,-0.185711,0.081343,-0.079334,-0.038881,-0.093191,0.025105,-0.038881,0.081343,-0.061153,-0.052184,0.053620,-0.322158,0.020965,-0.017094,0.029229,0.025105,0.134587,-0.065667,-0.093191
L14,0.025105,0.020965,-0.052184,-0.034485,-0.056658,-0.025752,-0.047730,-0.097853,0.008439,-0.243468,-0.111970,0.077430,-0.175559,0.057628,-0.088551,-0.065667,0.104510,-0.038881,-0.017094,-0.030109,-0.165509,0.266261,-0.052184,-0.304766,-0.083932,-0.008510,-0.038881,-0.056658,0.156565,-0.097853,-0.140818,-0.102537,-0.043296,-0.206330,0.037425,-0.012793,-0.004246,-0.017094,0.073500,-0.265326,-0.061153,-0.004246
L15,-0.079334,-0.034485,-0.025752,-0.052184,-0.008510,-0.017094,-0.043296,-0.093191,-0.070202,-0.102537,-0.038881,-0.243468,0.000000,0.004228,-0.017094,-0.088551,-0.061153,-0.121494,-0.034485,-0.175559,0.000000,-0.093191,0.025105,-0.388645,0.053620,-0.074758,-0.038881,-0.034485,0.000000,-0.107242,-0.155559,0.029229,-0.079334,0.089125,-0.052184,-0.004246,-0.052184,-0.021413,-0.145707,-0.180623,-0.195968,0.444241
L16,0.025105,0.016807,-0.047730,-0.083932,-0.034485,-0.038881,-0.056658,-0.097853,0.016807,-0.243468,-0.052184,-0.135952,0.096847,-0.265326,-0.056658,-0.025752,-0.140818,-0.083932,-0.088551,-0.030109,0.096847,-0.088551,-0.030109,-0.150621,-0.093191,0.061619,-0.088551,-0.065667,0.025105,-0.276437,-0.034485,-0.135952,-0.034485,0.033335,-0.160522,0.008439,-0.047730,0.045555,-0.507986,0.163785,0.226522,0.376801
L17,-0.047730,-0.065667,-0.088551,-0.061153,-0.052184,-0.065667,-0.034485,-0.061153,-0.079334,-0.131109,-0.047730,-0.038881,-0.155559,-0.243468,-0.070202,-0.079334,-0.088551,-0.102537,-0.017094,-0.025752,-0.070202,-0.097853,-0.121494,-0.282039,-0.145707,-0.111970,-0.065667,-0.043296,-0.012793,-0.047730,0.073500,0.004228,-0.070202,-0.052184,-0.074758,0.045555,-0.052184,0.033335,0.008439,-0.107242,0.089125,-0.140818
L18,-0.021413,-0.004246,-0.043296,-0.097853,-0.025752,-0.056658,-0.052184,-0.021413,-0.008510,0.000000,-0.074758,0.012631,-0.135952,-0.243468,0.000000,-0.088551,-0.135952,-0.074758,-0.012793,-0.004246,0.033335,-0.102537,-0.004246,-0.175559,0.008439,-0.216801,-0.025752,-0.121494,0.004228,-0.270866,0.073500,-0.276437,0.219742,-0.021413,0.025105,-0.043296,-0.061153,0.020965,0.178071,0.645402,-0.322158,-0.763319
L19,-0.034485,-0.052184,-0.047730,-0.056658,0.037425,-0.131109,-0.038881,-0.004246,-0.034485,0.073500,-0.038881,0.045555,-0.160522,-0.056658,-0.083932,-0.145707,-0.145707,-0.102537,-0.043296,-0.074758,0.012631,-0.121494,-0.034485,-0.145707,-0.008510,-0.111970,-0.047730,-0.038881,0.025105,-0.135952,-0.017094,-0.116721,0.178071,0.096847,0.065595,-0.030109,-0.034485,-0.021413,-0.079334,0.141967,-0.388645,-0.339856
L20,-0.021413,-0.038881,-0.012793,-0.056658,-0.012793,-0.008510,-0.008510,-0.025752,-0.017094,0.170953,-0.043296,0.008439,-0.088551,-0.047730,-0.056658,-0.061153,-0.012793,-0.074758,-0.021413,-0.097853,-0.111970,-0.102537,-0.043296,-0.111970,-0.052184,-0.083932,-0.056658,-0.065667,-0.021413,-0.079334,0.053620,-0.093191,0.089125,0.012631,0.037425,-0.065667,-0.038881,0.033335,0.272734,-0.107242,-0.333922,0.684623
L21,-0.025752,0.004228,-0.017094,-0.056658,-0.061153,-0.021413,-0.025752,-0.030109,-0.017094,0.061619,-0.047730,0.012631,0.008439,0.112114,-0.065667,-0.052184,-0.074758,-0.043296,-0.038881,0.004228,-0.030109,-0.017094,-0.052184,0.000000,-0.061153,0.077430,-0.021413,-0.030109,-0.008510,0.096847,0.156565,-0.008510,0.185138,0.025105,0.246589,-0.025752,-0.025752,0.008439,0.266261,0.149292,0.170953,0.096847
L22,-0.021413,0.000000,-0.034485,-0.021413,-0.008510,-0.038881,-0.034485,-0.030109,-0.047730,0.061619,-0.030109,0.025105,-0.012793,-0.025752,-0.061153,-0.093191,-0.052184,-0.043296,-0.038881,-0.070202,0.134587,-0.012793,-0.021413,-0.083932,-0.088551,-0.038881,-0.017094,-0.052184,-0.056658,-0.052184,-0.070202,-0.135952,0.178071,-0.093191,-0.012793,-0.025752,-0.043296,-0.021413,-0.065667,-0.065667,-0.282039,-0.868673
L23,-0.021413,-0.004246,-0.021413,-0.025752,-0.004246,-0.047730,-0.017094,-0.012793,-0.021413,-0.043296,-0.025752,-0.017094,-0.135952,0.025105,-0.070202,-0.074758,-0.025752,-0.012793,-0.043296,-0.017094,0.049596,-0.140818,-0.021413,-0.025752,-0.025752,-0.034485,-0.008510,-0.012793,-0.056658,-0.083932,0.025105,-0.175559,0.246589,-0.038881,-0.030109,0.045555,-0.017094,0.089125,0.049596,0.112114,0.025105,0.959398
L24,-0.008510,0.008439,-0.025752,-0.017094,-0.017094,0.096847,-0.021413,0.000000,-0.004246,-0.030109,-0.012793,-0.017094,0.012631,-0.008510,-0.008510,-0.025752,0.000000,0.000000,-0.030109,-0.017094,-0.030109,0.029229,-0.017094,0.012631,0.004228,-0.030109,-0.025752,-0.008510,0.000000,0.016807,0.069556,-0.074758,-0.021413,0.008439,-0.056658,-0.017094,0.012631,0.134587,0.045555,0.096847,-0.155559,0.394092
L25,-0.017094,-0.021413,-0.065667,-0.043296,-0.043296,-0.017094,-0.030109,-0.017094,-0.030109,-0.025752,-0.025752,-0.021413,0.029229,-0.008510,-0.034485,-0.025752,-0.012793,-0.030109,-0.021413,-0.017094,-0.025752,0.016807,0.029229,-0.008510,0.000000,-0.021413,-0.004246,-0.004246,0.004228,0.016807,-0.074758,-0.155559,-0.004246,-0.021413,-0.038881,0.008439,0.004228,0.081343,-0.093191,-0.165509,-0.248888,-0.135952
L26,-0.017094,-0.017094,-0.012793,-0.008510,-0.012793,-0.017094,-0.004246,-0.025752,-0.030109,-0.004246,-0.012793,-0.008510,0.004228,-0.012793,0.012631,-0.008510,-0.008510,-0.025752,-0.004246,-0.008510,-0.004246,0.000000,0.008439,-0.025752,-0.030109,-0.017094,-0.004246,-0.008510,0.012631,0.065595,0.073500,-0.079334,0.141967,-0.034485,-0.038881,0.053620,0.008439,0.119661,-1.119968,-0.102537,0.000000,-1.032964
L27,0.000000,-0.008510,-0.021413,-0.008510,-0.034485,-0.030109,-0.008510,-0.025752,-0.008510,-0.008510,0.004228,-0.012793,-0.004246,-0.012793,-0.025752,-0.012793,-0.012793,-0.012793,-0.017094,0.004228,-0.012793,-0.012793,-0.008510,-0.004246,-0.017094,-0.021413,-0.008510,-0.012793,-0.021413,0.008439,-0.065667,-0.140818,-0.025752,-0.012793,-0.025752,-0.021413,-0.008510,0.149292,-0.701629,-0.135952,0.057628,-0.004246
L28,-0.008510,-0.017094,-0.012793,-0.012793,-0.038881,-0.012793,-0.012793,0.000000,-0.008510,-0.012793,-0.021413,-0.008510,-0.008510,-0.017094,-0.017094,-0.017094,-0.017094,-0.008510,-0.012793,-0.021413,-0.012793,-0.012793,-0.021413,-0.021413,-0.017094,-0.017094,-0.004246,-0.008510,-0.021413,-0.025752,-0.083932,-0.145707,-0.008510,-0.017094,-0.017094,-0.021413,-0.021413,0.141967,-0.651622,-0.025752,-0.034485,0.163785
L29,-0.021413,-0.017094,-0.017094,0.000000,-0.021413,-0.017094,0.000000,-0.008510,-0.004246,-0.008510,-0.004246,-0.017094,-0.008510,-0.008510,-0.025752,-0.012793,-0.004246,-0.008510,-0.008510,-0.008510,-0.008510,-0.004246,-0.017094,-0.008510,-0.004246,-0.021413,-0.012793,0.000000,-0.021413,-0.012793,-0.012793,-0.017094,-0.004246,-0.017094,-0.012793,-0.017094,-0.021413,0.004228,-0.963977,0.041499,0.020965,0.170953
L30,-0.017094,-0.012793,0.000000,-0.004246,-0.021413,0.000000,0.000000,-0.008510,-0.004246,-0.012793,-0.008510,-0.004246,-0.004246,-0.008510,-0.017094,0.000000,-0.004246,-0.008510,-0.012793,0.000000,-0.008510,0.000000,-0.017094,-0.004246,-0.004246,-0.008510,-0.008510,0.000000,-0.008510,-0.008510,0.000000,-0.088551,-0.008510,-0.004246,-0.004246,-0.017094,-0.008510,0.012631,0.016807,-0.008510,0.000000,0.089125
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.878825
