layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:You,7: are,8: a,9: helpful,10: clinical,11: assistant,12: for,13: inpatient,14: documentati,15:.,16: Condition,17::,18: rheumatoid,19: arthritis,20:.,"21:
",22:Create,23: a,24: concise,25: patient,26: summary,27: emphasizing,28: demographic,29: and,30: PM,31:H,32:.,33: Start,34: with,35::,"36: """,37:Gender,38::,"39: ""","40:
",41:<,42:|,43:ass,44:istant,45:|>,"46:
",47:Gender,48::
L1,-0.185836,0.322168,-0.313350,0.000000,0.056833,-0.124384,-0.192904,-0.124384,-0.066490,0.056833,0.000000,-0.060259,-0.066490,-0.251314,-0.124384,-0.131028,0.062343,-0.251314,-0.060259,0.375789,0.247408,0.062343,-0.131028,-0.124384,-0.066490,-0.066490,-0.164930,-0.124384,0.186213,-0.124384,0.056833,-0.131028,-0.005865,-0.124384,-0.066490,-0.124384,0.247408,-0.124384,-0.243824,-0.251314,-0.124384,-0.185836,0.000000,0.000000,-0.060259,0.000000,-0.405465,0.062343,0.441833
L2,0.493126,0.363668,-0.060259,0.000000,-0.066490,0.000000,0.062343,0.056833,0.000000,0.313658,0.000000,0.121027,0.005831,-0.379490,0.056833,0.000000,0.126195,0.056833,0.005831,0.000000,0.126195,-0.066490,-0.251314,0.000000,-0.005865,-0.124384,0.067823,-0.281851,0.062343,0.000000,0.056833,0.126195,-0.221683,-0.131028,-0.251314,-0.005865,-0.192904,-0.630804,-0.124384,-0.124384,-0.060259,-0.066490,0.000000,0.062343,0.056833,-0.124384,0.126195,0.062343,0.121027
L3,-0.124384,0.000000,-0.124384,-0.060259,-0.066490,-0.060259,0.062343,-0.185836,0.000000,0.005831,0.062343,0.126195,0.067823,-0.693147,-0.409861,0.000000,-0.066490,-0.317358,0.375789,0.441833,0.062343,0.121027,-0.131028,0.000000,0.251964,0.247408,0.693147,0.000000,-0.117783,0.126195,0.186213,0.500243,-0.124384,-0.060259,-0.251314,-0.345873,0.247408,-0.124384,-0.185836,-0.221683,0.062343,0.000000,-0.124384,0.062343,-0.066490,0.000000,0.186213,0.379797,-0.131028
L4,-0.066490,0.000000,-0.124384,-0.060259,-0.258862,-0.124384,-0.005865,-0.124384,-0.124384,-0.158057,-0.192904,-0.289633,-0.060259,-0.636314,-0.824175,-0.060259,-0.124384,0.367725,2.262615,0.626657,-0.060259,0.056833,-0.066490,-0.060259,0.186213,0.000000,0.371765,-0.124384,-0.598369,0.000000,0.062343,0.151641,-0.066490,0.067823,0.000000,0.056833,0.441833,0.067823,-0.375225,0.309375,-0.251314,0.126195,-0.185836,-0.060259,-0.066490,-0.060259,0.186213,0.195875,-0.251314
L5,-0.005865,-0.066490,-0.131028,0.056833,-0.441183,-0.124384,0.062343,-0.060259,-0.131028,0.062343,0.000000,-0.066490,0.247408,-0.281851,-0.098238,0.434286,-0.370979,-0.005865,-0.251314,0.056833,-0.131028,0.056833,-0.066490,-0.124384,0.126195,-0.317358,0.126195,-0.185836,-0.375225,0.000000,-0.066490,-0.409861,-0.251314,-0.066490,-0.066490,-0.185836,0.247408,-0.693147,-0.124384,0.062343,-0.561811,-0.185836,-0.243824,-0.060259,0.062343,0.000000,0.434286,-0.124384,0.186213
L6,0.186213,0.056833,-0.005865,0.000000,-0.251314,-0.185836,0.062343,0.000000,-0.131028,0.000000,0.062343,0.186213,0.056833,-0.060259,-0.630804,-0.066490,-0.185836,0.186213,-0.251314,0.000000,-0.005865,0.242831,-0.060259,0.186213,0.062343,0.313658,-0.185836,0.000000,-0.192904,0.062343,0.062343,-0.370979,-0.066490,0.000000,0.000000,-0.158057,0.023122,-0.229009,0.568763,0.379797,0.000000,0.062343,-0.124384,-0.124384,-0.066490,-0.124384,0.186213,-0.192904,-0.375225
L7,-0.066490,-0.274129,-0.005865,0.000000,0.000000,-0.753406,0.000000,-0.124384,-0.131028,-0.066490,-0.124384,0.251964,0.062343,0.062343,0.056833,0.000000,-0.124384,-0.124384,0.755490,0.317922,-0.124384,0.062343,-0.060259,0.062343,-0.066490,0.062343,-0.005865,-0.192904,-0.124384,0.000000,-0.124384,-0.185836,-0.060259,-0.066490,0.062343,0.186213,-0.066490,-0.722823,0.186213,-0.192904,-0.117783,-0.005865,-0.060259,0.000000,-0.185836,-0.251314,-0.060259,-0.313350,0.755490
L8,0.000000,-0.060259,0.126195,-0.060259,-0.060259,0.375789,0.000000,0.062343,0.056833,0.000000,0.126195,0.375789,0.062343,-0.066490,0.062343,0.121027,0.251964,0.062343,0.814174,0.755490,0.062343,0.056833,-0.005865,-0.060259,0.062343,0.371765,-0.131028,-0.066490,-0.066490,-0.124384,0.005831,-0.309358,0.067823,0.000000,-0.060259,0.126195,0.434286,1.318241,0.126195,0.186213,-0.066490,-0.060259,-0.060259,-0.060259,-0.060259,-0.185836,-0.317358,0.313658,0.062343
L9,0.056833,-0.131028,-0.907557,-0.005865,-0.066490,0.121027,0.062343,-0.005865,-0.005865,-0.005865,0.000000,0.062343,0.000000,0.126195,-0.192904,0.000000,-0.066490,0.186213,0.062343,0.251964,0.062343,0.121027,0.000000,0.126195,0.247408,-0.005865,0.056833,0.126195,-0.561811,0.067823,-0.060259,0.062343,0.062343,0.126195,-0.060259,-0.124384,0.062343,0.251964,-0.221683,0.247408,0.126195,0.062343,-0.066490,-0.185836,0.062343,0.000000,-0.098238,0.626657,1.125537
L10,-0.060259,-0.060259,-0.066490,0.062343,0.000000,0.322168,-0.060259,-0.124384,-0.060259,-0.005865,0.000000,0.309375,0.000000,0.186213,0.000000,-0.005865,-0.060259,0.056833,0.191055,0.500243,0.000000,0.126195,0.062343,-0.066490,0.056833,0.000000,0.126195,-0.281851,0.062343,0.000000,-0.005865,0.121027,0.186213,-0.060259,-0.185836,0.062343,0.247408,-0.341749,-0.072759,-0.192904,0.247408,-0.185836,-0.060259,-0.066490,-0.066490,-0.185836,-0.060259,-0.409861,0.251964
