layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:The,7: patient,8: carries,9: a,10: diagnosis,11: of,12: sarc,13:oid,14:osis,15:.,"16:
",17:Sum,18:mar,19:ize,20: demographic,21: profile,22: and,23: past,24: medical,25: history,26: in,27: 2,28:-,29:4,30: sentences,31:.,32: Start,33: with,34::,"35: """,36:Gender,37::,"38: ""","39:
",40:<,41:|,42:ass,43:istant,44:|>,"45:
",46:Gender,47::
L1,0.566733,-0.877971,0.006231,-0.064538,0.192684,0.000000,0.313898,0.187516,0.060625,-0.064538,0.000000,0.247836,-0.184825,0.621919,0.940983,0.247836,0.493170,-0.064538,-0.064538,-0.192372,-0.126414,0.123323,0.313898,-0.064538,0.128833,0.066490,0.187516,-0.057894,-0.057894,0.187516,-0.440445,0.252702,-0.057894,0.006231,-0.192372,0.192684,-0.374693,0.000000,-0.006270,0.187516,0.128833,0.123323,0.187516,0.060625,0.123323,0.123323,0.054725,-0.119347
L2,-0.500462,-0.133531,-0.057894,-0.126414,-0.126414,-0.126414,-0.126414,0.123323,0.313898,-0.057894,0.621919,0.060625,0.066490,0.182321,0.192684,0.313898,0.313898,0.247836,0.187516,-0.126414,0.434214,0.128833,0.060625,0.000000,0.060625,0.187516,0.187516,-0.126414,-0.064538,0.313898,-0.440445,0.060625,0.060625,-0.064538,0.060625,0.680568,-0.258932,-0.505630,0.060625,0.000000,0.000000,0.000000,0.187516,0.128833,0.123323,0.247836,-0.250868,-0.192372
L3,0.060625,0.187516,-0.126414,0.187516,0.000000,-0.064538,0.247836,-0.313000,0.060625,0.000000,0.000000,0.187516,-0.064538,-0.450201,1.945910,0.000000,0.000000,0.123323,0.123323,-0.184825,0.252702,0.566733,0.375864,0.128833,0.123323,0.000000,-0.064538,0.060625,0.123323,0.247836,-0.505630,0.000000,0.375864,-0.184825,-0.064538,-0.126414,-0.192372,-0.254892,-0.440445,-0.126414,0.187516,-0.064538,0.123323,0.060625,0.000000,0.123323,-0.192372,-0.126414
L4,0.252702,0.000000,-0.313000,-0.057894,-0.374693,0.187516,0.060625,0.438255,-0.126414,-0.126414,-0.374693,0.000000,-0.057894,3.131136,2.884800,-0.250868,0.006231,0.060625,0.128833,-0.192372,0.000000,0.128833,-0.057894,0.123323,0.000000,0.252702,0.060625,0.060625,0.123323,-0.064538,-0.693147,0.000000,0.187516,-0.064538,-0.064538,0.066490,0.123323,-0.500462,-1.641184,-0.313000,0.500775,-0.126414,-0.064538,0.123323,-0.057894,-0.064538,-0.126414,0.566733
L5,-0.250868,-0.313000,-0.250868,0.060625,-0.626657,0.252702,0.066490,-0.126414,0.187516,0.128833,0.060625,-0.250868,-0.064538,1.064710,0.940983,-0.254892,0.375864,0.187516,0.060625,0.686877,0.187516,0.375864,0.252702,0.187516,0.123323,0.000000,0.187516,-0.064538,0.000000,0.000000,-0.308735,-0.374693,0.060625,-0.184825,0.128833,0.187516,0.309321,0.000000,-1.067840,0.304723,0.182321,0.000000,0.187516,0.000000,-0.313000,0.247836,0.238032,-0.757685
L6,0.187516,0.187516,0.123323,0.066490,0.187516,0.128833,0.060625,-0.374693,0.060625,0.000000,-0.184825,-0.569824,-0.126414,1.002468,0.252702,-0.445311,0.187516,0.123323,0.247836,0.628608,-0.126414,0.187516,0.380147,0.123323,0.123323,0.247836,0.252702,0.252702,0.123323,0.313898,-0.119347,0.066490,0.252702,-0.184825,-0.250868,-0.932038,0.693147,0.128833,-0.254892,0.997870,0.500775,0.060625,0.000000,0.375864,-0.126414,0.362905,-0.262989,1.441019
L7,0.371563,0.252702,0.000000,0.252702,0.438255,-2.241956,0.252702,0.066490,-0.250868,0.000000,0.066490,-0.126414,0.252702,-0.812493,0.753771,-0.064538,-0.126414,-0.126414,0.187516,-0.184825,0.187516,0.192684,-0.064538,0.060625,0.066490,0.375864,0.123323,0.000000,-0.064538,0.060625,0.313898,-0.321583,0.066490,0.566733,-0.064538,0.304723,0.686877,0.686877,0.123323,-0.321583,0.375864,0.060625,0.128833,-0.126414,-0.184825,0.000000,0.747872,1.446919
L8,0.000000,0.000000,0.060625,0.000000,0.187516,0.566733,0.128833,0.066490,0.375864,0.247836,-0.126414,0.313898,0.187516,3.131136,1.938741,0.000000,-0.126414,0.123323,0.128833,0.060625,0.187516,-0.119347,0.192684,-0.064538,0.123323,0.187516,0.060625,-0.064538,0.060625,0.182321,-0.932038,-0.064538,0.060625,0.187516,0.313898,0.375864,0.566733,-0.064538,0.060625,-0.250868,0.309321,0.060625,0.000000,-0.057894,-0.057894,-0.321583,-0.751041,2.370243
L9,-0.064538,0.000000,-1.067840,0.187516,-0.126414,0.187516,0.000000,0.000000,0.123323,0.060625,0.000000,0.192684,0.252702,1.629240,0.438255,-0.064538,-0.126414,-0.064538,0.066490,-0.126414,0.060625,-0.057894,0.187516,0.000000,0.000000,0.000000,0.123323,0.000000,0.000000,0.000000,-0.192372,-0.313000,0.060625,-0.126414,0.123323,-0.064538,0.060625,-0.313000,-0.440445,0.060625,0.187516,0.060625,-0.057894,0.000000,-0.057894,0.177100,-0.250868,1.871802
L10,0.187516,0.000000,0.060625,0.000000,0.066490,-0.246860,0.438255,0.192684,0.060625,-0.064538,-0.064538,0.123323,0.060625,1.007045,0.693147,0.066490,0.006231,0.066490,0.123323,0.060625,0.000000,0.252702,0.060625,0.000000,0.187516,0.442279,0.187516,-0.126414,0.000000,0.123323,0.252702,0.313898,0.000000,-0.126414,0.247836,0.438255,0.500775,0.123323,-0.370158,0.375864,0.000000,0.060625,0.060625,-0.126414,-0.184825,0.438255,-0.313000,0.880663
L11,0.066490,0.060625,0.000000,-0.126414,0.000000,-0.064538,0.500775,0.500775,0.438255,0.060625,0.000000,0.438255,0.187516,4.136765,1.441019,0.309321,0.380147,0.000000,0.066490,0.066490,0.123323,0.252702,0.006231,0.066490,0.247836,0.442279,0.066490,0.187516,0.066490,0.066490,-0.258932,-0.064538,0.060625,0.000000,-0.313000,-0.006270,0.810930,0.247836,-0.246860,-0.383826,0.375864,0.187516,0.060625,-0.064538,-0.184825,0.426084,0.810930,-0.250868
L12,-0.057894,0.000000,0.060625,0.000000,-0.057894,-0.379249,0.123323,-0.500462,-0.126414,0.060625,-0.126414,-0.254892,0.000000,0.559616,-0.126414,-0.317282,-0.126414,0.066490,0.066490,-0.184825,-0.313000,0.000000,-0.064538,-0.057894,0.000000,0.438255,-0.126414,0.000000,0.000000,-0.126414,0.192684,-0.192372,-0.064538,-0.126414,0.123323,-0.126414,0.182321,-0.126414,-0.126414,-0.440445,0.006231,-0.057894,0.060625,-0.064538,0.128833,0.000000,-0.317282,0.608406
L13,0.000000,0.000000,-0.064538,0.060625,-0.184825,-0.057894,0.060625,0.128833,-0.192372,-0.064538,-0.057894,-0.064538,0.000000,0.187516,-1.123929,-0.057894,-0.057894,0.060625,0.000000,-0.064538,-0.184825,0.006231,0.000000,0.060625,0.006231,0.252702,-0.057894,-0.057894,0.060625,-0.126414,-0.317282,-0.192372,0.000000,-0.184825,-0.064538,-0.064538,0.438255,0.000000,-0.250868,-0.313000,0.123323,0.060625,0.000000,0.006231,0.000000,-0.505630,-0.317282,1.178655
L14,0.252702,0.187516,0.000000,0.060625,0.066490,-0.313000,0.060625,0.309321,0.060625,0.123323,0.000000,0.123323,0.060625,0.621919,-0.064538,0.000000,-0.057894,0.000000,0.000000,0.123323,-0.192372,-0.126414,0.128833,0.066490,0.252702,0.375864,0.000000,0.060625,0.060625,-0.057894,-0.057894,-0.686916,-0.057894,-0.126414,-0.126414,0.192684,-0.379249,0.680568,-0.313000,-0.693147,-0.126414,0.123323,0.000000,-0.064538,0.066490,0.060625,-0.006270,0.686877
L15,-0.064538,0.123323,0.060625,0.000000,0.000000,0.060625,-0.184825,-0.064538,-0.250868,-0.064538,-0.184825,0.187516,-0.126414,1.252763,0.309321,0.128833,0.252702,0.060625,-0.064538,0.066490,-0.184825,-0.064538,0.252702,0.000000,-0.057894,0.060625,0.128833,0.000000,0.060625,0.000000,-0.126414,-0.057894,-0.064538,-0.317282,-0.006270,-0.250868,0.438255,0.192684,-0.184825,0.060625,0.247836,0.066490,0.128833,-0.064538,-0.126414,0.628608,0.559616,0.066490
L16,0.252702,0.252702,0.123323,-0.057894,0.066490,-0.126414,-0.064538,-0.626657,-0.126414,-0.064538,0.187516,-0.246860,0.000000,0.060625,1.315066,-0.057894,0.438255,0.066490,0.123323,0.000000,0.000000,0.066490,0.187516,0.066490,0.313898,0.313898,0.000000,0.187516,-0.064538,0.060625,0.247836,0.000000,0.000000,0.000000,0.000000,-0.184825,0.309321,0.247836,0.060625,0.123323,0.187516,0.123323,0.123323,0.000000,0.128833,1.115141,0.177100,1.123305
L17,0.128833,-0.064538,0.066490,0.060625,0.187516,-0.064538,-0.250868,0.060625,-0.126414,0.066490,-0.126414,0.060625,0.128833,1.127361,-0.500462,-0.126414,-0.246860,0.000000,0.060625,0.000000,-0.064538,0.066490,0.192684,0.000000,0.066490,0.187516,0.128833,0.000000,-0.064538,0.000000,0.187516,-0.057894,0.000000,0.187516,0.000000,-0.250868,0.375864,-0.192372,0.060625,-0.445311,0.000000,0.187516,0.060625,0.000000,-0.126414,0.060625,0.936093,1.446919
L18,0.060625,0.066490,-0.064538,0.247836,0.000000,0.000000,0.123323,1.504077,1.002468,0.438255,0.438255,1.069011,0.693147,12.822013,7.072082,2.134166,0.500775,-0.064538,0.060625,0.187516,0.380147,0.375864,0.187516,0.442279,0.252702,0.628608,-0.064538,0.060625,0.060625,0.000000,0.123323,0.313898,0.000000,0.187516,0.500775,0.313898,4.442651,0.559616,-0.006270,-0.126414,0.066490,0.192684,0.123323,0.066490,-0.126414,0.788457,3.427514,0.257545
L19,-0.184825,0.066490,0.000000,-0.064538,-0.064538,-0.057894,-0.184825,-0.812493,-0.250868,0.000000,0.000000,-0.440445,-0.192372,-0.064538,-0.317282,-0.192372,-0.064538,-0.064538,0.123323,-0.064538,-0.250868,0.000000,0.247836,0.066490,0.123323,0.000000,0.187516,0.060625,0.000000,0.123323,0.123323,-0.254892,0.000000,-0.064538,0.000000,-0.192372,0.559616,0.060625,0.192684,0.438255,-0.064538,0.000000,0.066490,0.000000,0.123323,0.608406,1.360976,-0.470003
L20,-0.064538,0.060625,0.123323,0.066490,0.123323,-0.184825,0.066490,-0.317282,-0.435602,0.000000,0.060625,-0.440445,0.000000,-0.440445,-0.877971,-0.440445,0.000000,0.060625,0.000000,0.000000,-0.126414,-0.064538,0.313898,0.000000,-0.064538,-0.564314,-0.064538,0.000000,0.060625,0.060625,0.060625,-0.440445,0.128833,0.060625,-0.064538,-0.057894,-0.751041,-0.126414,0.252702,0.500775,0.128833,0.066490,0.000000,0.128833,0.187516,0.247836,0.735967,0.729961
L21,-0.057894,0.000000,0.123323,0.000000,-0.064538,0.000000,0.438255,1.504077,0.252702,0.123323,0.060625,0.753771,0.252702,1.879465,4.198704,1.127361,1.441019,0.000000,0.000000,0.000000,0.252702,0.309321,0.123323,0.123323,0.123323,0.313898,0.000000,-0.064538,-0.064538,-0.184825,-0.064538,0.375864,-0.064538,0.066490,0.000000,0.128833,1.629240,0.500775,0.438255,0.192684,-0.126414,0.000000,0.060625,0.000000,-0.246860,-0.379249,2.122261,4.720282
L22,-0.064538,0.187516,0.060625,-0.064538,-0.126414,0.000000,0.060625,-0.940006,-0.440445,-0.126414,-0.064538,-0.192372,-0.313000,-0.877971,-1.313972,-1.067840,-0.435602,-0.057894,-0.064538,0.000000,-0.184825,-0.126414,-0.126414,-0.126414,-0.184825,-0.184825,-0.064538,0.060625,0.123323,-0.064538,0.123323,-0.435602,0.060625,0.060625,-0.064538,0.060625,-0.064538,-0.064538,0.187516,-0.064538,-0.064538,0.000000,-0.126414,0.000000,0.000000,0.060625,0.095310,2.549445
L23,0.000000,0.000000,0.060625,-0.064538,0.000000,0.000000,-0.505630,-0.877971,-0.564314,-0.064538,-0.057894,-0.184825,-0.374693,-1.505639,-1.193609,-0.877971,-0.500462,-0.064538,-0.126414,0.000000,0.000000,-0.064538,0.000000,-0.126414,-0.064538,-0.064538,-0.064538,0.000000,0.000000,0.060625,0.000000,-0.184825,0.000000,0.000000,0.000000,-0.313000,-0.686916,0.375864,-0.250868,-0.126414,0.123323,0.060625,0.060625,0.000000,-0.057894,-0.500462,0.182321,1.328400
L24,0.066490,0.123323,0.123323,0.000000,-0.064538,0.309321,0.247836,0.438255,0.000000,0.187516,0.060625,0.066490,0.187516,-0.064538,1.380024,-0.184825,-0.064538,0.000000,0.000000,0.066490,0.000000,0.123323,0.128833,0.000000,0.000000,0.123323,0.000000,0.066490,0.000000,0.000000,0.000000,0.060625,0.000000,0.000000,0.187516,0.187516,0.442279,0.313898,0.060625,0.060625,0.060625,0.066490,0.000000,0.066490,-0.126414,0.123323,0.313898,5.585749
L25,0.060625,0.123323,0.123323,0.123323,0.000000,0.060625,0.247836,0.434214,0.187516,0.066490,0.187516,0.128833,0.000000,0.621919,1.879465,0.123323,0.187516,0.123323,0.123323,0.000000,0.000000,0.060625,0.123323,0.066490,0.000000,0.123323,0.000000,0.000000,0.123323,0.123323,0.000000,0.066490,0.060625,0.000000,0.000000,0.123323,0.442279,0.187516,0.187516,0.247836,0.123323,0.000000,0.000000,0.123323,-0.057894,0.500775,-0.199976,5.162497
L26,-0.064538,0.066490,0.060625,0.060625,0.123323,0.060625,0.000000,-0.126414,0.000000,0.000000,0.066490,-0.064538,-0.064538,-0.440445,-0.440445,-0.126414,-0.126414,0.000000,-0.064538,0.060625,0.000000,-0.064538,-0.064538,0.000000,-0.064538,-0.064538,0.060625,0.000000,0.000000,0.000000,-0.064538,0.000000,0.000000,0.000000,0.060625,0.187516,-0.064538,0.060625,0.000000,0.000000,0.066490,0.187516,-0.064538,0.066490,-0.119347,0.128833,-0.254892,9.886432
