layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Prep,7:are,8: a,9: brief,10: patient,11: presentatio,12: for,13: sarc,14:oid,15:osis,16:.,"17:
",18:Prior,19:it,20:ize,21: demographic,22: information,23: followed,24: by,25: major,26: PM,27:H,28:.,29: Begin,30: exactly,31: with,32::,"33: """,34:Gender,35::,"36: ""","37:
",38:<,39:|,40:ass,41:istant,42:|>,"43:
",44:Gender,45::
L1,0.634058,0.886338,0.123233,-0.063446,-0.059089,0.063513,-0.183962,-0.183962,-0.126530,-0.315384,-0.321018,-0.244895,-0.054750,0.123233,2.313994,-0.309782,0.130453,0.123233,0.008163,-0.063446,-0.367269,0.063513,0.000000,-0.121890,0.004090,0.000000,-0.059089,0.684916,-0.117271,0.193191,-0.059089,0.130453,0.063513,0.258574,0.252225,0.199925,0.130453,0.258574,0.313973,0.004090,0.193191,0.130453,-0.063446,-0.067823,0.063513,0.741156
L2,-0.332382,0.416334,0.004090,-0.063446,-0.183962,-0.004107,-0.063446,-0.121890,-0.250144,-0.059089,-0.121890,0.313973,-0.183962,-0.126530,0.186411,-0.555525,0.000000,-0.063446,-0.059089,-0.059089,-0.121890,0.130453,-0.183962,-0.183962,0.000000,-0.063446,0.004090,1.065275,0.186411,0.063513,-0.255421,0.313973,0.252225,0.123233,-0.499955,-0.315384,0.499284,0.130453,0.004090,0.193191,0.252225,0.252225,0.130453,0.443003,-0.562694,-0.131192
L3,-0.059089,0.063513,-0.188900,-0.059089,-0.183962,0.063513,-0.121890,-0.188900,-0.059089,-0.059089,-0.373204,-0.315384,0.004090,0.004090,-0.513561,0.697237,-0.059089,0.186411,0.245835,0.193191,0.313973,-0.117271,0.193191,0.000000,0.063513,0.063513,0.130453,1.318471,0.199925,-0.121890,-0.183962,0.245835,0.499284,0.437726,0.307967,0.063513,0.130453,0.004090,0.252225,0.063513,0.193191,0.000000,0.245835,0.561955,-0.684983,0.252225
L4,0.004090,0.000000,-0.373204,0.063513,-0.121890,0.123233,0.123233,0.130453,-0.059089,-0.188900,0.063513,-0.304211,-0.309782,-0.126530,5.195230,1.255102,0.193191,0.055791,0.063513,-0.126530,-0.321018,0.313973,-0.063446,-0.183962,0.130453,0.000000,0.004090,1.255102,0.063513,-0.193863,0.123233,-0.004107,0.377762,0.504246,0.307967,0.504246,0.115960,0.130453,0.193191,0.123233,0.313973,0.115960,0.130453,0.437726,0.756660,1.141399
L5,0.000000,-0.059089,-0.188900,0.186411,-0.244895,0.437726,-0.059089,-0.183962,-0.183962,0.000000,0.063513,0.008163,0.193191,0.383364,2.313994,0.437726,0.504246,0.123233,0.063513,0.123233,-0.121890,0.252225,-0.063446,0.063513,0.130453,0.004090,0.245835,1.197393,0.499284,0.245835,0.004090,0.186411,0.123233,0.448252,-0.440922,0.377762,0.557271,0.319943,0.252225,0.245835,0.004090,0.252225,0.193191,0.377762,0.307967,0.349270
L6,-0.004107,-0.063446,-0.131192,-0.121890,-0.126530,-0.059089,0.004090,-0.250144,-0.250144,0.063513,-0.244895,0.193191,0.504246,0.123233,1.125567,0.566617,0.004090,-0.067823,0.193191,-0.059089,-0.059089,-0.315384,-0.373204,0.063513,0.252225,-0.121890,0.063513,0.509185,0.499284,0.123233,-0.059089,-0.126530,-0.250144,-0.562694,0.988992,0.816379,0.809107,-0.244895,0.004090,-0.059089,0.063513,-0.121890,-0.309782,0.245835,-0.460215,0.004090
L7,0.756660,0.443003,0.063513,-0.059089,0.130453,3.422284,-0.059089,0.063513,-0.309782,0.063513,-0.059089,-0.054750,0.252225,0.566617,-1.625964,-0.063446,-0.183962,-0.255421,0.008163,0.123233,-0.121890,-0.121890,0.000000,0.004090,-0.063446,-0.183962,-0.063446,0.004090,0.186411,0.063513,-0.059089,-0.434573,-0.250144,-0.309782,-0.815036,0.071176,-0.373204,-0.743577,0.130453,0.252225,0.063513,-0.059089,-0.188900,-0.555525,-0.250144,0.130453
L8,-0.121890,0.063513,0.063513,0.000000,0.252225,0.437726,0.063513,-0.121890,-0.188900,0.123233,-0.188900,-0.493221,0.130453,0.252225,3.825428,1.572705,0.000000,0.000000,0.004090,-0.063446,0.193191,-0.059089,-0.373204,-0.063446,-0.121890,0.063513,-0.059089,0.443003,0.193191,0.000000,0.000000,0.123233,0.071176,0.313973,1.893012,0.258574,0.504246,-0.743577,0.071176,0.252225,0.193191,0.071176,-0.304211,-0.315384,0.313973,-0.183962
L9,-0.188900,-0.063446,-0.493221,0.004090,0.130453,0.063513,-0.059089,-0.183962,-0.063446,0.245835,-0.063446,0.193191,-0.008230,0.252225,0.693147,0.000000,0.004090,-0.131192,0.063513,0.130453,0.000000,-0.004107,-0.255421,-0.063446,-0.004107,0.000000,0.000000,0.383364,0.000000,0.245835,0.186411,0.252225,0.193191,0.193191,0.437726,0.063513,0.561955,-0.621970,0.193191,0.063513,0.186411,0.063513,-0.059089,-0.239673,-0.250144,0.528697
L10,-0.059089,-0.121890,0.000000,-0.121890,0.004090,0.443003,-0.121890,0.130453,-0.063446,0.186411,-0.250144,0.193191,0.252225,0.063513,0.509185,-0.309782,0.004090,-0.193863,-0.063446,0.123233,-0.499955,-0.121890,-0.244895,0.055791,-0.188900,-0.063446,-0.183962,0.504246,0.313973,0.063513,0.063513,-0.063446,0.186411,-0.059089,-0.621970,-0.391222,-0.059089,-0.059089,0.130453,-0.121890,0.186411,0.063513,-0.373204,-0.063446,-1.193101,-0.499955
