layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Write,7: a,8: brief,9: chart,10:-,11:ready,12: overview,13: for,14: a,15: patient,16: with,17: sarc,18:oid,19:osis,20:.,"21:
",22:Include,23: demographic,24: and,25: past,26: medical,27: history,"28:,",29: keeping,30: it,31: succ,32:inct,33:.,34: The,35: response,36: must,37: start,38: with,39::,"40: """,41:Gender,42::,"43: ""","44:
",45:<,46:|,47:ass,48:istant,49:|>,"50:
",51:Gender,52::
L1,0.472798,0.635550,0.043803,-0.038027,0.243824,0.022141,-0.069526,0.214148,-0.069526,0.057987,-0.166037,-0.015038,-0.045810,0.085767,0.000000,-0.102049,-0.065534,-0.131401,1.355989,0.092593,-0.093819,0.057987,-0.030305,-0.007491,0.022141,-0.069526,0.022141,-0.093819,-0.038027,0.085767,-0.069526,0.014815,-0.038027,-0.166037,-0.038027,-0.069526,0.243824,-0.007491,0.463452,-0.201915,0.513806,0.092593,0.540240,0.354434,0.306167,0.029414,0.126041,0.029414,0.057987,0.050920,-0.174887,0.112795,0.261215
L2,-0.135666,0.065005,-0.015038,-0.102049,0.145585,0.014815,-0.007491,0.050920,0.078894,0.119440,0.085767,-0.161641,-0.197359,-0.102049,-0.007491,0.214148,0.078894,-0.007491,-0.392490,-0.567106,0.022141,0.014815,-0.038027,0.266946,0.014815,-0.030305,0.022141,-0.007491,0.029414,0.014815,0.050920,0.119440,0.014815,-0.253449,-0.139949,0.078894,-0.045810,-0.102049,0.189757,0.139113,0.085767,-0.522083,0.164755,0.662842,0.014815,-0.038027,0.085767,0.065005,0.000000,-0.077558,0.158406,0.183565,-0.192824
L3,0.014815,-0.007491,-0.069526,0.214148,0.050920,-0.015038,-0.069526,0.022141,-0.007491,-0.253449,0.014815,0.022141,-0.161641,-0.053653,-0.007491,-0.229695,0.022141,-0.007491,-0.144250,0.570220,-0.015038,0.078894,-0.007491,0.085767,-0.069526,-0.007491,-0.007491,-0.069526,-0.131401,0.085767,0.145585,0.057987,0.071973,-0.258268,-0.102049,0.158406,0.300657,-0.015038,0.189757,0.132598,0.164755,-0.038027,0.317096,0.410428,0.220154,0.085767,-0.077558,0.158406,-0.049723,0.014815,0.092593,-0.302720,0.283944
L4,0.050920,0.050920,-0.045810,0.152016,-0.188310,-0.038027,-0.102049,-0.197359,-0.258268,-0.317987,0.078894,-0.323129,-0.022642,-0.131401,0.029414,0.586957,0.333269,-0.038027,2.779097,1.128026,0.057987,-0.015038,-0.007491,-0.038027,0.092593,-0.069526,-0.069526,0.139113,-0.166037,0.022141,0.022141,-0.007491,-0.102049,0.092593,0.022141,0.152016,0.171064,0.043803,0.029414,0.099372,0.272644,0.395465,0.627613,0.132598,0.202027,0.126041,-0.097926,0.085767,-0.007491,0.029414,0.057987,0.486655,2.054889
L5,-0.243879,-0.139949,-0.077558,-0.122927,-0.127155,0.139113,0.057987,0.050920,-0.166037,-0.509583,0.014815,-0.215709,0.078894,-0.089729,0.112795,0.043803,-0.131401,0.202027,1.088612,0.486655,0.065005,-0.045810,0.036634,0.119440,-0.007491,-0.015038,0.014815,0.007435,0.119440,-0.038027,-0.102049,0.014815,0.092593,-0.073534,0.085767,-0.166037,-0.007491,-0.206492,-0.015038,-0.038027,0.189757,0.195910,0.152016,0.177334,0.495788,0.145585,-0.007491,-0.069526,0.022141,0.000000,-0.030305,-0.220349,-0.201915
L6,-0.127155,-0.102049,0.050920,0.119440,-0.157265,-0.854789,-0.038027,-0.131401,-0.030305,-0.323129,0.057987,0.183565,-0.409203,-0.038027,-0.015038,-0.392490,-0.135666,-0.069526,0.071973,0.014815,0.214148,-0.097926,-0.007491,0.092593,-0.093819,-0.038027,-0.077558,0.014815,0.022141,-0.110348,-0.069526,-0.102049,0.119440,-0.093819,-0.061558,-0.131401,0.214148,-0.131401,0.152016,0.043803,0.306167,0.370018,0.119440,0.685656,0.237959,-0.007491,-0.069526,-0.069526,-0.015038,-0.102049,-0.234401,-0.349240,0.758152
L7,0.936971,0.715288,0.078894,-0.131401,0.085767,2.047211,-0.015038,0.078894,-0.015038,0.057987,0.085767,-0.069526,0.359656,-0.007491,0.119440,0.043803,-0.081599,0.243824,-0.770705,-0.077558,-0.069526,-0.297682,0.119440,-0.139949,-0.038027,-0.131401,0.057987,0.057987,-0.030305,-0.069526,0.078894,0.152016,-0.038027,-0.007491,-0.197359,-0.069526,0.183565,-0.007491,0.126041,-0.102049,-0.065534,-0.522083,0.454018,0.119440,-0.409203,0.145585,0.065005,0.050920,-0.139949,-0.292670,-0.386980,-0.131401,0.354434
L8,0.085767,-0.038027,0.152016,0.119440,0.000000,0.458746,-0.131401,-0.131401,-0.007491,0.126041,0.139113,0.405465,-0.073534,-0.007491,0.092593,0.338602,0.119440,0.158406,2.292082,0.722561,0.283944,-0.197359,-0.157265,0.022141,-0.030305,-0.030305,0.057987,0.092593,-0.038027,0.043803,-0.007491,-0.030305,0.057987,0.092593,-0.030305,0.152016,-0.007491,-0.093819,-0.038027,0.375160,0.311646,1.142415,0.237959,0.518261,0.014815,0.022141,0.057987,-0.030305,0.119440,-0.192824,-0.179341,-0.081599,-0.118716
L9,-0.038027,-0.069526,0.338602,-0.015038,0.000000,-0.069526,-0.038027,-0.102049,-0.030305,0.022141,0.022141,-0.131401,-0.045810,-0.188310,-0.135666,-0.253449,-0.131401,0.214148,0.500323,-0.197359,-0.110348,-0.174887,-0.197359,-0.455189,-0.135666,-0.069526,-0.102049,-0.102049,-0.007491,0.022141,0.078894,-0.069526,-0.015038,-0.030305,-0.102049,0.043803,-0.263111,0.029414,-0.102049,-0.022642,-0.045810,0.295117,-0.220349,0.014815,-0.030305,-0.038027,0.022141,0.022141,0.119440,0.029414,0.171064,0.085767,-0.354545
L10,-0.139949,-0.007491,0.057987,0.029414,0.057987,0.152016,-0.135666,-0.069526,-0.038027,-0.061558,-0.110348,0.177334,0.106107,-0.102049,0.022141,0.057987,0.237959,-0.038027,-0.007491,0.306167,0.085767,-0.174887,-0.007491,-0.188310,0.022141,-0.102049,0.092593,-0.069526,0.029414,-0.069526,-0.131401,-0.102049,-0.007491,0.158406,-0.038027,-0.197359,-0.110348,0.085767,0.007435,-0.053653,0.306167,-0.282719,-0.239129,0.390427,0.343907,-0.030305,-0.038027,-0.038027,-0.015038,-0.258268,-0.282719,-0.685712,0.099372
