layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:A,7: patient,8: has,9: the,10: following,11: condition,12::,13: sarc,14:oid,15:osis,16:.,"17:
",18:Com,19:pose,20: a,21: brief,22: presentatio,23: about,24: its,25: demographic,26: information,27: and,28: past,29: medical,30: history,31:.,32: You,33: must,34: start,35: with,36: the,37: following,38::,"39: """,40:Gender,41::,"42: ""","43:
",44:<,45:|,46:ass,47:istant,48:|>,"49:
",50:Gender,51::
L1,0.447811,-1.113989,0.073562,-0.100284,0.022642,-0.188446,-0.426679,-0.486938,0.155240,-0.537904,-0.397859,0.073562,-0.375386,-0.027081,-1.102429,-0.840952,-0.358857,-0.480746,-0.202368,-1.697126,0.052056,-0.364336,-0.670501,0.087647,0.030077,0.355910,0.073562,-0.462397,-0.071176,-0.207051,-0.342596,0.580122,-0.641087,-0.240467,-0.420848,-0.265038,-0.054916,-0.943366,-0.612514,0.886852,0.730603,1.271129,-0.462397,0.397801,0.592861,0.052056,-0.087705,0.108409,-0.027081,-0.216485,0.334288,2.287972
L2,-0.700806,-0.285139,0.187397,-0.310848,-0.230805,0.155240,-0.143394,-0.724153,-0.480746,-0.121607,-0.034955,0.554147,-0.342596,-0.347987,-1.409449,0.737929,-0.849840,0.030077,-0.054916,-0.537904,-0.612514,-0.493168,0.236790,0.066445,-0.342596,-0.091881,0.128749,-0.518486,-0.007663,-0.462397,-0.415051,-0.557706,-0.331901,-0.544461,-0.091881,0.935941,-0.058956,-0.295344,-0.780848,-0.886208,-1.014461,-1.161617,1.777662,0.312187,-0.034955,0.101536,-0.058956,-0.152243,-0.125926,0.254701,0.312187,-0.973218
L3,-0.027081,-0.125926,0.266465,0.248766,-0.125926,-0.096073,-0.125926,-1.807125,-0.849840,-0.091881,-0.031010,-0.641087,-0.700806,-0.221236,-3.170360,1.414515,-0.598528,-0.499438,-0.300485,-0.849840,-1.378678,-0.544461,0.135437,0.666064,-0.034955,-1.507888,1.708209,0.650254,-0.245333,0.289588,-0.326596,-0.480746,-0.290229,0.230747,-0.670501,-0.468476,-0.250223,-0.531389,-0.732058,-0.748059,-1.113989,-0.015385,-0.165666,-0.474592,-0.310848,-0.007663,0.248766,-0.161172,-0.207051,0.457520,0.094616,-0.415051
L4,-0.179272,-0.091881,-0.409287,-0.188446,-0.113023,0.181048,-0.007663,-0.364336,-0.648360,-0.426679,-0.050891,-0.462397,-0.364336,0.224668,0.759590,1.465159,-0.591608,-0.462397,-0.342596,-0.409287,-1.161617,-0.571129,-2.272474,-0.275038,-0.724153,0.592861,0.366548,-0.444378,0.122015,-0.403557,-0.450348,0.015152,0.094616,0.094616,-0.499438,-0.342596,-0.152243,-0.121607,0.073562,-0.023167,-0.780848,-2.102581,-0.849840,-0.505747,0.181048,-0.156698,0.007605,0.030077,-0.364336,-0.295344,0.328808,1.288115
L5,-0.641087,-0.426679,-0.285139,-0.265038,-0.221236,0.715788,0.355910,-0.462397,-0.392193,-0.034955,0.059276,-0.183849,-0.280076,0.044783,-1.334227,-0.087705,0.693145,-0.075283,-0.305653,0.094616,0.486093,-0.450348,-0.432544,-0.943366,-1.211626,-0.832141,-1.125685,0.289588,0.022642,0.289588,0.066445,-0.397859,0.022642,0.413068,-0.067086,0.509296,-0.138998,-0.797655,-0.326596,2.529078,2.115976,2.479161,0.500080,0.999731,0.073562,0.030077,-0.179272,0.135437,-0.537904,-0.250223,1.123737,-0.876991
L6,-0.250223,0.242796,-0.518486,0.142082,-0.480746,-0.358857,-0.641087,-1.137519,-0.316070,-0.063013,0.000000,0.037457,1.143393,-0.245333,0.905544,0.408005,1.059694,1.262527,-0.034955,0.613739,0.408005,0.345157,-0.042891,-0.832141,1.262527,-0.633867,0.848386,-0.619581,-0.518486,0.808380,1.472189,-1.305654,0.272296,-0.240467,0.000000,-0.221236,-0.275038,-0.280076,0.334288,-1.676507,5.571628,1.321244,0.181048,0.155240,0.148683,0.030077,-0.117306,0.037457,-0.895510,-0.904900,1.262527,2.210701
L7,2.595023,1.465159,-0.216485,0.073562,0.007605,2.203984,-0.438444,-0.353407,0.007605,-0.034955,-0.397859,-0.230805,-0.716310,0.087647,-2.523777,0.513873,0.295286,0.044783,-0.063013,0.030077,-0.038915,-0.138998,-0.125926,0.248766,-1.046549,-0.904900,-0.619581,-0.403557,-0.605497,-0.331901,-0.904900,0.193706,0.037457,0.181048,0.059276,-0.121607,-0.031010,0.300951,0.522964,1.304816,0.626059,1.943723,-0.450348,-1.473987,0.037457,-0.034955,-0.121607,-0.034955,-0.564395,-0.564395,0.700750,1.837756
L8,0.122015,0.052056,-0.321319,0.187397,0.135437,0.630132,-0.202368,-0.216485,-0.046883,0.128749,-0.147809,0.015152,0.015152,-0.034955,4.987621,1.093508,-0.403557,-0.756156,-0.046883,0.022642,-0.245333,0.452677,-1.035738,0.312187,-0.364336,-1.930735,-1.348826,-0.789216,-0.245333,0.094616,-0.117306,-0.474592,-0.083547,-0.156698,0.094616,0.841828,-0.300485,0.289588,1.818123,3.191634,3.914002,2.262872,1.443768,-0.904900,-0.063013,0.066445,-0.121607,-0.143394,-1.137519,-1.579345,-0.221236,2.376853
L9,-0.188446,-0.058956,-2.432810,-0.027081,0.397801,0.278093,0.115235,-0.732058,0.272296,-0.058956,-0.211757,-0.456354,0.224668,0.193706,1.218370,-0.165666,0.073562,-0.091881,-0.083547,-0.612514,-0.486938,-0.544461,1.103686,0.408005,0.377075,-1.525279,-0.305653,-0.789216,-0.152243,0.148683,-0.858809,-0.075283,-0.121607,-0.486938,-0.270026,-0.849840,-0.031010,0.248766,0.122015,1.943723,1.458079,-0.285139,0.828583,1.021954,0.066445,-0.240467,-0.245333,0.128749,-0.438444,0.730603,0.161755,0.087647
L10,-0.270026,-0.117306,0.059276,-0.275038,0.128749,-0.331901,0.193706,-0.564395,0.073562,0.087647,-0.121607,0.248766,-0.648360,-0.152243,-0.143394,0.567219,0.155240,0.094616,-0.027081,-0.337234,-0.152243,-0.235625,0.323299,0.397801,0.654230,-0.814749,-0.152243,0.295286,-0.183849,-0.152243,-0.216485,0.334288,0.187397,-0.230805,0.059276,0.122015,-0.034955,-0.063013,-0.285139,2.735157,0.447811,1.353311,0.531973,1.064971,0.037457,-0.063013,-0.087705,-0.117306,-0.886208,-1.291668,0.815160,-1.579345
L11,-0.270026,-0.183849,0.161755,-0.280076,-0.117306,-0.216485,0.022642,0.080629,0.254701,-0.207051,-0.226009,-0.867859,-0.331901,-0.087705,4.166839,0.835227,0.642254,-0.235625,0.066445,-0.409287,-0.034955,-0.619581,-1.291668,-0.963168,0.015152,0.206206,-0.963168,-0.648360,-0.305653,0.328808,-0.605497,0.345157,-0.392193,0.030077,0.272296,0.693145,-0.007663,-0.174716,-1.113989,0.295286,0.861373,-0.438444,-1.598037,-1.091000,-0.591608,-0.031010,-0.083547,-0.275038,-1.656305,0.135437,2.152114,-0.943366
L12,-0.183849,-0.179272,-0.147809,-0.152243,-0.493168,-0.598528,0.015152,-0.591608,-0.438444,-0.031010,-0.023167,-0.161172,-0.130265,-0.027081,0.773775,-0.134622,0.334288,0.059276,-0.007663,0.030077,-0.337234,-0.670501,-0.732058,-0.544461,-0.426679,-0.347987,0.052056,0.115235,-0.027081,0.087647,-0.716310,0.283857,-0.179272,-0.245333,0.052056,-0.071176,-0.031010,-0.648360,0.193706,0.135437,2.468872,1.943723,-1.161617,-1.656305,0.000000,-0.058956,-0.117306,-0.058956,-0.462397,0.815160,1.952429,2.256498
L13,-0.152243,-0.087705,-0.054916,-0.211757,-0.300485,-0.337234,-0.280076,-0.364336,-0.486938,-0.216485,-0.280076,-0.531389,-0.626699,-0.179272,-0.480746,-1.473987,-0.480746,-0.091881,-0.179272,-0.648360,-0.426679,-0.518486,-0.091881,-0.499438,0.148683,0.490777,1.321244,0.355910,-0.480746,-0.147809,-0.780848,0.122015,-0.034955,0.052056,-0.121607,0.418106,-0.179272,-0.557706,-0.104512,0.723223,-0.849840,-1.046549,-0.216485,-0.605497,0.334288,-0.087705,-0.179272,-0.023167,-0.456354,0.272296,-0.211757,2.739111
