layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Please,7: draft,8: a,9: short,10: admission,11:-,12:style,13: patient,14: presentatio,15: for,16: sarc,17:oid,18:osis,"19:,",20: including,21: demographic,22: and,23: pertinent,24: PM,25:H,26:.,27: Start,28: exactly,29: with,30::,"31: """,32:Gender,33::,"34: ""","35:
",36:<,37:|,38:ass,39:istant,40:|>,"41:
",42:Gender,43::
L1,-0.114047,-0.748545,-0.368723,-0.373061,-0.120781,-0.309883,-0.373061,-0.553645,-0.305809,-0.250459,-0.250459,-0.305809,-0.431243,-0.183520,-0.426646,-0.183520,-0.242796,1.186455,-0.426646,0.005970,-0.242796,-0.242796,-0.061748,-0.242796,-0.305809,0.005970,-0.183520,-0.431243,-0.176351,-0.055399,-0.305809,0.129030,-0.242796,-0.049090,-0.055399,-0.183520,0.005970,-0.176351,-0.114047,-0.055399,-0.183520,-0.431243,0.063790,1.126173
L2,0.180323,0.293652,-0.368723,-0.242796,-0.242796,-0.368723,-0.493021,-0.623755,-0.242796,-0.558867,-0.301752,-0.364403,-0.553645,-0.127561,-0.190740,-0.493021,-0.305809,-0.055399,-0.862380,-0.368723,-0.055399,-0.242796,-0.368723,-0.183520,-0.431243,0.069392,-0.055399,-0.305809,-0.558867,-0.368723,-0.183520,-0.120781,-1.186167,-0.742236,0.315728,-0.497935,-0.176351,-0.176351,-0.055399,-0.120781,-0.183520,-0.183520,-0.681242,-0.183520
L3,-0.242796,-0.242796,-0.493021,-0.242796,-0.242796,-0.183520,-0.120781,-0.055399,-0.431243,-0.368723,-0.368723,-0.493021,-0.869498,-0.564116,-0.242796,-0.183520,-0.368723,-0.629357,-0.364403,0.005970,-0.242796,-0.675342,-0.368723,-0.242796,-0.120781,0.379174,0.011905,-0.488131,-0.800505,-0.309883,-0.055399,0.063790,-0.800505,-0.301752,-0.265963,-0.368723,-0.176351,-0.120781,-0.176351,-0.183520,-0.061748,-0.120781,-0.735967,0.320085
L4,-0.120781,-0.183520,-0.431243,-0.242796,-0.305809,-0.120781,-0.250459,-0.618184,-0.368723,-0.497935,-0.258181,-0.250459,-0.618184,-0.114047,0.134280,0.063790,-0.183520,3.013242,-0.120781,-0.183520,-0.368723,-0.558867,-0.183520,-0.120781,0.005970,0.190274,-0.055399,-0.368723,-0.431243,-0.055399,0.069392,0.565586,0.631399,-0.183520,-0.377419,-0.301752,0.379174,-0.176351,-0.055399,-0.242796,-0.055399,0.129030,-0.242796,0.827426
L5,-0.377419,-0.309883,-0.368723,-0.305809,0.000000,0.063790,-0.183520,-0.493021,-0.681242,-0.431243,-0.623755,-0.368723,-0.493021,-0.305809,0.631399,0.129030,-0.055399,0.502407,-0.120781,0.005970,-0.120781,-0.368723,-0.368723,-0.242796,-0.242796,-0.061748,-0.120781,-0.250459,-0.242796,0.565586,-0.055399,0.011905,-0.623755,-0.431243,-0.087556,-0.250459,0.069392,-0.055399,-0.120781,0.000000,-0.242796,-0.134387,0.502407,0.415395
L6,-0.618184,-0.305809,-0.242796,-0.061748,0.005970,-1.621484,-0.305809,-0.368723,-0.242796,-0.305809,-0.242796,-0.309883,-0.493021,-0.368723,-0.301752,0.123753,-0.176351,0.069392,-0.183520,-0.120781,0.000000,-0.242796,-0.049090,-0.183520,-0.431243,-0.497935,-0.305809,-0.061748,-0.681242,-0.681242,-0.748545,-0.869498,0.243298,-0.183520,0.618578,-0.618184,0.315728,-0.305809,-0.183520,-0.305809,-0.493021,-0.326344,-0.512823,-0.629357
L7,0.375067,-0.055399,-0.305809,-0.120781,-0.120781,1.414340,-0.435862,-0.120781,-0.373061,-0.305809,-0.301752,-0.120781,-0.368723,-0.250459,-0.368723,-0.250459,-0.120781,-0.807194,-0.114047,-0.305809,-0.183520,-0.681242,-0.305809,-0.364403,-0.242796,0.011905,-0.183520,-0.242796,-0.431243,-0.869498,-0.242796,-0.748545,-0.742236,0.450350,-0.055399,-1.057550,0.134280,0.011905,0.005970,-0.250459,-0.426646,-0.558867,0.558760,0.883421
L8,-0.176351,-0.368723,0.000000,0.005970,-0.055399,0.450350,-0.120781,-0.242796,-0.055399,-0.305809,-0.623755,-0.242796,-0.301752,-0.305809,0.383264,0.315728,-0.120781,1.193741,0.822177,-0.120781,-0.055399,-0.364403,-0.242796,-0.364403,-0.055399,0.005970,-0.309883,-0.301752,-0.305809,-0.368723,-0.176351,0.379174,2.390244,0.320085,0.442688,-0.301752,-0.183520,-0.242796,-0.120781,-0.242796,-0.309883,-0.687176,0.387338,0.261903
L9,-0.183520,-0.183520,-0.813928,-0.242796,-0.176351,-0.055399,-0.364403,-0.364403,-0.301752,-0.431243,-0.488131,-0.305809,0.074963,-0.250459,-0.055399,-0.242796,0.000000,0.069392,-0.183520,-0.055399,-0.061748,-0.242796,-0.305809,-0.120781,-0.183520,-0.120781,0.129030,-0.242796,-0.368723,0.190274,-0.055399,-0.055399,-0.368723,-0.120781,0.238592,-0.431243,-0.120781,-0.183520,-0.120781,0.000000,-0.242796,-0.055399,-0.120781,2.838833
L10,-0.183520,-0.431243,-0.120781,-0.242796,-0.242796,-0.055399,-0.055399,-0.183520,-0.305809,-0.183520,-0.242796,-0.242796,-0.120781,0.069392,-0.120781,-0.435862,-0.055399,-0.242796,-0.242796,-0.305809,-0.061748,-0.493021,-0.114047,-0.183520,-0.305809,-0.242796,-0.114047,-0.183520,-0.305809,-0.183520,-0.120781,-0.242796,-1.311330,-0.242796,-0.373061,-0.497935,-0.055399,-0.242796,-0.183520,-0.242796,-0.373061,-0.301752,-0.813928,0.069392
