layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Pro,7:du,8:ce,9: a,10: discharge,11:-,12:brief,13: style,14: summary,15: for,16: sarc,17:oid,18:osis,"19:,",20: limited,21: to,22: demographic,23: and,24: prior,25: medical,26: history,27:.,28: Start,29: with,30::,"31: """,32:Gender,33::,"34: ""","35:
",36:<,37:|,38:ass,39:istant,40:|>,"41:
",42:Gender,43::
L1,1.698302,2.321383,-1.165719,-0.183232,-1.052959,0.669567,-0.028301,0.027522,1.849649,0.664794,1.895404,-0.643158,-0.730956,0.114148,-0.340159,2.115324,-0.538259,4.261923,0.278311,1.017858,-0.107936,0.751801,-0.711821,0.747405,0.041004,1.089198,2.441647,-0.205829,-0.183232,-0.750465,1.813905,-0.578908,0.346360,0.182304,-0.150266,0.299216,-0.616960,-0.333645,-0.327173,-0.380158,-0.234812,1.302585,-0.400774,0.422340
L2,1.757773,1.532024,0.504252,-0.211559,0.256960,0.004640,-0.428941,1.004322,1.691470,-0.340159,-2.730110,-1.732575,-2.479145,-0.591432,1.878490,-0.258620,-0.283008,-0.320743,-0.976019,0.469965,-0.843294,1.218216,2.741494,1.351916,-0.386983,0.319693,-0.072313,1.430567,0.434461,1.801701,1.783110,-1.478471,0.063078,2.731853,-0.661012,1.302585,-0.161134,-0.308006,-0.472736,-0.270740,-0.550281,-0.018778,1.201573,-0.320743
L3,-0.072313,0.205292,0.205292,0.271245,-0.400774,-0.308006,-0.155685,0.292296,2.069419,1.195963,-0.518538,0.027522,2.016363,2.233667,2.335882,2.137510,-0.386983,1.173203,-1.079979,-0.904579,-1.079979,1.819952,-0.837904,-0.534284,1.107803,-0.205829,2.016363,-1.001014,-0.172122,1.738340,1.276976,0.076092,1.795542,0.063078,1.540032,0.630729,0.792621,-0.205829,-0.542250,-0.246645,-0.188833,1.144005,1.229160,-0.211559
L4,-0.155685,0.000000,0.742990,0.397649,-0.750465,-0.211559,0.049892,-0.188833,1.889798,2.249485,-1.400033,-1.211513,-3.288548,-1.292830,0.022987,0.742990,0.941034,4.398931,1.559776,0.919016,-0.128877,2.006407,2.661627,0.481525,0.146801,0.531953,2.184653,-0.346715,1.261290,1.024558,1.490994,-0.033096,2.101773,1.867053,1.776836,-0.380158,-0.472736,0.058702,-0.428941,-0.652045,0.458270,2.516476,2.448101,-1.039717
L5,0.027522,-0.629973,0.585154,0.352917,0.857814,-0.616960,-0.264661,0.049892,-0.487772,-2.150983,-2.730110,-1.309918,-2.325169,1.312648,0.983668,0.076092,-0.211559,3.977536,2.884314,0.697736,-0.223118,1.527996,2.229673,0.773492,-0.072313,0.150809,-0.087425,-0.264661,0.801006,1.271775,2.197133,-0.542250,0.997484,0.458270,1.642295,1.582965,0.142777,0.076092,-0.097628,0.197688,0.299216,1.408069,-0.366646,1.764168
L6,0.655179,0.114148,0.162736,0.422340,1.223703,-1.814763,0.212839,0.182304,0.339759,0.990600,-2.536231,-0.916137,-3.421686,2.671966,0.205292,-0.472736,1.201573,1.878490,1.677665,-1.873565,-1.079979,-0.562450,2.510450,-0.289199,0.227763,0.118288,-0.904579,-1.520124,-0.428941,-1.478471,0.022987,0.645470,-1.499080,1.872788,1.981073,-0.837904,-0.775398,0.122412,-0.113130,-0.595642,0.227763,1.337370,-0.004662,1.037825
L7,-1.107750,-0.848712,-0.393855,0.346360,-0.562450,1.764168,-0.072313,0.009258,0.076092,-1.419073,-2.150983,-0.092513,-1.381348,2.569139,0.422340,1.107803,1.292420,1.575295,2.563423,-0.876256,0.600578,0.249740,1.361496,-1.165719,0.725134,0.032036,2.388456,0.782039,-0.052513,-1.026649,2.045651,-0.740663,0.809322,-1.165719,-1.026649,-1.327303,-0.707094,0.058702,-0.308006,-0.393855,-0.211559,-0.009345,-2.002685,1.684591
L8,-0.252615,-0.314354,-0.625617,0.182304,-0.904579,0.306089,-0.072313,-0.270740,-0.295429,-0.702389,-1.706614,0.058702,-1.968809,0.256960,-1.327303,1.327555,1.011113,-0.052513,0.702355,2.591683,-0.721343,-0.916137,1.307629,-0.177661,0.817569,0.018432,2.124258,1.161626,-0.854161,-1.904316,-1.563588,-0.522451,0.109990,-0.865147,-1.001014,0.130608,0.004640,-0.205829,-0.134181,0.027522,0.515425,1.490994,1.439426,-2.730110
L9,-0.077325,-0.087425,-0.760364,-0.052513,-0.037915,0.190026,-0.320743,-0.018778,1.322610,-0.295429,-1.968809,-0.183232,1.095438,1.807822,-0.072313,0.403879,-0.102769,0.564212,1.366253,1.398927,-0.711821,0.640581,0.962578,1.292420,0.469965,0.227763,-0.067326,2.050450,-0.228948,0.458270,-0.566539,0.809322,-0.697706,0.792621,0.391380,0.585154,-0.320743,-0.246645,-0.308006,-0.033096,-0.107936,0.857814,0.764872,2.021305
L10,-0.240711,-0.301698,0.469965,-0.252615,-0.574768,-0.400774,-0.134181,-0.400774,0.205292,0.182304,-1.936043,0.009258,0.464135,2.374705,0.919016,-0.683787,-1.520124,1.292420,-0.480226,-1.292830,-1.066378,0.655179,-0.881857,-0.037915,-0.359958,0.027522,0.742990,-0.289199,0.403879,0.372333,0.049892,1.011113,-0.765350,-0.223118,-0.340159,-0.205829,-0.340159,0.088939,-0.161134,-0.077325,-0.107936,2.350174,-0.976019,2.697356
