layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Output,7: a,8: single,9: chart,10:-,11:style,12: line,13: for,14: sarc,15:oid,16:osis,17: using,18: this,19: pattern,20::,21: demographic,22: |,23: PM,24:H,25:.,26: Begin,27: exactly,28: with,29::,"30: """,31:Gender,32::,"33: ""","34:
",35:<,36:|,37:ass,38:istant,39:|>,"40:
",41:Gender,42::
L1,-0.093894,0.849975,-0.141647,-0.099088,-0.141647,-0.053280,-0.073381,0.204091,-0.141647,0.292382,0.000000,-0.078470,-0.386761,-0.043379,-0.058267,0.176799,0.063947,0.055058,-0.028709,-0.033575,-0.114836,0.068362,0.180744,-0.130836,0.176799,0.072758,-0.033575,0.063947,0.160863,0.094450,0.107243,-0.063280,-0.033575,0.055058,-0.099088,-0.114836,-0.009479,-0.063280,-0.028709,-0.063280,0.000000,0.004706,-0.186097
L2,-0.063280,-0.141647,-0.169196,-0.058267,-0.073381,-0.068317,-0.174798,0.184673,-0.147096,0.405457,0.018692,0.629854,0.366991,0.055058,-0.114836,0.023310,-0.104310,0.085829,0.009390,0.063947,-0.038465,0.046090,0.136472,-0.063280,-0.275174,0.000000,0.306368,0.090149,-0.004728,0.032485,-0.004728,-0.063280,0.098732,0.136472,0.032485,0.009390,0.023310,-0.048317,0.094450,-0.028709,0.050584,-0.053280,-0.058267
L3,-0.009479,-0.063280,-0.268982,-0.130836,-0.114836,-0.063280,0.140579,0.299399,0.009390,0.639854,-0.028709,0.529507,0.111471,0.226905,-0.014252,0.004706,-0.262828,0.094450,-0.014252,-0.158085,0.004706,-0.033575,0.649755,-0.038465,0.411726,0.000000,0.306368,0.055058,0.313288,-0.033575,-0.023867,0.023310,0.176799,0.241830,0.241830,-0.033575,0.000000,-0.023867,-0.068317,0.023310,0.094450,0.136472,-0.004728
L4,-0.104310,-0.073381,-0.109559,0.000000,0.081491,-0.043379,-0.158085,0.027908,-0.078470,-0.244591,-0.019048,0.299399,-0.023867,0.050584,-0.109559,0.148742,0.063947,-0.009479,0.027908,0.136472,-0.152575,0.055058,0.702524,-0.023867,0.018692,0.256536,0.278197,-0.014252,0.326986,0.234395,0.000000,0.156839,-0.033575,0.313288,0.004706,-0.088726,-0.068317,-0.033575,0.004706,0.059513,0.373506,-0.136227,-0.038465
L5,-0.174798,-0.152575,0.004706,-0.053280,0.299399,-0.275174,-0.238586,-0.014252,-0.141647,-0.345941,-0.104310,0.360434,-0.352629,-0.038465,-0.088726,-0.169196,-0.220782,-0.028709,0.032485,0.018692,0.119874,0.168863,0.172839,-0.141647,0.041575,0.411726,0.226905,-0.019048,0.271029,0.204091,0.204091,0.107243,-0.043379,0.366991,-0.220782,-0.088726,-0.099088,-0.014252,0.102997,0.132348,0.326986,0.027908,0.132348
L6,0.004706,0.063947,0.027908,-0.073381,0.172839,-0.163625,-0.114836,-0.232616,-0.004728,0.188587,-0.048317,0.360434,0.027908,-0.226681,0.055058,-0.099088,-0.038465,0.512701,-0.083585,-0.152575,-0.058267,0.000000,0.320161,0.027908,-0.573250,-0.244591,-0.078470,-0.174798,-0.043379,-0.058267,0.027908,-0.058267,0.090149,0.032485,-0.244591,-0.104310,-0.068317,-0.043379,-0.038465,0.037040,-0.009479,0.027908,0.211753
L7,-0.048317,-0.063280,-0.009479,-0.004728,0.063947,0.063947,-0.048317,-0.141647,-0.186097,0.263809,0.004706,0.540557,-0.214917,-0.053280,0.014051,-0.088726,-0.063280,-0.068317,0.050584,0.014051,-0.125474,-0.130836,0.014051,-0.058267,-0.256712,0.111471,-0.163625,0.032485,0.032485,-0.068317,0.094450,0.068362,-0.078470,-0.152575,0.124050,-0.028709,0.009390,-0.009479,-0.043379,0.018692,0.046090,-0.104310,0.770269
L8,-0.028709,0.032485,0.000000,-0.004728,0.050584,-0.058267,0.136472,-0.053280,-0.141647,0.050584,0.009390,0.132348,-0.078470,-0.019048,-0.068317,0.000000,0.068362,0.172839,0.009390,-0.093894,-0.109559,-0.093894,0.124050,0.000000,-0.174798,0.041575,-0.125474,-0.028709,-0.186097,-0.125474,-0.109559,-0.028709,0.077134,0.027908,-0.141647,-0.063280,-0.009479,-0.053280,0.000000,0.055058,-0.214917,0.271029,0.132348
L9,-0.019048,0.018692,0.551486,0.004706,0.041575,-0.038465,-0.083585,-0.083585,-0.109559,-0.033575,0.014051,0.392799,-0.109559,-0.053280,-0.043379,0.115682,0.014051,-0.004728,-0.038465,0.081491,-0.019048,-0.163625,0.196369,0.004706,-0.345941,0.032485,0.018692,0.032485,0.000000,0.000000,-0.043379,0.156839,0.176799,-0.068317,0.124050,0.004706,-0.093894,0.000000,0.014051,0.000000,0.072758,0.072758,-0.326139
L10,-0.023867,0.004706,-0.033575,-0.043379,-0.033575,-0.038465,0.000000,-0.023867,0.009390,0.050584,-0.033575,-0.004728,-0.147096,0.140579,-0.033575,0.115682,-0.068317,-0.147096,-0.038465,-0.023867,0.196369,0.326986,0.219358,-0.038465,0.068362,0.249210,0.027908,0.027908,0.041575,0.107243,0.211753,-0.009479,-0.158085,-0.048317,-0.250634,0.085829,0.009390,0.018692,0.009390,-0.152575,0.379978,0.000000,0.119874
L11,-0.004728,-0.004728,0.004706,-0.028709,-0.038465,0.046090,-0.078470,0.009390,0.059513,-0.313152,-0.104310,0.098732,-0.186097,-0.226681,0.000000,0.068362,0.081491,0.027908,-0.043379,-0.073381,-0.262828,0.489843,-0.068317,-0.083585,0.059513,0.111471,-0.136227,-0.043379,-0.114836,0.111471,0.299399,0.068362,-0.147096,0.136472,0.256536,0.004706,-0.033575,-0.014252,-0.023867,0.009390,0.399148,-0.093894,-0.293983
L12,-0.004728,-0.019048,0.037040,-0.038465,0.041575,-0.028709,-0.009479,0.000000,0.077134,-0.004728,0.014051,0.072758,0.144669,0.000000,-0.053280,-0.125474,-0.141647,0.128208,0.037040,-0.088726,-0.186097,-0.053280,-0.093894,-0.053280,0.263809,0.360434,-0.120141,-0.093894,-0.088726,0.014051,0.081491,0.234395,0.285315,-0.028709,0.050584,-0.114836,0.000000,-0.014252,0.000000,0.032485,0.634866,-0.099088,-0.019048
