layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Format,7: the,8: response,9: as,10: one,11: compact,12: line,13: suitable,14: for,15: a,16: patient,17: header,"18:,",19: containing,20: demographic,21: and,22: PM,23:H,24: for,25: sarc,26:oid,27:osis,28:.,29: Start,30: with,31::,"32: """,33:Gender,34::,"35: ""","36:
",37:<,38:|,39:ass,40:istant,41:|>,"42:
",43:Gender,44::
L1,0.805064,1.085366,0.422856,0.303995,0.435704,0.185605,0.374281,-1.239685,-0.998525,-0.314349,-0.126040,-0.811750,-0.713079,-0.187598,-0.133531,0.481450,0.439950,-0.937901,-0.374692,-0.248967,0.444179,-0.133531,-0.187598,2.333674,0.243977,-0.061036,1.938361,0.559615,0.063716,-0.126040,0.559615,-0.581227,0.045024,0.756862,0.756862,-0.768265,-0.244756,0.431440,0.013072,-0.054067,0.000000,0.063716,0.243977,0.618026,0.750670
L2,-0.054067,-0.133531,0.493571,0.185605,0.243977,-0.305381,-0.617159,-0.880743,-0.111225,-0.569531,0.873272,-0.623276,-0.464753,0.063716,-0.183638,0.000000,0.069870,0.559615,-0.006601,-0.374692,1.071943,0.057524,0.006557,2.397893,0.191055,-0.191574,1.318239,0.129411,0.465056,-0.563734,-0.502090,-0.126040,-0.089406,0.552068,0.063716,-0.433823,0.057524,-0.253195,-0.187598,0.123614,0.303995,-0.006601,0.063716,1.425007,0.867762
L3,-0.061036,-0.384308,0.374281,-0.126040,-0.054067,0.185605,0.666478,0.169076,0.259323,0.123614,0.816760,-0.327955,0.699703,-0.438912,-0.314349,-0.061036,-0.428759,-1.785191,0.185605,-0.379489,0.013072,0.243977,-0.244756,0.659698,0.006557,0.254234,0.157903,0.493571,0.982471,0.063716,0.174616,0.435704,-0.327955,2.130733,-0.240564,-0.265989,-0.309855,0.360614,0.000000,-0.118605,-0.068053,-0.075120,0.313657,0.129411,0.243977
L4,0.180126,-0.187598,0.243977,0.069870,0.180126,0.374281,0.431440,0.123614,0.259323,0.057524,0.679901,-0.323399,0.163505,-0.195566,0.180126,0.308838,1.206599,1.982813,0.000000,-0.075120,-0.187598,0.501572,-0.195566,1.085366,0.987385,0.435704,3.299726,-0.133531,0.810929,-0.248967,-0.680073,-0.369919,0.201866,2.552727,0.051293,1.214443,-0.502090,0.387765,0.000000,-0.061036,0.497580,0.435704,0.559615,-0.323399,-0.360440
L5,0.351397,-0.075120,0.129411,-0.444027,0.129411,1.206599,-0.133531,-0.195566,-0.244756,-0.265989,0.686545,-0.811750,-0.261706,-0.244756,0.313657,0.185605,0.063716,1.141536,0.051293,-0.686588,-0.872837,0.254234,-0.557971,0.082065,0.744439,0.693146,2.881559,0.439950,0.057524,0.123614,-0.118605,-0.183638,-1.195234,0.019545,-0.502090,1.532896,-0.761198,0.243977,-0.118605,0.123614,0.180126,0.679901,1.560909,-0.171850,2.072839
L6,-0.369919,-0.061036,0.117783,0.057524,0.374281,0.264386,0.069870,-0.068053,-0.740291,-0.006601,0.485507,-0.374692,-0.394017,0.374281,0.444179,0.497580,0.169076,0.822557,-0.257442,-0.374692,-0.507540,-0.309855,-1.440354,-0.384308,0.006557,0.318453,0.129411,-0.126040,-0.507540,0.000000,0.308838,-1.310302,-0.283305,-0.296492,1.120304,0.100083,-0.433823,0.140905,-0.244756,0.063716,-0.195566,-0.047147,0.117783,-1.132055,0.756862
L7,1.178653,0.744439,-0.384308,-0.126040,-0.118605,8.514440,-0.006601,-0.617159,-0.740291,-1.132055,-0.118605,-0.379489,-0.171850,0.000000,0.123614,0.559615,0.243977,0.845415,-0.075120,-0.819185,0.308838,-0.502090,-0.126040,-1.622674,-0.641852,0.756862,-1.251114,-0.195566,0.063716,-0.314349,0.313657,-0.740291,-0.203598,-2.079426,-0.775383,-0.654431,-0.569531,0.123614,-0.061036,-0.054067,0.123614,-0.428759,-0.491280,-0.513020,1.474400
L8,0.249119,0.051293,-0.006601,0.117783,-0.068053,0.744439,0.249119,0.233614,-0.819185,-0.444027,-0.265989,-0.563734,2.124463,0.000000,-0.133531,0.117783,-0.369919,0.094113,0.360614,-0.323399,-0.389150,-0.309855,0.374281,1.158203,-0.133531,0.625093,3.064372,1.174597,0.249119,0.497580,0.313657,-0.253195,-0.433823,3.352668,0.045024,-0.133531,0.180126,-0.195566,0.123614,0.000000,0.243977,-0.054067,1.198694,-0.686588,1.359624
L9,-0.248967,-0.061036,-3.232066,-0.133531,-0.054067,0.243977,-0.323399,-0.314349,-0.587127,-0.880743,-0.244756,-0.309855,0.013072,-0.006601,0.006557,0.191055,-0.438912,-0.635621,1.039903,-0.248967,0.834051,0.045024,0.435704,-0.502090,0.174616,0.439950,0.693146,0.063716,1.366358,0.383291,0.006557,-0.686588,-0.502090,0.810929,1.237610,0.422856,-0.203598,-0.485918,0.000000,0.000000,0.063716,0.249119,1.128851,-0.257442,3.521704
L10,-0.126040,0.063716,0.006557,-0.126040,0.006557,1.085366,-0.133531,0.063716,-0.502090,-0.379489,0.000000,0.069870,1.498211,0.191055,-0.133531,-0.006601,1.006803,0.987385,1.245214,-0.068053,1.614685,0.559615,-0.187598,-0.491280,0.318453,0.069870,-1.142312,-0.309855,0.180126,0.000000,-0.244756,-0.563734,0.000000,-1.286205,0.862222,-0.183638,0.878751,-0.126040,-0.118605,0.129411,-0.061036,0.000000,2.881559,-0.826676,0.111918
L11,0.129411,0.000000,0.369746,-0.068053,-0.061036,-0.187598,-0.054067,0.254234,-0.141078,0.063716,0.063716,0.435704,0.069870,0.249119,0.185605,0.180126,0.505548,1.170523,0.299129,-0.496670,1.076437,0.318453,-0.309855,2.059505,-0.804370,0.378796,3.633420,1.229947,0.810929,0.374281,0.816760,0.867762,0.750670,8.942988,-0.026668,-0.061036,0.559615,0.625093,0.069870,0.006557,0.063716,-0.111225,1.145729,0.477377,-0.061036
L12,-0.054067,-0.126040,0.123614,0.063716,-0.374692,0.360614,-0.248967,0.069870,-0.623276,-0.061036,-0.384308,-0.179693,-0.557971,-0.054067,-0.314349,0.057524,-0.379489,-0.133531,0.756862,-0.496670,0.006557,-0.314349,-0.061036,-1.101903,-0.040274,0.313657,0.191055,0.738170,-0.054067,-0.006601,-0.068053,-0.061036,0.360614,1.765089,0.505548,-0.706390,-1.016543,0.123614,0.057524,0.123614,0.191055,-0.061036,3.093430,0.517382,2.197223
