layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Write,7: a,8: short,9: paragraph,10: (,11:2,12:-,13:4,14: sentences,15:),16: for,17: a,18: sarc,19:oid,20:osis,21: patient,"22:,",23: including,24: demographic,25: and,26: clinically,27: relevant,28: PM,29:H,30:.,31: Start,32: exactly,33: with,34::,"35: """,36:Gender,37::,"38: ""","39:
",40:<,41:|,42:ass,43:istant,44:|>,"45:
",46:Gender,47::
L1,0.105360,0.969656,0.131678,0.098672,0.315081,0.163629,0.007380,0.098672,0.287682,-0.335732,0.287682,0.036368,0.036368,0.346999,0.007380,0.157320,0.098672,0.064539,0.064539,0.282111,-0.191250,0.007380,-0.022473,0.224624,0.341749,0.224624,-0.057158,0.131678,0.157320,0.309661,0.125163,0.007380,-0.213927,0.007380,-0.057158,0.293222,-0.213927,0.163629,0.163629,0.043485,0.253780,0.064539,0.194592,0.064539,0.007380,0.150971,0.163629,0.850467
L2,-0.378066,-0.256088,0.157320,0.131678,0.157320,0.036368,0.131678,0.064539,0.043485,0.377929,-0.030077,0.098672,0.064539,0.131678,-0.030077,0.036368,0.253780,0.098672,0.157320,0.407931,-0.156004,0.036368,-0.151685,0.098672,0.253780,0.157320,-0.022473,0.282111,0.036368,0.417735,0.029199,0.188475,0.091937,0.091937,0.287682,0.157320,-0.480428,-0.147383,0.157320,0.064539,0.188475,0.224624,0.163629,0.253780,-0.022473,0.253780,0.336472,0.248017
L3,0.131678,0.188475,-0.061088,0.125163,0.007380,0.194592,0.064539,0.007380,0.287682,-0.246564,0.007380,0.098672,0.188475,0.276509,-0.285216,0.125163,0.224624,-0.057158,0.125163,0.541462,1.160833,0.224624,0.163629,0.098672,0.372840,0.064539,0.125163,0.253780,0.036368,0.417735,0.377929,-0.022473,-0.093090,0.248017,0.346999,0.157320,-0.209350,-0.022473,-0.723224,0.259511,-0.057158,0.036368,0.098672,0.064539,0.098672,0.000000,0.036368,0.163629
L4,0.131678,0.098672,-0.061088,0.036368,0.157320,0.224624,0.036368,0.064539,0.007380,-0.093090,0.029199,0.098672,0.036368,0.157320,-0.213927,0.091937,0.218689,0.131678,0.315081,1.535672,0.964022,0.595983,0.036368,0.537143,0.085158,0.131678,0.224624,0.402993,0.253780,0.479220,0.470004,-0.151685,-0.037740,-0.151685,0.036368,0.541462,0.362583,-0.147383,-0.700582,0.169899,0.157320,0.000000,0.131678,0.131678,0.098672,0.298732,0.362583,0.298732
L5,-0.061088,0.125163,-0.121958,0.036368,0.091937,0.218689,-0.030077,0.036368,0.036368,0.163629,-0.030077,0.071459,0.163629,-0.030077,-0.213927,0.036368,0.218689,-0.218525,0.098672,0.911836,0.844118,0.465363,0.315081,0.163629,0.150971,0.346999,0.341749,0.157320,0.157320,0.550046,0.528447,0.000000,0.163629,-0.061088,0.131678,0.357415,0.276509,-0.080969,-0.361980,-0.121958,0.098672,0.036368,0.036368,0.131678,0.091937,0.242220,-0.191250,0.729515
L6,0.064539,0.131678,-0.089034,0.064539,0.064539,-0.275412,0.064539,0.064539,0.064539,-0.270546,0.036368,0.036368,0.157320,0.188475,0.007380,0.007380,0.157320,0.125163,0.224624,0.352221,0.402993,0.352221,0.287682,0.501897,0.098672,0.157320,0.218689,-0.101254,0.098672,0.407931,0.470004,0.036368,0.007380,-0.126151,-0.251314,-0.160343,0.952658,0.125163,-0.280302,-0.315218,0.341749,0.282111,0.064539,0.131678,0.007380,0.298732,0.628115,0.236389
L7,1.142097,0.905866,-0.089034,0.036368,0.098672,1.282989,0.000000,0.007380,0.157320,0.315081,0.098672,0.064539,-0.022473,-0.084993,0.064539,0.064539,-0.030077,0.098672,0.224624,-0.186776,0.315081,0.218689,-0.182322,0.224624,-0.121958,-0.084993,0.131678,0.064539,0.098672,0.014706,-0.022473,-0.057158,0.098672,0.157320,0.064539,0.131678,0.176130,0.064539,-0.186776,-0.794401,0.057570,0.131678,-0.030077,0.007380,-0.241836,-0.030077,0.541462,0.362583
L8,0.125163,-0.022473,0.188475,0.098672,0.315081,0.474622,0.098672,0.064539,0.125163,0.492888,0.098672,0.064539,0.157320,0.064539,-0.182322,0.248017,0.157320,0.064539,0.253780,1.034896,1.223775,0.218689,0.157320,0.157320,-0.209350,0.064539,0.163629,-0.089034,0.036368,0.248017,0.036368,0.029199,-0.030077,-0.156004,0.000000,0.532804,1.232452,0.163629,0.367725,-0.065032,0.341749,0.064539,0.064539,0.036368,-0.117783,-0.053245,-0.372675,0.850467
L9,0.036368,0.036368,-0.621688,0.125163,0.346999,0.163629,-0.057158,0.007380,0.098672,-0.030077,0.098672,0.131678,0.282111,0.194592,-0.156004,-0.061088,-0.030077,0.224624,0.412845,0.287682,0.407931,-0.093090,-0.097164,0.253780,0.562785,0.188475,0.036368,0.064539,0.098672,0.309661,0.352221,-0.030077,-0.022473,0.064539,0.064539,0.224624,0.417735,0.098672,0.200671,-0.030077,0.029199,0.000000,0.036368,0.098672,-0.147383,-0.097164,0.566996,-0.022473
L10,0.064539,0.036368,0.188475,0.157320,0.098672,0.474622,0.000000,0.071459,0.036368,0.036368,0.131678,-0.030077,0.157320,0.125163,0.036368,-0.022473,-0.030077,0.036368,0.194592,0.224624,0.098672,-0.218525,0.064539,0.341749,0.057570,0.007380,0.131678,0.064539,0.071459,0.465363,0.287682,0.029199,0.036368,-0.151685,0.000000,0.722346,-0.030077,0.157320,-0.191250,0.287682,0.036368,0.157320,-0.030077,-0.182322,-0.151685,0.021979,-0.045462,-0.346148
L11,0.098672,0.064539,0.131678,0.098672,0.163629,0.036368,0.098672,0.098672,-0.022473,-0.022473,0.036368,0.064539,0.125163,0.007380,0.282111,-0.030077,-0.022473,0.098672,-0.030077,1.469750,1.291169,0.663070,0.188475,0.036368,0.248017,-0.030077,0.098672,0.091937,0.125163,0.287682,0.224624,0.091937,-0.053245,0.036368,0.188475,0.532804,2.539558,0.412845,-0.574541,-0.057158,-0.186776,0.163629,0.125163,-0.093090,-0.340926,0.125163,1.029619,-0.300105
