layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:You,7: are,8: a,9: helpful,10: clinical,11: assistant,12: for,13: inpatient,14: documentati,15:.,16: Condition,17::,18: sarc,19:oid,20:osis,21:.,"22:
",23:Create,24: a,25: concise,26: patient,27: summary,28: emphasizing,29: demographic,30: and,31: PM,32:H,33:.,34: Start,35: with,36::,"37: """,38:Gender,39::,"40: ""","41:
",42:<,43:|,44:ass,45:istant,46:|>,"47:
",48:Gender,49::
L1,0.187862,0.322083,-0.120286,0.006645,-0.186329,0.000000,0.000000,-0.061875,-0.061875,0.000000,-0.061875,0.312375,-0.127833,-0.127833,-0.314711,0.064538,0.064538,0.246860,0.064538,2.191281,-0.190354,0.187862,0.064538,0.125163,-0.120286,0.125163,-0.061875,-0.314711,0.064538,0.125163,-0.120286,0.006645,-0.061875,-0.120286,-0.061875,0.125163,0.125163,0.436102,0.125163,0.064538,0.006645,0.064538,0.000000,-0.120286,0.064538,0.000000,0.187862,-0.248461,0.378436,0.624154
L2,0.119263,0.490623,-0.248461,-0.061875,-0.061875,0.000000,0.000000,0.000000,-0.186329,0.440403,-0.120286,0.187862,0.125163,-0.375906,-0.120286,0.000000,0.000000,-0.061875,-0.061875,0.565314,-1.192922,0.252055,0.000000,-0.061875,-0.061875,0.000000,-0.310155,0.131028,-0.120286,0.064538,-0.061875,0.125163,0.444686,-0.061875,0.000000,-0.120286,-0.061875,-0.061875,-0.933097,-0.244197,0.064538,0.000000,0.000000,0.064538,0.000000,0.064538,-0.061875,0.064538,-0.186329,-0.127833
L3,-0.061875,-0.061875,-0.248461,-0.061875,0.064538,-0.061875,0.064538,-0.120286,0.125163,0.064538,0.064538,0.252055,0.125163,-0.813433,0.125163,0.193371,-0.127833,-0.314711,-0.186329,1.508512,0.312375,0.187862,0.000000,0.064538,-0.061875,0.187862,0.187862,0.875468,-0.120286,0.131028,0.064538,0.125163,0.940007,-0.061875,0.064538,-0.310155,-0.310155,0.436102,0.064538,0.000000,-0.380772,0.252055,0.064538,-0.186329,-0.061875,-0.061875,0.000000,0.125163,-0.061875,0.000000
L4,0.064538,0.064538,-0.248461,0.000000,-0.061875,0.000000,0.000000,-0.061875,0.064538,-0.435924,-0.441092,0.187862,0.187862,-0.441092,-0.252744,0.064538,-0.186329,0.373860,0.317241,5.508416,3.571221,0.000000,-0.061875,0.064538,0.064538,0.131028,0.252055,0.064538,0.064538,-0.499775,0.000000,0.125163,0.064538,-0.248461,-0.120286,-0.061875,-0.061875,0.818310,0.565314,-0.120286,0.119263,-0.120286,0.187862,-0.186329,0.000000,-0.061875,-0.244197,0.187862,0.193371,0.572861
L5,0.125163,0.000000,0.000000,-0.127833,-0.127833,-0.061875,0.064538,-0.120286,-0.061875,0.252055,-0.310155,-0.061875,0.312375,-0.693147,-0.061875,0.624154,-0.499775,0.187862,0.193371,2.071073,-0.310155,0.373860,0.000000,-0.061875,0.064538,0.064538,-0.310155,0.000000,-0.248461,0.064538,0.125163,0.000000,-0.244197,-0.248461,0.064538,-0.375906,-0.248461,0.557709,-0.813433,-0.182321,0.000000,-0.248461,-0.061875,-0.248461,-0.120286,0.000000,0.000000,0.125163,-0.186329,-0.314711
L6,0.187862,0.064538,0.187862,0.187862,-0.061875,-0.054808,-0.120286,-0.120286,-0.186329,0.440403,-0.061875,0.565314,0.378436,-0.375906,-0.252744,-0.127833,-0.061875,0.378436,0.064538,1.129249,0.440403,0.000000,0.246860,-0.061875,0.187862,0.000000,0.252055,-0.190354,0.125163,-0.375906,0.000000,-0.186329,0.193371,-0.061875,-0.061875,-0.061875,-0.186329,-0.127833,0.125163,0.373860,0.252055,-0.061875,0.000000,-0.248461,0.000000,-0.127833,-0.248461,0.064538,-0.314711,-0.248461
L7,0.252055,-0.120286,0.000000,-0.120286,0.000000,-1.576646,-0.120286,0.064538,-0.248461,-0.061875,-0.061875,0.378436,0.125163,0.058269,0.440403,0.187862,-0.120286,-0.375906,0.502793,0.006645,0.000000,0.000000,-0.061875,-0.061875,0.000000,0.064538,0.000000,-0.127833,-0.248461,0.006645,0.000000,-0.120286,0.125163,-0.127833,0.000000,0.182321,0.000000,0.064538,-0.622378,0.252055,-0.314711,-0.244197,0.064538,0.000000,0.006645,-0.127833,-0.310155,0.000000,-0.120286,1.005522
L8,0.000000,0.000000,0.125163,0.064538,0.064538,0.440403,-0.061875,0.125163,0.000000,-0.061875,0.064538,0.317241,0.125163,0.000000,0.252055,-0.120286,0.252055,0.125163,0.818310,4.200304,1.379605,0.252055,0.000000,-0.186329,0.064538,0.064538,0.565314,-0.061875,0.000000,-0.186329,-0.120286,0.064538,-0.182321,0.312375,0.064538,0.252055,0.000000,0.498753,3.324076,0.125163,0.187862,-0.248461,-0.120286,0.000000,-0.061875,-0.061875,0.006645,-0.562119,0.631272,0.751416
L9,-0.120286,0.000000,-0.867500,0.000000,0.064538,0.125163,0.000000,0.000000,-0.061875,-0.120286,0.000000,0.187862,0.125163,0.125163,0.187862,0.000000,-0.375906,0.187862,0.378436,1.129249,0.378436,0.125163,0.000000,-0.186329,0.064538,0.187862,0.064538,0.000000,0.312375,-0.371063,0.125163,-0.186329,-0.061875,0.064538,0.064538,-0.061875,-0.120286,0.187862,0.125163,-0.248461,0.064538,0.000000,0.064538,-0.061875,-0.061875,-0.061875,0.000000,-0.061875,0.693147,0.812410
L10,0.000000,0.125163,-0.186329,0.000000,0.064538,0.070769,-0.061875,0.064538,-0.061875,-0.120286,0.000000,0.187862,0.064538,0.000000,0.000000,0.000000,-0.182321,-0.061875,0.125163,0.064538,0.565314,0.125163,0.064538,-0.061875,0.000000,0.000000,0.000000,0.125163,-0.127833,0.064538,0.131028,-0.186329,-0.120286,0.125163,-0.061875,-0.186329,-0.248461,0.246860,-0.375906,-0.061875,-0.190354,0.312375,-0.120286,-0.310155,-0.061875,0.000000,-0.127833,-0.120286,-0.686502,0.382992
