prompt_id,best_layer,best_layer_mean_rewrite,layer18_mean_rewrite
1,18,0.9738928801763608,0.9738928801763608
2,13,0.9620958674894133,0.948522019087427
3,16,0.9703771739972666,0.9702963715073173
4,18,0.9742667500229814,0.9742667500229814
5,19,0.9730268702126018,0.973026869906937
6,19,0.9703853894323602,0.9699998711087273
7,19,0.9706871653148423,0.9677914027351366
8,19,0.9687763372125886,0.9686548662943922
9,19,0.9730587954043681,0.9727605695797736
10,19,0.9697833427892315,0.9697833422783345
11,19,0.9722174346618179,0.9722174322392899
12,12,0.9581656280893889,0.9271713402159891
13,19,0.970816854239924,0.9695031117065689
14,19,0.9683528644426758,0.9683528616377514
15,19,0.9712844602148986,0.9706419488999716
16,18,0.9678989121833161,0.9678989121833161
17,19,0.9744385254097434,0.9744385239261506
18,19,0.9687527355144038,0.9679623442842675
19,15,0.9405654677297044,0.9403383234880904
20,14,0.9701302367431415,0.9696620813585733
21,19,0.9695125013676374,0.9690427713343167
22,19,0.9674473702289959,0.9673015302134168
23,19,0.9715179221906318,0.9714279414840521
24,13,0.9661785605508072,0.9443075319547096
25,19,0.9644291020113102,0.963410034111655
26,9,0.7394270964758434,0.2711112742800601
27,8,0.8581966817238478,0.7075068246186564
28,19,0.9552851350886199,0.9530003614346482
29,18,0.9711921100030866,0.9711921100030866
30,15,0.968539423728975,0.968539423728975
31,19,0.9696451410750624,0.9674486017725016
