rank,layer,mean_rewrite,median_rewrite,std_rewrite,n_cells
1,13,0.9402905696957767,0.9670843308971774,0.11004630528476093,155
2,11,0.936999998294938,0.9484004265553242,0.05961996215483201,155
3,12,0.936234554031071,0.9543575163810484,0.08676120082380422,155
4,18,0.9345635557281753,0.9693364230069247,0.14485167004926452,155
5,14,0.9325256871158507,0.9672481652462122,0.13580846118648596,155
6,10,0.9323001663357018,0.9421737684923059,0.050958965502101806,155
7,8,0.9319988925255069,0.9414310490383822,0.047735768092255826,155
8,17,0.9315941856396622,0.967060732277664,0.14285232793966243,155
9,9,0.9315517779110374,0.9411675824838526,0.04805636100049984,155
10,16,0.9311608805343381,0.9663243447580645,0.14321981270555534,155
11,15,0.930886651550475,0.9644156319754464,0.13848148336676788,155
12,7,0.9297129695285999,0.9412014536997851,0.05116218772479091,155
13,6,0.9194727997862963,0.9405093473546645,0.07217522741320713,155
14,19,0.9144828635762776,0.9696915366432883,0.17019474407558727,155
15,5,0.9018390187895767,0.9353899801931074,0.09149098353074299,155
16,21,0.6125725976747962,0.8491384718153212,0.38254561435529766,155
17,20,0.5342815012595411,0.6262659872731855,0.37673291457663355,155
